code_insee,commune,dep,PMUN,dans_MEL,air_no2_ugm3,air_station_nom,air_station_dist_km,air_station_annee,air_pm25_ugm3,air_pm10_ugm3
59002,Abscon,59,4203,False,12.0,Denain Villars,7.0,2025,11.0,17.0
59004,Aix-en-Pévèle,59,1358,False,7.0,Saint Amand,9.8,2024,11.0,17.0
59005,Allennes-les-Marais,59,3567,True,10.0,Wattignies,9.5,2025,11.0,17.0
59008,Aniche,59,9997,False,12.0,Denain Villars,10.0,2025,11.0,17.0
59011,Annœullin,59,10780,True,12.0,Harnes Serres,8.8,2025,7.0,20.0
59013,Anstaing,59,1601,True,10.0,Wattignies,9.9,2025,11.0,18.0
59014,Anzin,59,13422,False,13.0,Valenciennes Acacias,1.9,2024,11.0,14.0
59015,Arleux,59,3151,False,11.0,Douai Theuriet,11.2,2025,11.0,17.0
59017,Armentières,59,25581,True,10.0,Wattignies,15.8,2025,11.0,18.0
59018,Arnèke,59,1561,False,10.0,St Omer Ribot,15.2,2023,12.0,17.0
59019,Artres,59,1064,False,13.0,Valenciennes Acacias,7.3,2024,11.0,14.0
59022,Attiches,59,2238,False,10.0,Wattignies,9.4,2025,11.0,17.0
59024,Auberchicourt,59,4626,False,12.0,Denain Villars,12.0,2025,11.0,17.0
59025,Aubers,59,1722,True,11.0,Bethune Stade,14.6,2025,12.0,17.0
59026,Aubigny-au-Bac,59,1159,False,11.0,Douai Theuriet,14.5,2025,11.0,17.0
59027,Aubry-du-Hainaut,59,1726,False,13.0,Valenciennes Acacias,4.4,2024,11.0,14.0
59028,Auby,59,7188,False,11.0,Douai Theuriet,4.0,2025,11.0,17.0
59029,Auchy-lez-Orchies,59,1486,False,11.0,Douai Theuriet,14.6,2025,11.0,17.0
59032,Aulnoy-lez-Valenciennes,59,7183,False,13.0,Valenciennes Acacias,4.2,2024,11.0,14.0
59034,Avelin,59,2600,False,10.0,Wattignies,6.9,2025,11.0,17.0
59038,Avesnes-le-Sec,59,1447,False,12.0,Denain Villars,8.5,2025,11.0,17.0
59042,Bachy,59,1883,False,7.0,Saint Amand,14.8,2024,11.0,18.0
59043,Bailleul,59,14869,False,11.0,Bethune Stade,22.5,2025,12.0,17.0
59044,Baisieux,59,5177,True,10.0,Wattignies,13.6,2025,11.0,18.0
59052,Bauvin,59,4999,True,12.0,Harnes Serres,7.5,2025,7.0,20.0
59054,Bavinchove,59,1046,False,10.0,St Omer Ribot,13.0,2023,12.0,17.0
59064,Bellaing,59,1329,False,12.0,Denain Villars,5.2,2025,11.0,17.0
59071,Bersée,59,2296,False,11.0,Douai Theuriet,12.9,2025,11.0,17.0
59079,Beuvrages,59,6784,False,13.0,Valenciennes Acacias,3.4,2024,11.0,14.0
59080,Beuvry-la-Forêt,59,2834,False,7.0,Saint Amand,10.3,2024,11.0,17.0
59082,Bierne,59,1772,False,8.0,Cappelle,3.7,2024,12.0,22.0
59084,Blaringhem,59,2043,False,10.0,St Omer Ribot,12.3,2023,12.0,17.0
59086,Boeschepe,59,2179,False,11.0,Bethune Stade,29.7,2025,12.0,17.0
59088,Bois-Grenier,59,1793,True,10.0,Wattignies,13.7,2025,11.0,17.0
59089,Bollezeele,59,1423,False,10.0,St Omer Ribot,14.2,2023,12.0,17.0
59090,Bondues,59,9713,True,12.0,Tourcoing Stade,5.6,2025,12.0,18.0
59094,Bourbourg,59,7023,False,8.0,Cappelle,12.8,2024,12.0,22.0
59096,Bourghelles,59,1673,False,10.0,Wattignies,14.5,2025,11.0,18.0
59098,Bousbecque,59,4847,True,13.0,Halluin stade,3.8,2025,12.0,18.0
59105,Bouvignies,59,1548,False,11.0,Douai Theuriet,13.5,2025,11.0,17.0
59112,Bruay-sur-l'Escaut,59,11309,False,13.0,Valenciennes Acacias,4.8,2024,11.0,14.0
59114,Bruille-Saint-Amand,59,1682,False,7.0,Saint Amand,5.6,2024,11.0,14.0
59113,Bruille-lez-Marchiennes,59,1350,False,12.0,Denain Villars,11.4,2025,11.0,17.0
59117,Bugnicourt,59,1074,False,11.0,Douai Theuriet,11.6,2025,11.0,17.0
59122,Cambrai,59,31425,False,12.0,Denain Villars,20.2,2025,11.0,17.0
59123,Camphin-en-Carembault,59,1714,False,12.0,Harnes Serres,9.4,2025,7.0,17.0
59124,Camphin-en-Pévèle,59,2501,False,10.0,Wattignies,14.7,2025,11.0,18.0
59126,Cantin,59,1770,False,11.0,Douai Theuriet,8.6,2025,11.0,17.0
59128,Capinghem,59,2474,True,10.0,Wattignies,8.1,2025,11.0,18.0
