libelle,zone_axe,type,n,libre,med,p90,retard_med,retard_p90,tampon,pct_galere
Dunkerque,Flandre maritime,autoroute A25,704,52.5,57.9,73.3,5.1,16.7,15.4,26.0
Arras,Artois,autoroute A1,704,39.3,45.1,60.1,5.8,19.2,15.0,26.8
Béthune,Béthunois,autoroute A26 / A25,704,43.0,48.8,63.3,5.8,16.6,14.5,18.8
Douai,Douaisis,autoroute A1,703,31.1,36.4,50.6,4.8,16.7,14.2,29.7
Hazebrouck,Flandre intérieure,autoroute A25,704,34.5,39.1,53.0,3.7,13.3,13.9,26.1
Lens,Gohelle,autoroute A21 / A1,702,31.1,35.8,48.9,4.0,15.6,13.1,23.4
La Bassée,Weppes,autoroute RN41,703,26.3,29.4,42.1,3.0,13.4,12.7,25.5
Herlies,Weppes,départementale,704,22.1,24.6,36.4,2.3,10.7,11.8,28.8
Cambrai,Cambrésis,autoroute A2 / A23,704,51.2,57.4,69.1,5.5,15.3,11.7,18.5
Sainghin-en-Weppes,Weppes,départementale,704,25.0,27.4,39.1,2.4,12.2,11.7,27.3
Sailly-sur-la-Lys,Lys,départementale,704,29.3,31.6,43.2,2.5,10.6,11.6,27.7
Wavrin,Weppes,départementale,704,20.0,22.2,33.2,2.1,10.7,11.0,29.3
Valenciennes,Valenciennois,autoroute A23,703,34.5,38.4,48.8,3.7,13.4,10.4,28.2
Fromelles,Weppes,départementale,704,23.8,26.2,36.0,2.4,9.7,9.8,26.1
Orchies,Pévèle,autoroute A23 / A27,703,20.2,22.7,32.4,2.4,11.4,9.7,32.0
Maubeuge,Avesnois,autoroute A2 / A23,703,56.1,60.5,70.0,3.9,10.8,9.5,20.8
Neuville-en-Ferrain,Ferrain,départementale,704,16.5,20.8,29.3,3.9,11.1,8.5,24.4
Cappelle-en-Pévèle,Pévèle,départementale,704,22.8,25.6,33.4,2.9,8.8,7.8,26.0
Prémesques,rocade NO / M652,départementale,704,20.6,23.1,30.7,2.4,7.4,7.6,23.7
Bourghelles,Pévèle,départementale,704,24.0,26.1,33.0,2.0,7.6,6.9,28.1
Tourcoing,Ferrain,autoroute A22,704,19.6,23.3,29.4,3.6,7.4,6.1,10.7
Cysoing,Pévèle,départementale,704,22.2,26.2,32.0,3.5,8.3,5.9,16.6
Bouvines,Mélantois,départementale,704,18.7,21.7,27.5,2.9,7.8,5.8,22.0
Pérenchies,rocade NO / M652,départementale,704,21.5,23.9,29.1,2.6,6.7,5.2,19.3
Templeuve-en-Pévèle,Pévèle,départementale,704,20.9,24.4,29.2,3.2,7.6,4.8,15.5
Péronne-en-Mélantois,Mélantois,départementale,704,20.4,22.9,27.5,2.5,6.1,4.6,17.6
