code_insee,commune,dep,PMUN,dans_MEL,voiture_pointe_min,voiture_libre_min,bouchons_min,voiture_km,temps_sans_voiture_min,mode_sans_voiture,meilleur_temps_vers_lille_min,gare_utile_sur_place,indice_congestion,part_trajet_bouchons_pct,min_perdues_jour,h_perdues_an,vitesse_pointe_kmh,vitesse_libre_kmh,sans_alternative
62628,Noyelles-sous-Lens,62,6659,False,51.4,26.8,24.6,37.6,81.0,velo+TER,76.1,False,1.918,47.9,49.0,180.0,44.0,84.0,False
62032,Angres,62,4842,False,61.4,37.6,23.8,47.2,,,62.4,False,1.633,38.8,48.0,175.0,46.0,75.0,True
62865,Vitry-en-Artois,62,4787,False,54.4,30.7,23.7,44.8,48.7,TER,48.7,False,1.772,43.6,47.0,174.0,49.0,88.0,False
62801,Souchez,62,2658,False,63.3,39.5,23.7,49.2,,,64.4,False,1.603,37.4,47.0,174.0,47.0,75.0,True
62771,Sallaumines,62,9650,False,52.3,28.6,23.7,38.6,73.0,TER ~ velo+TER,73.0,True,1.829,45.3,47.0,174.0,44.0,81.0,False
62133,Billy-Montigny,62,8117,False,51.6,27.9,23.7,35.1,51.0,TER ~ velo+TER,51.0,True,1.849,45.9,47.0,174.0,41.0,75.0,False
62291,Éleu-dit-Leauwette,62,2829,False,54.0,30.3,23.7,41.4,61.0,velo+TER,56.8,False,1.782,43.9,47.0,174.0,46.0,82.0,False
62557,Marœuil,62,2441,False,63.7,40.2,23.5,58.2,65.2,TER,65.2,False,1.585,36.9,47.0,172.0,55.0,87.0,False
62200,Cambrin,62,1228,False,57.3,33.8,23.5,36.6,70.0,velo+TER,66.7,False,1.695,41.0,47.0,172.0,38.0,65.0,False
62861,Vimy,62,4307,False,57.0,33.6,23.4,46.2,62.2,TER,62.2,False,1.696,41.1,47.0,172.0,49.0,82.0,False
62510,Liévin,62,30149,False,56.4,33.1,23.3,44.8,60.0,TER,60.0,False,1.704,41.3,47.0,171.0,48.0,81.0,False
62351,Fouquières-lès-Lens,62,6233,False,50.8,27.5,23.3,34.4,59.0,velo+TER,54.1,False,1.847,45.9,47.0,171.0,41.0,75.0,False
62371,Givenchy-en-Gohelle,62,2026,False,58.9,35.6,23.3,45.8,,,61.8,False,1.654,39.6,47.0,171.0,47.0,77.0,True
59550,Salomé,59,3051,True,47.5,24.4,23.2,28.0,56.0,TER ~ velo+TER,56.0,True,1.947,48.8,46.0,170.0,35.0,69.0,False
62065,Avion,62,17672,False,54.0,30.8,23.2,42.8,58.2,TER,58.2,False,1.753,43.0,46.0,170.0,48.0,83.0,False
62848,Verquin,62,3459,False,65.9,42.8,23.1,44.4,64.0,velo+TER,56.5,False,1.54,35.1,46.0,169.0,40.0,62.0,False
59051,La Bassée,59,6622,True,49.3,26.3,23.0,28.1,40.8,TER,40.8,True,1.875,46.7,46.0,169.0,34.0,64.0,False
62735,Sailly-Labourse,62,2577,False,61.3,38.3,23.0,40.3,88.0,velo+TER,75.1,False,1.601,37.5,46.0,169.0,39.0,63.0,False
62262,Cuinchy,62,1754,False,55.8,32.9,22.9,36.5,64.0,TER ~ velo+TER,64.0,True,1.696,41.0,46.0,168.0,39.0,67.0,False
62128,Biache-Saint-Vaast,62,4481,False,53.5,30.6,22.9,43.3,67.0,TER,67.0,False,1.748,42.8,46.0,168.0,49.0,85.0,False
62350,Fouquières-lès-Béthune,62,1115,False,65.5,42.7,22.8,45.9,63.0,velo+TER,56.5,False,1.534,34.8,46.0,167.0,42.0,64.0,False
62587,Montigny-en-Gohelle,62,9870,False,49.5,26.7,22.8,32.8,61.0,velo+TER,54.6,False,1.854,46.1,46.0,167.0,40.0,74.0,False
62035,Annezin,62,5813,False,67.6,45.0,22.6,45.3,65.0,velo+TER,56.9,False,1.502,33.4,45.0,166.0,40.0,60.0,False
62626,Noyelles-lès-Vermelles,62,2294,False,58.4,35.9,22.5,38.8,82.0,velo+TER,69.9,False,1.627,38.5,45.0,165.0,40.0,65.0,False
62321,Évin-Malmaison,62,4674,False,45.8,23.3,22.5,32.5,52.0,velo+TER,49.3,False,1.966,49.1,45.0,165.0,43.0,84.0,False
62276,Douvrin,62,5795,False,51.0,28.6,22.5,32.0,52.0,velo+TER,44.9,False,1.783,44.1,45.0,165.0,38.0,67.0,False
62119,Béthune,62,24992,False,65.5,43.0,22.5,44.0,52.5,TER ~ velo+TER,52.5,True,1.523,34.4,45.0,165.0,40.0,61.0,False
62279,Duisans,62,1383,False,66.6,44.2,22.4,61.9,,,64.3,False,1.507,33.6,45.0,164.0,56.0,84.0,True
62895,Wingles,62,8742,False,52.0,29.6,22.4,33.5,73.0,velo+TER,65.3,False,1.757,43.1,45.0,164.0,39.0,68.0,False
59329,Lambres-lez-Douai,59,4926,False,51.5,29.1,22.4,41.1,51.0,velo+TER,40.6,False,1.77,43.5,45.0,164.0,48.0,85.0,False
62249,Courcelles-lès-Lens,62,8213,False,47.2,24.8,22.4,32.5,57.0,velo+TER,47.7,False,1.903,47.5,45.0,164.0,41.0,79.0,False
62846,Vermelles,62,4748,False,57.8,35.5,22.4,40.0,83.0,velo+TER,70.3,False,1.628,38.8,45.0,164.0,42.0,68.0,False
59178,Douai,59,39648,False,53.5,31.1,22.4,42.2,35.4,TER,35.4,True,1.72,41.9,45.0,164.0,47.0,81.0,False
59028,Auby,59,7188,False,49.0,26.6,22.4,37.1,58.0,velo+TER,53.7,False,1.842,45.7,45.0,164.0,45.0,84.0,False
62624,Noyelles-Godault,62,5906,False,45.2,22.9,22.3,30.5,51.0,velo+TER,46.2,False,1.974,49.3,45.0,164.0,40.0,80.0,False
59320,Illies,59,1664,True,45.6,23.3,22.3,25.4,68.0,velo+TER,60.2,False,1.957,48.9,45.0,164.0,33.0,65.0,False
59234,Flers-en-Escrebieux,59,5642,False,48.6,26.3,22.3,36.1,54.7,TER,54.7,True,1.848,45.9,45.0,164.0,45.0,82.0,False
59165,Cuincy,59,6472,False,48.1,25.8,22.3,37.6,55.0,velo+TER,41.7,False,1.864,46.4,45.0,164.0,47.0,87.0,False
59345,Lewarde,59,2403,False,59.4,37.1,22.3,48.8,65.0,velo+TER,55.1,False,1.601,37.5,45.0,164.0,49.0,79.0,False
62349,Fouquereuil,62,1632,False,68.7,46.4,22.3,47.7,57.3,TER,57.3,False,1.481,32.5,45.0,164.0,42.0,62.0,False
62464,Hulluch,62,3367,False,54.8,32.5,22.3,36.1,73.0,velo+TER,57.0,False,1.686,40.7,45.0,164.0,40.0,67.0,False
62528,Loos-en-Gohelle,62,6896,False,56.3,34.0,22.2,42.7,76.0,velo+TER,60.8,False,1.656,39.4,44.0,163.0,46.0,75.0,False
62573,Meurchin,62,3717,False,48.3,26.1,22.2,30.6,61.0,TER ~ velo+TER,61.0,True,1.851,46.0,44.0,163.0,38.0,70.0,False
62250,Courrières,62,10199,False,47.4,25.2,22.2,28.3,61.0,velo+TER,49.0,False,1.881,46.8,44.0,163.0,36.0,67.0,False
59334,Lauwin-Planque,59,1582,False,49.4,27.2,22.2,36.3,74.0,velo+TER,61.0,False,1.816,44.9,44.0,163.0,44.0,80.0,False
62034,Annequin,62,2145,False,59.4,37.1,22.2,38.5,78.0,velo+TER,68.7,False,1.601,37.4,44.0,163.0,39.0,62.0,False
59170,Dechy,59,5351,False,55.3,33.1,22.2,45.8,54.0,velo+TER,41.4,False,1.671,40.1,44.0,163.0,50.0,83.0,False
62498,Lens,62,32618,False,55.0,32.8,22.2,39.9,53.8,TER,53.8,True,1.677,40.4,44.0,163.0,44.0,73.0,False
62186,Bully-les-Mines,62,12221,False,59.7,37.5,22.2,46.5,65.4,TER,65.4,False,1.592,37.2,44.0,163.0,47.0,74.0,False
62263,Dainville,62,5703,False,65.7,43.5,22.2,57.7,79.0,velo+TER,62.5,False,1.51,33.8,44.0,163.0,53.0,80.0,False
62051,Auchy-les-Mines,62,4623,False,55.5,33.4,22.1,34.6,78.0,velo+TER,68.9,False,1.662,39.8,44.0,162.0,37.0,62.0,False
