code_insee,commune,dep,PMUN,dans_MEL,part_logts_vacants,part_maisons,part_proprietaires,part_hlm,part_menages_sans_voiture,part_menages_2voit_plus,evol_pop_2016_2022_pct
59002,Abscon,59,4203,False,6.1,93.4,56.2,28.5,17.6,33.2,-6.3
59004,Aix-en-Pévèle,59,1358,False,5.5,97.3,76.8,0.0,3.2,56.8,13.8
59005,Allennes-les-Marais,59,3567,True,3.2,95.8,82.2,8.2,5.6,56.4,2.5
59008,Aniche,59,9997,False,9.3,82.6,49.9,27.9,20.2,33.4,-2.9
59011,Annœullin,59,10780,True,3.5,76.9,65.0,18.4,10.7,39.6,3.8
59013,Anstaing,59,1601,True,2.8,89.5,76.8,9.6,7.1,53.0,14.7
59014,Anzin,59,13422,False,10.6,64.4,42.0,26.9,31.3,21.4,-0.1
59015,Arleux,59,3151,False,5.9,84.4,63.8,17.0,16.1,39.5,0.6
59017,Armentières,59,25581,True,8.0,54.2,46.4,23.6,24.3,22.7,4.4
59018,Arnèke,59,1561,False,6.5,91.5,66.0,5.5,9.6,47.4,-5.1
59019,Artres,59,1064,False,3.2,98.2,80.6,10.6,6.4,53.0,1.9
59022,Attiches,59,2238,False,4.6,97.4,78.2,14.8,4.6,54.7,-1.2
59024,Auberchicourt,59,4626,False,5.3,95.8,59.8,22.6,17.3,34.7,5.0
59025,Aubers,59,1722,True,4.9,96.6,87.4,2.9,4.4,57.5,8.4
59026,Aubigny-au-Bac,59,1159,False,6.4,92.1,76.6,6.6,8.3,50.6,-1.4
59027,Aubry-du-Hainaut,59,1726,False,3.7,99.6,82.6,6.7,6.6,51.0,3.9
59028,Auby,59,7188,False,7.1,87.5,51.8,33.9,19.3,35.1,-1.6
59029,Auchy-lez-Orchies,59,1486,False,6.9,93.2,78.8,1.2,2.7,60.5,0.7
59032,Aulnoy-lez-Valenciennes,59,7183,False,6.0,59.4,47.0,26.2,29.6,24.3,-2.6
59034,Avelin,59,2600,False,5.2,92.0,83.6,4.9,5.5,55.5,-4.8
