code_insee,commune,dep,PMUN,dans_MEL,navetteurs_MEL,actifs_occ_residents,part_MEL,EPCI,ZE2020,AAV2020,BV2022
59002,Abscon,59,4203,False,153,1514,10.1,200042190,3222,303,59574
59004,Aix-en-Pévèle,59,1358,False,298,763,39.1,200041960,3216,004,59449
59005,Allennes-les-Marais,59,3567,True,1321,1638,80.7,200093201,3216,004,59011
59008,Aniche,59,9997,False,366,3536,10.4,245901152,3212,059,59574
59011,Annœullin,59,10780,True,3442,4414,78.0,200093201,3216,004,59011
59013,Anstaing,59,1601,True,715,807,88.6,200093201,3216,004,59350
59014,Anzin,59,13422,False,362,4261,8.5,245901160,3222,038,59606
59015,Arleux,59,3151,False,80,1241,6.5,200044618,3212,059,59015
59017,Armentières,59,25581,True,8104,9748,83.1,200093201,3216,004,59017
59018,Arnèke,59,1561,False,69,606,11.4,200040947,3213,048,59663
59019,Artres,59,1064,False,34,445,7.6,245901160,3222,038,59606
59022,Attiches,59,2238,False,599,939,63.8,200041960,3216,004,59466
59024,Auberchicourt,59,4626,False,170,1697,10.0,245901152,3212,059,59574
59025,Aubers,59,1722,True,587,775,75.7,200093201,3216,004,59051
59026,Aubigny-au-Bac,59,1159,False,40,468,8.7,200044618,3212,059,59015
59027,Aubry-du-Hainaut,59,1726,False,98,643,15.2,245901160,3222,038,59606
59028,Auby,59,7188,False,279,2191,12.7,200044618,3212,059,59178
59029,Auchy-lez-Orchies,59,1486,False,298,679,43.8,200041960,3216,004,59449
59032,Aulnoy-lez-Valenciennes,59,7183,False,185,2507,7.4,245901160,3222,038,59606
59034,Avelin,59,2600,False,704,1199,58.8,200041960,3216,004,59466
59038,Avesnes-le-Sec,59,1447,False,35,656,5.4,200042190,3222,038,59172
59042,Bachy,59,1883,False,586,897,65.3,200041960,3216,004,59168
59043,Bailleul,59,14869,False,2524,6366,39.7,200040947,3216,004,59017
59044,Baisieux,59,5177,True,2104,2472,85.1,200093201,3216,004,59350
59052,Bauvin,59,4999,True,1530,2081,73.5,200093201,3216,004,59011
59054,Bavinchove,59,1046,False,48,442,10.8,200040947,3219,000,59580
59064,Bellaing,59,1329,False,75,453,16.6,200042190,3222,038,59172
59071,Bersée,59,2296,False,456,1076,42.4,200041960,3216,004,59466
59079,Beuvrages,59,6784,False,140,2113,6.6,245901160,3222,038,59606
59080,Beuvry-la-Forêt,59,2834,False,549,1344,40.8,200041960,3216,004,59449
59082,Bierne,59,1772,False,77,810,9.5,200040954,3213,048,59067
59084,Blaringhem,59,2043,False,65,898,7.2,200040947,3219,096,62014
59086,Boeschepe,59,2179,False,266,976,27.2,200040947,3216,004,59017
59088,Bois-Grenier,59,1793,True,665,796,83.5,200093201,3216,004,59017
59089,Bollezeele,59,1423,False,25,463,5.4,200040954,3213,048,59663
59090,Bondues,59,9713,True,3549,3913,90.7,200093201,3218,004,59350
59094,Bourbourg,59,7023,False,106,2719,3.9,245900428,3213,048,59094
59096,Bourghelles,59,1673,False,514,778,66.1,200041960,3216,004,59168
59098,Bousbecque,59,4847,True,1852,2135,86.7,200093201,3218,004,59350
59105,Bouvignies,59,1548,False,220,630,34.9,200041960,3216,004,59375
59112,Bruay-sur-l'Escaut,59,11309,False,249,3768,6.6,245901160,3222,038,59606
59114,Bruille-Saint-Amand,59,1682,False,139,723,19.3,200042190,3222,038,59616
59113,Bruille-lez-Marchiennes,59,1350,False,91,547,16.7,245901152,3212,004,59574
59117,Bugnicourt,59,1074,False,48,532,9.1,200044618,3212,059,59015
59122,Cambrai,59,31425,False,408,11050,3.7,200068500,3208,108,59122
59123,Camphin-en-Carembault,59,1714,False,444,866,51.2,200041960,3216,004,59462
59124,Camphin-en-Pévèle,59,2501,False,790,1162,67.9,200041960,3216,004,59350
59126,Cantin,59,1770,False,78,706,11.0,200044618,3212,059,59015
59128,Capinghem,59,2474,True,1072,1222,87.7,200093201,3216,004,59350
59129,Cappelle-en-Pévèle,59,2262,False,542,1155,46.9,200041960,3216,004,59466
59133,Carnin,59,1076,True,344,511,67.3,200093201,3216,004,59011
59135,Cassel,59,2227,False,149,947,15.7,200040947,3213,000,59580
59120,Caëstre,59,2006,False,241,915,26.4,200040947,3216,004,59295
59146,Chéreng,59,3001,True,1149,1340,85.8,200093201,3216,004,59350
59152,Comines,59,12671,True,4490,5341,84.1,200093201,3218,004,59350
59153,Condé-sur-l'Escaut,59,9396,False,134,2586,5.2,245901160,3222,038,59616
59155,Coudekerque-Branche,59,20765,False,195,8081,2.4,245900428,3213,048,59183
59156,Courchelettes,59,2881,False,81,995,8.1,200044618,3212,059,59178
59158,Coutiches,59,3246,False,665,1549,42.9,200041960,3216,004,59449
59163,Croix,59,20778,True,8093,8790,92.1,200093201,3218,004,59350
59165,Cuincy,59,6472,False,466,2389,19.5,200044618,3212,059,59178
59166,Curgies,59,1347,False,45,509,8.8,245901160,3222,038,59606
59168,Cysoing,59,4722,False,1288,2040,63.1,200041960,3216,004,59168
59170,Dechy,59,5351,False,186,1726,10.8,200044618,3212,059,59178
59172,Denain,59,20640,False,364,5597,6.5,200042190,3222,038,59172
59173,Deûlémont,59,1819,True,764,878,87.0,200093201,3216,004,59017
59670,Don,59,1412,True,519,649,80.0,200093201,3216,004,59653
59178,Douai,59,39648,False,1850,13386,13.8,200044618,3212,059,59178
59179,Douchy-les-Mines,59,10207,False,232,3383,6.9,200042190,3222,038,59172
59183,Dunkerque,59,86788,False,1110,30813,3.6,245900428,3213,048,59183
59189,Eecke,59,1221,False,136,595,22.9,200040947,3213,004,59580
59193,Emmerin,59,3053,True,1193,1347,88.6,200093201,3216,004,59350
59196,Ennetières-en-Weppes,59,1293,True,477,542,88.0,200093201,3216,004,59350
59197,Ennevelin,59,2356,False,727,1100,66.1,200041960,3216,004,59466
59202,Erquinghem-Lys,59,5356,True,1794,2329,77.0,200093201,3216,004,59017
59203,Erre,59,1574,False,141,682,20.7,245901152,3212,303,59574
59205,Escaudain,59,9253,False,245,3202,7.7,200042190,3222,038,59172
59207,Escautpont,59,4152,False,75,1150,6.6,200042190,3222,038,59616
59210,Esquelbecq,59,2134,False,75,882,8.5,200040954,3213,048,59663
59212,Estaires,59,6496,False,1064,2773,38.4,245900758,3205,004,59400
59214,Estrées,59,1116,False,46,426,10.8,200044618,3212,059,59015
59220,Faches-Thumesnil,59,18110,True,6647,7573,87.8,200093201,3216,004,59350
59221,Famars,59,2475,False,58,815,7.1,245901160,3222,038,59606
59222,Faumont,59,2251,False,462,1025,45.1,200044618,3216,004,59178
59227,Fenain,59,5529,False,311,1986,15.7,245901152,3212,004,59574
59234,Flers-en-Escrebieux,59,5642,False,316,2221,14.2,200044618,3212,059,59178
59239,Flines-lez-Raches,59,5610,False,808,2458,32.9,200044618,3212,004,59239
59238,Flines-lès-Mortagne,59,1649,False,109,763,14.2,200042190,3222,004,59526
59244,Fontaine-Notre-Dame,59,1763,False,45,779,5.7,200068500,3208,108,59122
59247,Forest-sur-Marque,59,1659,True,613,669,91.6,200093201,3218,004,59350
