libelle,zone_axe,distance_km,vitesse_pointe_kmh,vitesse_creux_kmh,vitesse_libre_kmh,retard_pointe_min,pct_ralenti_pointe,ecart_pointe_creux_kmh
Bouvines,Mélantois,13.9,36.8,40.7,44.6,4.3,21.8,3.9
Cysoing,Pévèle,16.1,37.6,39.0,43.5,4.7,19.8,1.4
Péronne-en-Mélantois,Mélantois,16.9,39.4,41.8,49.7,3.6,16.9,2.4
Templeuve-en-Pévèle,Pévèle,17.8,41.9,46.2,51.1,4.3,19.9,4.3
Prémesques,rocade NO / M652,18.3,45.9,49.5,53.3,3.2,15.0,3.6
Neuville-en-Ferrain,Ferrain,18.2,47.1,59.3,66.2,5.6,30.3,12.2
Sainghin-en-Weppes,Weppes,22.6,48.4,51.0,54.2,3.0,12.0,2.6
Fromelles,Weppes,22.1,49.3,51.8,55.7,3.0,12.2,2.5
Pérenchies,rocade NO / M652,20.7,49.9,53.6,58.3,3.6,16.7,3.7
Wavrin,Weppes,19.3,50.3,53.9,57.9,2.9,14.5,3.6
Bourghelles,Pévèle,23.3,52.2,55.3,58.2,2.9,12.1,3.1
Herlies,Weppes,23.2,54.2,59.0,63.0,3.6,16.2,4.8
Sailly-sur-la-Lys,Lys,30.7,56.5,59.6,62.9,3.3,11.3,3.1
Cappelle-en-Pévèle,Pévèle,30.6,58.7,74.6,80.5,4.4,18.6,15.9
