libelle,zone_axe,vitesse_libre_kmh,vitesse_pointe_kmh,v85_kmh,pct_zone30,n_troncons_tagges
Bouvines,Mélantois,44.6,36.8,30.0,62.0,29.0
Cysoing,Pévèle,43.5,37.6,,99.0,68.0
Péronne-en-Mélantois,Mélantois,49.7,39.4,30.0,95.0,38.0
Templeuve-en-Pévèle,Pévèle,51.1,41.9,,100.0,67.0
Prémesques,rocade NO / M652,53.3,45.9,50.0,,
Neuville-en-Ferrain,Ferrain,66.2,47.1,50.0,,
Sainghin-en-Weppes,Weppes,54.2,48.4,50.0,,
Fromelles,Weppes,55.7,49.3,50.0,,
Pérenchies,rocade NO / M652,58.3,49.9,50.0,,
Wavrin,Weppes,57.9,50.3,50.0,,
Bourghelles,Pévèle,58.2,52.2,,56.0,18.0
Herlies,Weppes,63.0,54.2,50.0,,
Sailly-sur-la-Lys,Lys,62.9,56.5,,,
Cappelle-en-Pévèle,Pévèle,80.5,58.7,,0.0,12.0
