uic,gare,trains_directs_jour,trains_pointe_matin,trains_arr_lille_matin,trains_pointe_soir,tps_trajet_median_min,tps_trajet_min_min,premier_train,dernier_train,amplitude_h,gares_lille_desservies,lignes,retour_trains_directs_jour,retour_pointe_soir,retour_dernier_depart_lille,autocars_directs_jour,vitesse_gc_rapide_kmh,remarque,stop_lat,stop_lon
87343004,Valenciennes,53,14,14,13,44.0,34.0,05:35,21:49,16.2,Flandres,"C60, K60, K61",52,14,21:39,0,77.0,,50.363187,3.517124
87343103,Saint-Amand-les-Eaux,53,15,14,14,34.0,24.0,05:45,22:00,16.2,Flandres,"C60, K60, K61",52,14,21:39,0,82.0,,50.443342,3.419371
87286583,Orchies,53,14,14,13,21.0,15.0,05:58,22:09,16.2,Flandres,"C60, K60, K61",52,14,21:39,0,87.0,,50.477028,3.248871
87345009,Douai,46,14,12,12,23.0,19.0,05:51,21:57,16.1,Flandres,"C40, K40, K44, K45",48,13,22:27,0,93.0,,50.371673,3.089958
87286146,Armentières,45,16,15,11,15.0,14.0,05:13,21:33,16.3,Flandres,"C70, K70, K71",47,16,22:13,0,62.0,,50.680848,2.87768
87286302,Hazebrouck,45,16,15,13,35.0,32.0,04:51,21:14,16.4,Flandres,"C70, K70, K71",47,16,22:13,0,72.0,,50.724924,2.541463
87286179,Bailleul,45,16,15,12,24.0,22.0,05:01,21:25,16.4,Flandres,"C70, K70, K71",47,16,22:13,0,70.0,,50.729167,2.734485
87345025,Lens,44,12,13,13,40.5,38.0,04:59,20:14,15.2,Flandres,"C41, C51, K51",44,14,21:40,0,46.0,,50.426866,2.828301
87345256,Libercourt,44,13,13,13,18.0,16.0,05:21,21:09,15.8,Flandres,"C40, C41",42,13,22:27,0,67.0,,50.480202,3.008642
87286518,Seclin,44,13,13,13,11.0,10.0,05:27,21:18,15.8,Flandres,"C40, C41",42,13,22:27,0,61.0,,50.548604,3.034965
87286435,Don - Sainghin,32,11,9,9,28.0,21.0,06:13,20:42,14.5,Flandres,"C50, C51, K51",37,10,21:06,0,41.0,,50.551726,2.914402
87342006,Béthune,30,10,9,10,38.0,35.0,05:49,20:46,15.0,Flandres,"C50, K50",31,10,21:06,0,56.0,,50.521454,2.640509
87342436,La Bassée,30,11,9,9,27.0,25.0,06:04,20:57,14.9,Flandres,"C50, K50",31,10,21:06,0,53.0,,50.527937,2.80477
87286625,Templeuve,29,9,9,7,16.0,11.0,06:04,22:05,16.0,Flandres,"C60, K61",27,8,21:39,0,77.0,,50.528694,3.175668
87286641,Fretin,27,7,7,7,12.0,11.0,06:09,22:09,16.0,Flandres,C60,26,7,21:39,0,56.0,,50.55996,3.149396
87286567,Rosult,27,7,7,7,31.0,29.0,05:50,21:50,16.0,Flandres,C60,26,7,21:39,0,58.0,,50.456425,3.348995
87286849,Lesquin,27,7,7,7,8.0,7.0,06:13,22:13,16.0,Flandres,C60,26,7,21:39,0,52.0,,50.590685,3.117714
87286575,Landas,27,7,7,7,27.0,25.0,05:54,21:54,16.0,Flandres,C60,26,7,21:39,0,58.0,,50.46879,3.290617
87295857,Le Quesnoy,24,6,6,6,49.0,47.0,05:36,21:37,16.0,Flandres,"K60, K61",22,6,20:35,0,76.0,,50.250193,3.645483
87295600,Aulnoye-Aymeries,24,5,6,6,60.0,59.0,05:25,21:26,16.0,Flandres,"K60, K61",22,6,20:35,0,75.0,,50.197477,3.843333
87345157,Hénin-Beaumont,23,6,7,7,28.0,27.0,05:10,20:22,15.2,Flandres,C41,20,7,21:40,0,57.0,,50.417084,2.952082
87345165,Dourges,23,6,7,7,24.0,23.0,05:14,20:26,15.2,Flandres,C41,20,7,21:40,0,61.0,,50.431922,2.987013
87345140,Billy-Montigny,23,6,7,7,32.0,31.0,05:06,20:18,15.2,Flandres,C41,20,7,21:40,0,52.0,,50.415551,2.91187
87287151,Nieppe,21,7,6,6,25.0,18.0,05:09,20:12,15.0,Flandres,C70,19,7,20:23,0,61.0,,50.696864,2.829106
87286161,Steenwerck,21,7,6,6,29.0,22.0,05:05,20:08,15.0,Flandres,C70,19,7,20:23,0,59.0,,50.712787,2.786562
87286112,Loos lez Lille,21,6,6,7,13.0,13.0,06:31,20:58,14.4,Flandres,"C50, C51",25,7,20:47,0,21.0,,50.612936,3.016976
87345264,Pont-à-Vendin,21,7,6,5,32.0,32.0,06:02,20:27,14.4,Flandres,"C51, K51",24,7,20:47,0,43.0,,50.471303,2.875266
87345223,Leforest,21,7,6,7,33.0,31.0,06:00,21:00,15.0,Flandres,C40,22,6,22:27,0,45.0,,50.427785,3.059792
87345249,Ostricourt,21,7,6,6,29.0,27.0,06:04,21:04,15.0,Flandres,C40,22,6,22:27,0,48.0,,50.445501,3.032414
87345280,Bauvin - Provin,21,7,6,6,27.0,27.0,06:07,20:35,14.5,Flandres,"C51, K51",24,7,20:47,0,40.0,,50.511557,2.90543
87286500,Phalempin,21,7,6,6,19.0,18.0,06:14,21:14,15.0,Flandres,C40,22,6,22:27,0,46.0,,50.515367,3.019899
