code_insee,commune,dep,PMUN,dans_MEL,dpe_n,part_passoires_pct,part_dpe_g_pct,part_dpe_abc_pct,dpe_cout_moyen_eur,dpe_conso_ep_m2,dpe_ges_m2,dpe_echantillon_faible
59002,Abscon,59,4203,False,1068,11.6,3.6,25.7,1730.0,220.0,38.2,False
59004,Aix-en-Pévèle,59,1358,False,121,9.1,5.0,47.1,1898.0,198.0,18.6,False
59005,Allennes-les-Marais,59,3567,True,375,12.3,4.3,36.5,1752.0,210.0,29.4,False
59008,Aniche,59,9997,False,2460,10.0,3.8,27.5,1781.0,216.0,33.5,False
59011,Annœullin,59,10780,True,1895,9.8,3.7,36.2,2245.0,206.0,31.1,False
59013,Anstaing,59,1601,True,179,12.3,4.5,46.9,1835.0,201.0,27.0,False
59014,Anzin,59,13422,False,3585,7.8,2.0,28.4,1719.0,211.0,31.6,False
59015,Arleux,59,3151,False,475,10.1,4.2,40.2,1721.0,201.0,33.7,False
59017,Armentières,59,25581,True,7184,7.8,2.3,42.2,1717.0,199.0,26.8,False
59018,Arnèke,59,1561,False,212,12.7,4.7,44.8,1793.0,198.0,23.2,False
59019,Artres,59,1064,False,139,7.2,1.4,37.4,1849.0,202.0,29.8,False
59022,Attiches,59,2238,False,287,7.0,2.8,30.7,1897.0,190.0,31.5,False
59024,Auberchicourt,59,4626,False,1199,14.7,4.1,20.9,1731.0,236.0,43.4,False
59025,Aubers,59,1722,True,156,7.7,3.2,50.0,2009.0,188.0,19.1,False
59026,Aubigny-au-Bac,59,1159,False,123,17.1,7.3,17.9,2045.0,242.0,31.0,False
59027,Aubry-du-Hainaut,59,1726,False,138,10.1,2.9,42.8,2084.0,198.0,31.4,False
59028,Auby,59,7188,False,1901,12.0,2.1,29.8,1631.0,212.0,39.5,False
59029,Auchy-lez-Orchies,59,1486,False,173,10.4,5.2,44.5,2013.0,197.0,24.3,False
59032,Aulnoy-lez-Valenciennes,59,7183,False,1882,6.8,2.2,34.7,1765.0,207.0,31.9,False
59034,Avelin,59,2600,False,260,4.6,1.9,35.8,1794.0,193.0,23.6,False
59038,Avesnes-le-Sec,59,1447,False,143,18.9,7.0,31.5,2166.0,232.0,34.5,False
59042,Bachy,59,1883,False,207,9.7,5.8,40.6,1862.0,201.0,20.5,False
59043,Bailleul,59,14869,False,2383,9.4,3.4,40.5,1775.0,203.0,27.3,False
59044,Baisieux,59,5177,True,723,7.5,2.6,49.4,1733.0,180.0,27.3,False
59052,Bauvin,59,4999,True,922,8.1,3.3,27.4,1841.0,211.0,32.0,False
59054,Bavinchove,59,1046,False,134,16.4,3.0,35.8,2029.0,209.0,23.4,False
