code_insee,commune,dep,PMUN,dans_MEL,acces_creche_moy_min,acces_creche_min_min,acces_maternelle_moy_min,acces_maternelle_min_min,acces_elementaire_moy_min,acces_elementaire_min_min,acces_college_moy_min,acces_college_min_min,acces_lycee_moy_min,acces_lycee_min_min,ecole_sur_place,college_sur_place,creche_sur_place,places_creche,part_0_14ans,places_creche_col_pour_100_moins3,couverture_petite_enfance_epci,couverture_creche_epci,couverture_assmat_epci
59002,Abscon,59,4203,False,3.0,1.0,1.7,1.0,1.6,1.0,3.0,1.0,4.4,2.4,1,0,1,12,19.4,7.0,52.9,9.2,32.1
59004,Aix-en-Pévèle,59,1358,False,9.5,6.3,2.6,1.0,2.6,1.0,9.2,6.1,8.8,5.6,1,0,0,0,20.7,0.0,76.0,19.9,46.5
59005,Allennes-les-Marais,59,3567,True,3.7,1.5,1.7,1.0,1.7,1.0,3.6,1.5,5.0,3.3,1,0,0,0,17.2,0.0,62.4,26.0,27.1
59008,Aniche,59,9997,False,2.3,1.0,1.5,1.0,1.7,1.0,2.5,1.0,5.0,1.0,1,1,1,19,22.2,4.0,56.0,7.2,35.6
59011,Annœullin,59,10780,True,2.1,1.0,1.7,1.0,1.7,1.0,2.6,1.0,8.1,5.7,1,1,1,54,17.7,14.0,62.4,26.0,27.1
59013,Anstaing,59,1601,True,6.4,4.4,1.7,1.0,1.7,1.0,6.6,4.6,9.4,6.3,1,0,0,0,19.9,0.0,62.4,26.0,27.1
59014,Anzin,59,13422,False,2.2,1.0,1.4,1.0,1.6,1.0,2.5,1.0,3.0,1.0,1,1,1,25,21.0,4.0,50.4,16.1,24.0
59015,Arleux,59,3151,False,2.8,1.0,1.8,1.0,1.8,1.0,3.1,1.0,13.4,11.0,1,1,1,10,17.3,9.0,55.6,15.4,29.7
59017,Armentières,59,25581,True,2.3,1.0,1.5,1.0,1.4,1.0,2.1,1.0,1.9,1.0,1,1,1,86,20.4,8.0,62.4,26.0,27.1
59018,Arnèke,59,1561,False,7.4,4.3,1.5,1.0,1.5,1.0,8.1,4.8,10.7,7.1,1,0,0,0,14.7,0.0,74.6,11.3,49.7
59019,Artres,59,1064,False,6.3,5.3,2.1,1.0,2.1,1.0,9.3,8.1,7.6,6.4,1,0,0,0,20.1,0.0,50.4,16.1,24.0
59022,Attiches,59,2238,False,6.9,5.3,1.8,1.0,1.6,1.0,8.9,4.8,8.3,6.4,1,0,0,0,19.1,0.0,76.0,19.9,46.5
59024,Auberchicourt,59,4626,False,3.5,1.8,1.5,1.0,2.1,1.0,3.5,1.8,6.8,5.2,1,0,0,0,18.9,0.0,56.0,7.2,35.6
59025,Aubers,59,1722,True,10.8,8.2,1.6,1.0,1.6,1.0,1.9,1.0,11.2,8.9,1,0,0,0,19.4,0.0,62.4,26.0,27.1
59026,Aubigny-au-Bac,59,1159,False,7.9,5.9,1.3,1.0,1.2,1.0,10.7,8.7,14.0,12.4,1,0,0,0,17.0,0.0,55.6,15.4,29.7
59027,Aubry-du-Hainaut,59,1726,False,1.7,1.0,1.6,1.0,1.7,1.0,3.5,1.5,6.0,4.0,1,0,1,12,17.4,20.0,50.4,16.1,24.0
59028,Auby,59,7188,False,2.8,1.0,1.9,1.0,1.9,1.0,3.0,1.0,3.6,1.0,1,1,1,26,21.4,8.0,55.6,15.4,29.7
59029,Auchy-lez-Orchies,59,1486,False,7.3,4.9,2.1,1.0,2.1,1.0,6.3,4.3,6.0,3.7,1,0,0,0,19.2,0.0,76.0,19.9,46.5
59032,Aulnoy-lez-Valenciennes,59,7183,False,3.5,1.0,1.3,1.0,1.6,1.0,2.6,1.0,5.2,3.2,1,1,0,0,14.2,0.0,50.4,16.1,24.0
59034,Avelin,59,2600,False,2.4,1.0,2.2,1.0,2.2,1.0,5.9,3.2,9.1,6.2,1,0,1,44,17.6,49.0,76.0,19.9,46.5
59038,Avesnes-le-Sec,59,1447,False,9.9,8.1,1.2,1.0,1.2,1.0,8.5,6.9,14.6,13.1,1,0,0,0,20.0,0.0,52.9,9.2,32.1
59042,Bachy,59,1883,False,8.0,5.9,2.0,1.0,2.0,1.0,7.8,6.1,9.0,6.5,1,0,0,0,20.6,0.0,76.0,19.9,46.5
59043,Bailleul,59,14869,False,3.6,1.0,1.8,1.0,1.8,1.0,3.3,1.0,3.3,1.0,1,1,1,50,15.6,11.0,74.6,11.3,49.7
59044,Baisieux,59,5177,True,2.7,1.0,1.5,1.0,1.5,1.0,8.0,5.4,7.5,4.3,1,0,1,47,19.4,23.0,62.4,26.0,27.1
59052,Bauvin,59,4999,True,4.1,1.2,1.4,1.0,1.6,1.0,2.4,1.0,8.8,5.8,1,0,0,0,17.4,0.0,62.4,26.0,27.1
59054,Bavinchove,59,1046,False,8.3,5.2,1.6,1.0,1.6,1.0,5.2,3.5,11.7,8.7,1,0,0,0,21.8,0.0,74.6,11.3,49.7
59064,Bellaing,59,1329,False,4.0,2.6,2.1,1.0,2.1,1.0,5.3,3.4,8.1,6.6,1,0,0,0,19.6,0.0,52.9,9.2,32.1
59071,Bersée,59,2296,False,11.2,8.5,1.8,1.0,1.8,1.0,7.2,4.2,10.4,7.9,1,0,0,0,16.9,0.0,76.0,19.9,46.5
59079,Beuvrages,59,6784,False,2.2,1.0,1.3,1.0,1.5,1.0,2.2,1.0,5.7,3.5,1,1,1,18,22.2,6.0,50.4,16.1,24.0
59080,Beuvry-la-Forêt,59,2834,False,5.5,1.8,2.5,1.0,2.6,1.0,8.6,5.1,8.8,4.6,1,0,0,0,17.6,0.0,76.0,19.9,46.5
59082,Bierne,59,1772,False,3.8,1.5,1.5,1.0,1.5,1.0,4.8,2.6,9.2,6.4,1,0,0,0,18.1,0.0,79.5,9.0,56.8
59084,Blaringhem,59,2043,False,10.1,5.5,2.4,1.0,2.4,1.0,10.3,5.7,12.7,8.4,1,0,0,0,20.4,0.0,74.6,11.3,49.7
59086,Boeschepe,59,2179,False,11.8,8.2,2.7,1.0,2.7,1.0,10.7,6.7,14.8,8.7,1,0,0,0,18.0,0.0,74.6,11.3,49.7
59088,Bois-Grenier,59,1793,True,6.5,3.7,1.3,1.0,1.3,1.0,4.9,1.9,6.7,3.9,1,0,0,0,20.1,0.0,62.4,26.0,27.1
59089,Bollezeele,59,1423,False,11.5,7.1,1.5,1.0,1.5,1.0,11.8,7.2,13.4,9.3,1,0,0,0,18.0,0.0,79.5,9.0,56.8
59090,Bondues,59,9713,True,4.0,1.0,2.2,1.0,2.2,1.0,5.2,1.0,5.9,1.0,1,1,1,60,18.2,17.0,62.4,26.0,27.1
59094,Bourbourg,59,7023,False,1.8,1.0,1.5,1.0,1.5,1.0,1.6,1.0,12.0,7.3,1,1,1,20,18.3,8.0,58.6,17.3,30.7
59096,Bourghelles,59,1673,False,5.3,2.2,2.1,1.0,2.1,1.0,5.5,3.7,8.4,5.6,1,0,0,0,16.7,0.0,76.0,19.9,46.5
59098,Bousbecque,59,4847,True,2.1,1.0,2.1,1.0,2.0,1.0,5.8,2.2,6.0,3.7,1,0,1,28,19.1,15.0,62.4,26.0,27.1
59105,Bouvignies,59,1548,False,8.7,5.4,2.4,1.0,2.4,1.0,7.9,5.0,11.6,8.3,1,0,0,0,19.8,0.0,76.0,19.9,46.5
59112,Bruay-sur-l'Escaut,59,11309,False,3.7,1.0,1.9,1.0,1.9,1.0,3.3,1.0,7.8,3.5,1,1,1,15,22.6,3.0,50.4,16.1,24.0
59114,Bruille-Saint-Amand,59,1682,False,3.3,1.0,2.5,1.0,2.5,1.0,7.0,4.8,7.7,4.7,1,0,1,12,17.3,20.0,52.9,9.2,32.1
59113,Bruille-lez-Marchiennes,59,1350,False,4.6,3.2,1.2,1.0,1.2,1.0,5.8,3.8,6.9,5.8,1,0,0,0,20.4,0.0,56.0,7.2,35.6
59117,Bugnicourt,59,1074,False,4.8,3.4,1.5,1.0,1.5,1.0,7.6,6.2,10.8,9.9,1,0,0,0,18.5,0.0,55.6,15.4,29.7
59122,Cambrai,59,31425,False,2.2,1.0,1.5,1.0,1.5,1.0,2.4,1.0,2.2,1.0,1,1,1,102,15.2,11.0,66.9,10.8,41.3
59123,Camphin-en-Carembault,59,1714,False,4.9,2.3,1.8,1.0,1.8,1.0,5.8,4.2,8.0,6.0,1,0,0,0,17.3,0.0,76.0,19.9,46.5
59124,Camphin-en-Pévèle,59,2501,False,2.0,1.0,1.7,1.0,1.7,1.0,11.5,8.5,3.2,1.0,1,0,1,22,23.1,19.0,76.0,19.9,46.5
59126,Cantin,59,1770,False,5.3,3.2,1.4,1.0,1.4,1.0,8.2,4.2,8.4,5.6,1,0,0,0,20.4,0.0,55.6,15.4,29.7
59128,Capinghem,59,2474,True,5.4,3.5,2.8,1.0,2.8,1.0,4.4,2.4,6.2,4.2,1,0,0,0,14.6,0.0,62.4,26.0,27.1
59129,Cappelle-en-Pévèle,59,2262,False,6.0,3.7,2.1,1.0,2.1,1.0,2.8,1.0,9.4,6.2,1,1,0,0,20.5,0.0,76.0,19.9,46.5
59133,Carnin,59,1076,True,3.1,1.7,1.2,1.0,1.2,1.0,5.2,3.9,6.7,5.3,1,0,0,0,19.5,0.0,62.4,26.0,27.1
59135,Cassel,59,2227,False,5.2,2.5,2.0,1.0,2.0,1.0,2.4,1.0,11.9,6.6,1,1,0,0,16.9,0.0,74.6,11.3,49.7
59120,Caëstre,59,2006,False,7.9,5.1,1.3,1.0,1.3,1.0,7.8,5.3,9.1,6.5,1,0,0,0,20.4,0.0,74.6,11.3,49.7
59146,Chéreng,59,3001,True,6.4,3.7,1.6,1.0,1.6,1.0,7.8,5.9,9.9,5.6,1,0,0,0,17.8,0.0,62.4,26.0,27.1
59152,Comines,59,12671,True,2.6,1.0,1.8,1.0,1.8,1.0,2.4,1.0,13.0,8.7,1,1,1,42,19.8,8.0,62.4,26.0,27.1
59153,Condé-sur-l'Escaut,59,9396,False,2.7,1.0,1.7,1.0,1.8,1.0,3.1,1.0,4.3,1.0,1,1,1,55,20.0,15.0,50.4,16.1,24.0
59155,Coudekerque-Branche,59,20765,False,1.6,1.0,1.2,1.0,1.2,1.0,1.4,1.0,2.1,1.0,1,1,1,62,17.8,8.0,58.6,17.3,30.7
59156,Courchelettes,59,2881,False,1.7,1.0,1.4,1.0,2.2,1.0,4.6,2.4,5.7,3.7,1,0,1,15,15.5,17.0,55.6,15.4,29.7
59158,Coutiches,59,3246,False,7.3,3.8,2.9,1.0,2.9,1.0,7.1,3.5,8.3,4.4,1,0,0,0,20.2,0.0,76.0,19.9,46.5
59163,Croix,59,20778,True,1.7,1.0,1.3,1.0,1.3,1.0,2.1,1.0,3.5,1.0,1,1,1,55,18.7,7.0,62.4,26.0,27.1
59165,Cuincy,59,6472,False,2.5,1.0,1.7,1.0,2.0,1.0,2.9,1.0,4.1,2.6,1,0,1,22,18.3,9.0,55.6,15.4,29.7
59166,Curgies,59,1347,False,2.9,1.7,1.2,1.0,1.2,1.0,5.7,4.6,4.6,3.5,1,0,0,0,20.4,0.0,50.4,16.1,24.0
59168,Cysoing,59,4722,False,3.2,1.0,1.7,1.0,1.8,1.0,2.6,1.0,8.1,3.6,1,1,1,30,15.8,20.0,76.0,19.9,46.5
59170,Dechy,59,5351,False,4.1,2.0,1.5,1.0,2.1,1.0,2.4,1.0,4.0,1.7,1,1,0,0,20.6,0.0,55.6,15.4,29.7
59172,Denain,59,20640,False,2.3,1.0,1.5,1.0,1.6,1.0,1.9,1.0,2.1,1.0,1,1,1,55,24.5,5.0,52.9,9.2,32.1
59173,Deûlémont,59,1819,True,6.3,2.1,1.9,1.0,1.9,1.0,7.3,5.3,10.8,8.7,1,0,0,0,19.4,0.0,62.4,26.0,27.1
59670,Don,59,1412,True,4.7,2.9,1.9,1.0,1.9,1.0,4.5,2.8,10.4,8.9,1,0,0,0,17.7,0.0,62.4,26.0,27.1
59178,Douai,59,39648,False,2.7,1.0,1.6,1.0,1.6,1.0,2.4,1.0,2.5,1.0,1,1,1,216,17.3,16.0,55.6,15.4,29.7
59179,Douchy-les-Mines,59,10207,False,1.8,1.0,1.4,1.0,1.4,1.0,2.9,1.0,4.7,1.7,1,1,1,20,21.2,5.0,52.9,9.2,32.1
59183,Dunkerque,59,86788,False,1.7,1.0,1.4,1.0,1.3,1.0,1.8,1.0,2.4,1.0,1,1,1,402,16.5,14.0,58.6,17.3,30.7
59189,Eecke,59,1221,False,6.1,3.7,1.3,1.0,1.3,1.0,5.4,2.5,11.0,8.5,1,0,0,0,20.5,0.0,74.6,11.3,49.7
59193,Emmerin,59,3053,True,3.8,1.6,2.5,1.0,2.5,1.0,5.8,3.7,3.1,1.0,1,0,0,0,18.9,0.0,62.4,26.0,27.1
59196,Ennetières-en-Weppes,59,1293,True,7.7,3.4,2.4,1.0,2.4,1.0,6.5,2.9,8.3,5.4,1,0,0,0,15.4,0.0,62.4,26.0,27.1
