code_insee,commune,dep,PMUN,dans_MEL,indice_atmo_moyen,air_pct_jours_bons,air_pct_jours_degrades,air_pct_jours_mauvais,air_nb_jours,artif_pct_2009_2024,imper_pct_2021,imper_flux_2018_2021
59002,Abscon,59,4203,False,2.4,72.19,27.81,11.83,169,0.64,10.68,0.03
59004,Aix-en-Pévèle,59,1358,False,2.4,72.78,27.22,12.43,169,1.85,7.1,0.35
59005,Allennes-les-Marais,59,3567,True,2.4,72.78,27.22,13.61,169,2.55,13.21,0.38
59008,Aniche,59,9997,False,2.39,72.19,27.81,11.83,169,1.18,27.12,0.31
59011,Annœullin,59,10780,True,2.4,72.19,27.81,13.61,169,4.94,19.98,0.53
59013,Anstaing,59,1601,True,2.43,71.6,28.4,14.2,169,3.57,14.08,-0.07
59014,Anzin,59,13422,False,2.41,71.01,28.99,11.83,169,3.57,56.72,0.58
59015,Arleux,59,3151,False,2.37,73.96,26.04,11.83,169,1.51,7.89,0.05
59017,Armentières,59,25581,True,2.4,71.01,28.99,13.61,169,0.03,53.06,0.63
59018,Arnèke,59,1561,False,2.38,71.6,28.4,10.06,169,1.46,4.89,0.05
59019,Artres,59,1064,False,2.38,72.19,27.81,10.65,169,0.94,4.92,0.01
59022,Attiches,59,2238,False,2.4,73.37,26.63,13.61,169,1.72,7.86,0.18
59024,Auberchicourt,59,4626,False,2.39,72.19,27.81,11.83,169,0.88,12.92,0.09
59025,Aubers,59,1722,True,2.41,70.41,29.59,13.02,169,1.24,5.88,0.32
59026,Aubigny-au-Bac,59,1159,False,2.37,73.96,26.04,11.83,169,1.49,8.36,0.14
59027,Aubry-du-Hainaut,59,1726,False,2.4,71.6,28.4,11.83,169,1.79,9.48,0.07
59028,Auby,59,7188,False,2.4,72.78,27.22,13.02,169,2.07,28.73,0.1
59029,Auchy-lez-Orchies,59,1486,False,2.41,71.6,28.4,13.02,169,1.35,6.98,0.04
59032,Aulnoy-lez-Valenciennes,59,7183,False,2.39,71.6,28.4,10.65,169,1.46,18.89,0.31
59034,Avelin,59,2600,False,2.42,72.19,27.81,14.2,169,1.18,10.62,0.23
59038,Avesnes-le-Sec,59,1447,False,2.4,72.19,27.81,11.83,169,1.26,4.09,0.05
59042,Bachy,59,1883,False,2.37,73.96,26.04,11.83,169,1.9,6.36,0.12
59043,Bailleul,59,14869,False,2.41,71.01,28.99,13.61,169,1.28,10.29,0.12
59044,Baisieux,59,5177,True,2.43,70.41,29.59,13.61,169,3.15,14.2,0.9
59052,Bauvin,59,4999,True,2.4,72.19,27.81,13.02,169,1.74,23.47,0.74
59054,Bavinchove,59,1046,False,2.38,71.01,28.99,10.06,169,0.73,4.86,0.02
59064,Bellaing,59,1329,False,2.4,71.6,28.4,11.83,169,2.17,11.16,0.32
59071,Bersée,59,2296,False,2.42,72.78,27.22,15.38,169,1.03,6.9,0.08
59079,Beuvrages,59,6784,False,2.41,71.6,28.4,12.43,169,2.56,31.24,0.5
59080,Beuvry-la-Forêt,59,2834,False,2.41,71.6,28.4,13.02,169,1.31,8.53,0.13
59082,Bierne,59,1772,False,2.4,71.01,28.99,11.24,169,1.47,9.08,0.32
59084,Blaringhem,59,2043,False,2.41,69.82,30.18,11.24,169,2.33,7.69,0.22
59086,Boeschepe,59,2179,False,2.38,72.78,27.22,12.43,169,1.63,6.52,0.09
59088,Bois-Grenier,59,1793,True,2.41,70.41,29.59,13.61,169,1.26,9.25,0.23
59089,Bollezeele,59,1423,False,2.39,70.41,29.59,9.47,169,0.91,3.76,0.05
59090,Bondues,59,9713,True,2.44,70.41,29.59,14.2,169,2.52,20.37,0.26
59094,Bourbourg,59,7023,False,2.4,71.01,28.99,11.24,169,1.57,6.06,0.08
59096,Bourghelles,59,1673,False,2.4,72.19,27.81,12.43,169,1.53,6.55,0.13
59098,Bousbecque,59,4847,True,2.41,69.82,30.18,13.02,169,1.37,18.88,-0.05
59105,Bouvignies,59,1548,False,2.42,71.6,28.4,13.61,169,1.23,4.93,0.04
59112,Bruay-sur-l'Escaut,59,11309,False,2.41,71.01,28.99,12.43,169,2.12,31.5,1.3
59114,Bruille-Saint-Amand,59,1682,False,2.4,72.78,27.22,13.02,169,1.05,6.87,0.05
59113,Bruille-lez-Marchiennes,59,1350,False,2.4,71.6,28.4,11.83,169,0.29,7.02,-0.12
59117,Bugnicourt,59,1074,False,2.37,73.96,26.04,11.83,169,1.7,6.15,0.43
59122,Cambrai,59,31425,False,2.38,72.78,27.22,11.83,169,1.35,35.2,0.28
59123,Camphin-en-Carembault,59,1714,False,2.4,72.19,27.81,13.02,169,2.17,7.91,0.2
59124,Camphin-en-Pévèle,59,2501,False,2.4,72.19,27.81,12.43,169,2.73,10.25,0.41
59126,Cantin,59,1770,False,2.37,73.96,26.04,11.83,169,1.7,6.5,0.23
59128,Capinghem,59,2474,True,2.41,71.6,28.4,13.61,169,4.23,26.27,0.19
59129,Cappelle-en-Pévèle,59,2262,False,2.41,72.19,27.81,14.2,169,2.63,9.43,0.47
59133,Carnin,59,1076,True,2.39,72.78,27.22,13.02,169,1.49,11.56,0.32
59135,Cassel,59,2227,False,2.38,71.01,28.99,10.06,169,0.65,5.44,0.11
59120,Caëstre,59,2006,False,2.41,70.41,29.59,13.02,169,0.74,6.5,0.12
59146,Chéreng,59,3001,True,2.43,71.6,28.4,14.2,169,1.61,15.96,0.76
59152,Comines,59,12671,True,2.43,69.23,30.77,13.61,169,0.96,18.61,0.37
59153,Condé-sur-l'Escaut,59,9396,False,2.41,71.6,28.4,13.02,169,1.47,9.96,0.13
59155,Coudekerque-Branche,59,20765,False,2.43,70.41,29.59,13.61,169,0.28,37.0,0.16
59156,Courchelettes,59,2881,False,2.37,72.78,27.22,10.65,169,0.33,35.97,-0.11
59158,Coutiches,59,3246,False,2.43,71.6,28.4,14.2,169,1.69,5.83,0.23
59163,Croix,59,20778,True,2.42,71.6,28.4,13.61,169,0.97,51.42,0.33
59165,Cuincy,59,6472,False,2.39,72.78,27.22,12.43,169,1.44,28.66,0.37
59166,Curgies,59,1347,False,2.38,72.19,27.81,10.06,169,4.17,7.57,0.15
59168,Cysoing,59,4722,False,2.41,72.19,27.81,13.61,169,1.91,7.96,0.22
59170,Dechy,59,5351,False,2.4,72.19,27.81,12.43,169,2.14,15.33,0.72
59172,Denain,59,20640,False,2.4,71.01,28.99,11.24,169,4.8,32.54,0.68
59173,Deûlémont,59,1819,True,2.41,71.01,28.99,13.61,169,0.9,7.12,0.04
59670,Don,59,1412,True,2.4,72.19,27.81,13.61,169,0.0,16.54,-0.18
59178,Douai,59,39648,False,2.43,71.01,28.99,14.79,169,1.11,43.29,0.06
59179,Douchy-les-Mines,59,10207,False,2.4,71.6,28.4,11.24,169,2.51,18.48,0.16
59183,Dunkerque,59,86788,False,2.47,68.05,31.95,14.79,169,0.71,44.18,-0.37
59189,Eecke,59,1221,False,2.4,72.19,27.81,13.02,169,0.94,4.86,0.01
59193,Emmerin,59,3053,True,2.41,72.78,27.22,13.61,169,1.51,11.93,-0.01
59196,Ennetières-en-Weppes,59,1293,True,2.43,69.82,30.18,13.61,169,1.2,8.7,-0.09
59197,Ennevelin,59,2356,False,2.4,72.78,27.22,13.61,169,2.45,8.23,0.4
59202,Erquinghem-Lys,59,5356,True,2.41,71.01,28.99,13.61,169,3.03,13.03,0.17
59203,Erre,59,1574,False,2.4,71.6,28.4,11.83,169,0.71,6.76,0.06
59205,Escaudain,59,9253,False,2.41,71.01,28.99,11.83,169,2.1,17.78,0.18
59207,Escautpont,59,4152,False,2.4,72.19,27.81,12.43,169,2.76,15.53,0.11
59210,Esquelbecq,59,2134,False,2.39,70.41,29.59,10.06,169,1.45,7.43,0.14
59212,Estaires,59,6496,False,2.43,69.82,30.18,13.61,169,2.36,11.87,0.67
59214,Estrées,59,1116,False,2.37,73.96,26.04,11.83,169,0.73,5.52,0.12
59220,Faches-Thumesnil,59,18110,True,2.42,72.19,27.81,13.61,169,5.93,52.76,0.18
59221,Famars,59,2475,False,2.38,72.78,27.22,10.65,169,6.73,13.92,0.43
59222,Faumont,59,2251,False,2.41,72.78,27.22,14.79,169,1.6,6.26,0.07
59227,Fenain,59,5529,False,2.4,71.6,28.4,11.83,169,1.94,17.03,0.21
59234,Flers-en-Escrebieux,59,5642,False,2.4,72.19,27.81,13.02,169,1.74,26.1,0.47
59239,Flines-lez-Raches,59,5610,False,2.42,72.19,27.81,14.2,169,1.18,7.62,0.16
59238,Flines-lès-Mortagne,59,1649,False,2.4,72.19,27.81,13.61,169,0.57,3.58,0.03
59244,Fontaine-Notre-Dame,59,1763,False,2.38,73.37,26.63,11.83,169,0.55,8.76,0.07
59247,Forest-sur-Marque,59,1659,True,2.41,72.78,27.22,13.61,169,3.12,27.41,1.34
59250,Fournes-en-Weppes,59,2190,True,2.41,71.6,28.4,13.61,169,0.75,8.54,0.04
59252,Frelinghien,59,2581,True,2.41,71.01,28.99,13.61,169,0.68,7.93,0.07
59253,Fresnes-sur-Escaut,59,7486,False,2.41,71.6,28.4,13.02,169,1.11,13.71,1.13
59256,Fretin,59,3227,True,2.43,71.6,28.4,14.2,169,1.4,21.03,-0.22
59257,Fromelles,59,1076,True,2.42,70.41,29.59,13.61,169,1.74,4.31,0.1
59224,Féchain,59,1658,False,2.38,73.37,26.63,11.83,169,1.64,11.46,0.07
59228,Férin,59,1447,False,2.38,72.78,27.22,11.24,169,1.55,9.47,0.2
59258,Genech,59,2825,False,2.39,72.78,27.22,12.43,169,2.13,12.1,0.35
59260,Ghyvelde,59,4119,False,2.44,68.64,31.36,13.61,169,1.83,4.9,0.05
59262,Godewaersvelde,59,2053,False,2.37,72.78,27.22,11.83,169,1.06,6.86,0.07
59265,Gommegnies,59,2300,False,2.37,72.19,27.81,8.88,169,0.93,5.02,0.03
59266,Gondecourt,59,4050,False,2.4,72.78,27.22,13.02,169,1.07,14.6,0.26
59271,Grande-Synthe,59,20331,False,2.45,69.23,30.77,13.61,169,1.99,34.24,0.27
59275,Gruson,59,1237,True,2.41,72.19,27.81,13.61,169,1.77,9.37,0.07
59276,Guesnain,59,4656,False,2.39,72.78,27.22,12.43,169,1.64,23.19,0.16
59263,Gœulzin,59,1042,False,2.38,73.37,26.63,11.83,169,1.55,7.5,0.06
59278,Hallennes-lez-Haubourdin,59,4718,True,2.4,72.19,27.81,13.61,169,4.31,27.44,0.82
59279,Halluin,59,20829,True,2.42,71.01,28.99,13.61,169,2.4,28.41,0.68
59281,Hantay,59,1259,True,2.4,71.6,28.4,13.02,169,1.64,11.9,0.21
59284,Hasnon,59,3874,False,2.41,71.6,28.4,12.43,169,0.98,8.41,0.07
59286,Haubourdin,59,14757,True,2.41,72.19,27.81,13.61,169,2.89,40.24,0.4
59292,Haveluy,59,3250,False,2.4,71.6,28.4,11.83,169,2.06,12.23,0.5
59293,Haverskerque,59,1401,False,2.4,70.41,29.59,11.83,169,0.96,6.05,0.03
59295,Hazebrouck,59,21498,False,2.41,69.82,30.18,12.43,169,1.5,17.59,0.42
59299,Hem,59,18713,True,2.44,69.82,30.18,14.2,169,2.43,32.46,0.07
59301,Hergnies,59,4463,False,2.41,71.6,28.4,13.02,169,1.67,9.59,0.06
59303,Herlies,59,2323,True,2.41,71.01,28.99,13.61,169,2.7,9.89,1.01
59305,Herzeele,59,1634,False,2.37,72.19,27.81,10.06,169,1.28,5.19,0.08
59309,Hondschoote,59,4026,False,2.37,71.01,28.99,10.06,169,2.1,5.46,0.08
59314,Hornaing,59,3535,False,2.4,71.6,28.4,11.83,169,5.46,9.54,0.09
59316,Houplin-Ancoisne,59,3275,True,2.4,73.37,26.63,13.61,169,0.45,11.2,0.08
59317,Houplines,59,7897,True,2.4,71.6,28.4,13.61,169,0.28,15.56,0.16
59297,Hélesmes,59,1921,False,2.41,71.6,28.4,12.43,169,1.03,6.4,0.09
59302,Hérin,59,4129,False,2.4,71.6,28.4,11.83,169,1.4,15.81,0.27
59320,Illies,59,1664,True,2.41,71.01,28.99,13.02,169,3.28,8.64,0.73
59051,La Bassée,59,6622,True,2.41,71.01,28.99,13.02,169,4.6,34.46,1.74
59143,La Chapelle-d'Armentières,59,8719,True,2.41,71.01,28.99,13.61,169,5.02,22.9,1.33
59268,La Gorgue,59,5599,False,2.43,69.23,30.77,13.02,169,0.77,13.15,0.1
59368,La Madeleine,59,22488,True,2.43,71.01,28.99,13.61,169,0.11,70.96,0.92
