code_insee,commune,dep,PMUN,dans_MEL,risque_inondation,risque_remontee_nappe,risque_minier,risque_mvt_terrain,risque_techno,catnat_total_n,catnat_inondation_n,catnat_secheresse_n,catnat_inondation_depuis_2010_n,catnat_derniere_annee,nb_risques_naturels,catnat_inondation_par_decennie
59002,Abscon,59,4203,False,1,0,1,1,0,5,3,1,0,2023,3,0.7
59004,Aix-en-Pévèle,59,1358,False,0,0,0,1,0,5,2,2,0,2021,1,0.5
59005,Allennes-les-Marais,59,3567,True,1,0,0,0,0,3,2,0,0,2000,1,0.5
59008,Aniche,59,9997,False,1,0,1,1,0,5,2,2,0,2023,3,0.5
59011,Annœullin,59,10780,True,1,0,0,0,0,4,3,0,1,2015,1,0.7
59013,Anstaing,59,1601,True,1,0,0,0,0,5,4,0,1,2016,1,0.9
59014,Anzin,59,13422,False,0,0,0,1,0,5,2,1,1,2019,1,0.5
59015,Arleux,59,3151,False,1,0,0,1,1,3,2,0,0,1999,2,0.5
59017,Armentières,59,25581,True,1,0,0,1,0,9,8,0,2,2012,2,1.9
59018,Arnèke,59,1561,False,1,0,0,1,0,19,12,6,6,2023,2,2.8
59019,Artres,59,1064,False,1,0,0,0,0,5,3,0,0,1999,1,0.7
59022,Attiches,59,2238,False,1,0,0,1,0,7,5,1,2,2024,2,1.2
59024,Auberchicourt,59,4626,False,0,0,1,1,0,4,3,0,2,2020,2,0.7
59025,Aubers,59,1722,True,1,0,0,1,0,13,3,9,1,2026,2,0.7
59026,Aubigny-au-Bac,59,1159,False,0,0,0,1,0,2,1,0,0,1999,1,0.2
59027,Aubry-du-Hainaut,59,1726,False,0,0,1,0,0,2,1,0,0,1999,1,0.2
59028,Auby,59,7188,False,1,0,1,1,0,6,4,1,1,2023,3,0.9
59029,Auchy-lez-Orchies,59,1486,False,1,0,0,1,0,7,4,2,1,2023,2,0.9
59032,Aulnoy-lez-Valenciennes,59,7183,False,1,0,0,1,0,8,7,0,2,2012,2,1.6
59034,Avelin,59,2600,False,1,0,0,1,0,5,4,0,1,2015,2,0.9
59038,Avesnes-le-Sec,59,1447,False,0,0,0,1,0,2,1,0,0,1999,1,0.2
59042,Bachy,59,1883,False,0,0,0,1,0,6,2,3,1,2023,1,0.5
59043,Bailleul,59,14869,False,1,0,0,1,0,23,12,10,6,2024,2,2.8
59044,Baisieux,59,5177,True,1,0,0,1,0,11,6,4,2,2024,2,1.4
59052,Bauvin,59,4999,True,1,0,0,1,1,9,4,3,0,2024,2,0.9
59054,Bavinchove,59,1046,False,1,0,0,1,0,14,6,7,2,2023,2,1.4
59064,Bellaing,59,1329,False,1,0,0,0,0,4,2,1,0,2018,1,0.5
59071,Bersée,59,2296,False,1,0,0,1,0,12,8,3,2,2024,2,1.9
59079,Beuvrages,59,6784,False,0,0,0,0,0,3,2,0,1,2018,0,0.5
59080,Beuvry-la-Forêt,59,2834,False,1,0,0,1,1,5,4,0,1,2016,2,0.9
59082,Bierne,59,1772,False,1,0,0,1,0,8,1,6,0,2023,2,0.2
59084,Blaringhem,59,2043,False,1,0,0,1,1,20,7,12,2,2026,2,1.6
59086,Boeschepe,59,2179,False,1,0,0,1,0,18,8,9,3,2026,2,1.9
59088,Bois-Grenier,59,1793,True,1,0,0,0,0,5,2,2,0,2023,1,0.5
59089,Bollezeele,59,1423,False,1,0,0,1,0,17,6,10,2,2023,2,1.4
59090,Bondues,59,9713,True,1,0,0,1,1,15,7,6,1,2023,2,1.6
59094,Bourbourg,59,7023,False,1,0,0,1,0,10,5,4,2,2023,2,1.2
59096,Bourghelles,59,1673,False,0,0,0,1,0,8,2,5,1,2023,1,0.5
59098,Bousbecque,59,4847,True,1,0,0,1,0,8,4,3,0,2023,2,0.9
59105,Bouvignies,59,1548,False,0,0,0,0,0,3,2,0,1,2016,0,0.5
59112,Bruay-sur-l'Escaut,59,11309,False,0,0,0,1,0,4,2,1,1,2011,1,0.5
59114,Bruille-Saint-Amand,59,1682,False,0,0,0,1,0,2,1,0,0,1999,1,0.2
59113,Bruille-lez-Marchiennes,59,1350,False,1,0,0,1,0,4,2,1,0,2024,2,0.5
59117,Bugnicourt,59,1074,False,0,0,0,1,0,4,2,1,1,2021,1,0.5
59122,Cambrai,59,31425,False,1,0,0,1,0,10,4,3,0,2008,2,0.9
59123,Camphin-en-Carembault,59,1714,False,1,0,0,1,0,4,3,0,1,2024,2,0.7
59124,Camphin-en-Pévèle,59,2501,False,0,0,0,0,0,6,3,2,2,2024,0,0.7
59126,Cantin,59,1770,False,1,0,0,1,1,3,2,0,0,1999,2,0.5
59128,Capinghem,59,2474,True,0,0,0,0,1,3,2,0,1,2024,0,0.5
59129,Cappelle-en-Pévèle,59,2262,False,1,0,0,1,0,10,7,2,3,2024,2,1.6
59133,Carnin,59,1076,True,0,0,0,1,0,3,1,1,0,2023,1,0.2
59135,Cassel,59,2227,False,1,0,0,1,0,13,4,8,2,2023,2,0.9
59120,Caëstre,59,2006,False,1,0,0,1,0,15,6,8,1,2022,2,1.4
