code_insee,tc_trajets_jour,tc_arr_lille_matin,tc_trajet_median_min,tc_trajet_min_min,tc_trajet_realiste_min,tc_premier_arr_lille,tc_dernier_dep,tc_part_direct,tc_metro_sur_place
59350,19077,3511,7.7,1.3,20.7,05:06,24:54,0.6,True
59410,3536,661,8.2,2.8,21.2,05:15,24:26,0.39,True
59368,2126,341,9.0,1.7,22.0,05:12,24:26,0.7,False
59360,1055,150,13.8,10.0,26.8,05:18,24:14,0.0,False
59009,7107,1343,14.1,7.0,27.1,05:14,24:22,0.45,True
59527,865,137,15.0,8.0,28.0,05:23,24:25,0.9,False
59646,3305,635,15.8,10.1,28.8,05:33,24:18,0.42,True
59507,1044,141,17.0,9.0,30.0,05:25,24:25,0.34,False
59378,3733,611,17.0,5.8,30.0,05:12,24:22,0.58,False
59163,2535,505,18.2,13.0,31.2,05:33,24:16,0.37,True
59648,921,137,18.3,14.0,31.3,05:18,24:17,0.15,False
59328,1877,305,18.7,7.0,31.7,05:20,24:42,0.62,True
59386,848,136,20.0,13.0,33.0,05:23,24:19,0.96,False
59346,520,76,21.6,15.0,34.6,05:59,24:14,0.21,False
59512,6789,1198,22.2,15.7,35.2,05:33,24:13,0.38,True
59220,1004,154,23.0,13.3,36.0,05:25,24:13,0.05,False
59437,121,31,25.5,21.5,38.5,06:06,22:27,0.0,False
59636,728,127,26.0,17.0,39.0,05:23,24:16,1.0,False
59090,549,95,26.0,17.0,39.0,06:15,22:05,0.96,False
59286,934,138,26.8,16.2,39.8,05:24,24:07,0.01,False
59128,421,77,27.5,23.7,40.5,06:20,22:16,0.0,False
59585,246,56,27.6,20.2,40.6,07:05,21:04,0.0,False
59193,72,12,27.8,22.6,40.8,06:14,21:20,0.0,False
59599,7589,1170,30.6,23.0,43.6,05:33,24:06,0.47,True
59457,524,91,31.4,24.7,44.4,05:50,21:38,0.0,False
59343,599,98,31.8,23.0,44.8,05:25,24:12,0.07,False
59196,422,74,32.2,24.2,45.2,06:20,22:14,0.0,False
59650,1039,152,33.4,26.0,46.4,05:39,23:55,0.0,False
59470,108,22,33.7,28.7,46.7,06:20,21:46,0.0,False
59195,166,29,33.7,21.2,46.7,06:25,22:11,0.0,False
59356,252,44,35.2,24.9,48.2,05:50,20:32,0.0,False
59611,224,51,36.0,22.0,49.0,05:48,22:56,0.26,False
59299,900,128,36.6,19.4,49.6,06:15,23:34,0.0,False
59566,513,87,36.7,28.2,49.7,06:20,22:11,0.0,False
59560,626,116,36.8,23.5,49.8,06:06,22:25,0.0,False
59352,172,42,37.0,29.0,50.0,06:54,21:54,1.0,False
59487,67,13,37.5,32.7,50.5,07:43,19:01,0.0,False
59421,764,132,38.5,20.1,51.5,06:03,23:53,0.26,False
59609,79,18,38.9,31.4,51.9,05:56,19:13,0.0,False
59367,635,110,39.0,32.0,52.0,06:03,23:40,0.0,False
59143,355,80,39.7,31.7,52.7,06:20,21:43,0.0,False
59371,21,4,40.0,36.7,53.0,07:43,18:53,0.0,False
59208,50,8,40.1,29.8,53.1,07:30,20:11,0.0,False
