code_ligne,avances,non_effectues,retards,famille,n_mois,retards_prev,retards_evol
CITH,0.1,0.4,2.5,Citadine,11,2.4166666666666665,0.1
9,0.4,1.0,2.9,Ligne urbaine,11,5.2250000000000005,-2.3
51,0.4,0.7,3.1,Ligne urbaine,11,4.8,-1.7
C11,0.4,1.0,3.8,Ligne C,11,3.3499999999999996,0.4
L2,0.9,0.7,4.4,Liane,11,6.033333333333334,-1.6
17,0.3,0.8,4.6,Ligne urbaine,11,6.166666666666667,-1.6
62,1.5,1.2,4.6,Ligne urbaine,11,5.758333333333333,-1.2
C12,0.2,0.9,4.9,Ligne C,11,5.341666666666666,-0.4
Z1,0.3,0.9,5.0,Ligne Z,11,4.008333333333334,1.0
32,0.3,1.1,5.0,Ligne urbaine,11,4.941666666666666,0.1
C10,0.5,1.6,5.1,Ligne C,11,8.924999999999999,-3.8
L6,0.3,1.0,5.3,Liane,11,5.291666666666667,-0.0
61,2.1,1.1,6.1,Ligne urbaine,11,8.516666666666667,-2.4
Z3,1.0,1.2,6.3,Ligne Z,11,8.466666666666667,-2.2
CO1,0.5,2.0,6.6,Corolle,11,8.75,-2.2
76,0.6,1.1,6.7,Ligne urbaine,11,9.141666666666667,-2.5
52,0.7,2.0,6.8,Ligne urbaine,11,7.091666666666666,-0.3
15,0.2,1.3,7.0,Ligne urbaine,11,7.466666666666666,-0.5
Z4,0.4,0.7,7.1,Ligne Z,11,7.7250000000000005,-0.6
68,0.8,1.0,7.2,Ligne urbaine,11,7.966666666666666,-0.8
64,1.7,1.2,7.4,Ligne urbaine,11,6.008333333333333,1.4
89,0.5,1.0,7.6,Ligne urbaine,11,6.691666666666666,0.9
50,0.5,1.0,7.7,Ligne urbaine,11,11.741666666666667,-4.1
C9,0.3,1.3,8.1,Ligne C,11,5.4750000000000005,2.6
30,0.7,1.2,8.2,Ligne urbaine,11,10.083333333333334,-1.9
Z8,1.0,1.2,8.3,Ligne Z,11,6.266666666666667,2.0
36,0.3,1.5,8.7,Ligne urbaine,11,7.791666666666667,0.9
55,1.7,1.7,8.9,Ligne urbaine,11,9.941666666666666,-1.1
Z6,0.6,0.9,9.0,Ligne Z,11,5.208333333333333,3.8
87,0.5,1.4,9.2,Ligne urbaine,11,11.375,-2.2
L3,0.3,1.5,9.2,Liane,11,7.533333333333334,1.7
CITA,0.2,0.8,9.5,Citadine,11,6.816666666666666,2.7
66,0.3,1.1,9.5,Ligne urbaine,11,9.841666666666667,-0.3
L7,0.5,1.5,9.6,Liane,11,10.358333333333333,-0.8
34,0.7,1.1,9.7,Ligne urbaine,11,10.841666666666667,-1.2
78,0.8,2.3,10.0,Ligne urbaine,11,11.741666666666667,-1.7
L92,0.4,2.6,10.6,Liane,11,6.1499999999999995,4.4
L8,0.5,1.1,10.7,Liane,11,12.166666666666666,-1.5
CO3,0.6,1.2,10.8,Corolle,11,12.075000000000001,-1.2
33,0.4,1.5,11.2,Ligne urbaine,11,10.458333333333334,0.7
L90,0.2,1.5,11.4,Liane,11,12.391666666666666,-1.0
35,0.5,1.0,11.4,Ligne urbaine,11,10.616666666666665,0.8
58,0.3,1.4,11.6,Ligne urbaine,11,11.274999999999999,0.3
81,0.6,1.1,11.6,Ligne urbaine,11,15.741666666666667,-4.1
65,0.2,1.6,12.1,Ligne urbaine,11,13.241666666666667,-1.1
18,1.2,2.2,12.1,Ligne urbaine,11,13.666666666666666,-1.6
13,0.5,1.2,12.4,Ligne urbaine,11,11.924999999999999,0.5
67,0.4,1.8,12.7,Ligne urbaine,11,10.799999999999999,1.9
CITT,0.4,1.4,12.9,Citadine,11,10.424999999999999,2.4
CIT5,0.5,1.3,13.2,Citadine,11,12.108333333333334,1.1
80,0.6,1.4,13.4,Ligne urbaine,11,13.25,0.1
Z2,1.3,2.2,13.6,Ligne Z,11,12.883333333333333,0.7
CITL,1.9,2.9,13.6,Citadine,11,15.950000000000001,-2.3
L99,0.1,2.3,14.4,Liane,11,12.924999999999999,1.5
86,0.2,2.2,14.6,Ligne urbaine,11,14.941666666666668,-0.4
14,1.3,1.5,14.7,Ligne urbaine,11,16.916666666666668,-2.3
73,1.3,2.6,14.8,Ligne urbaine,11,14.141666666666666,0.7
75,0.9,1.8,15.4,Ligne urbaine,11,23.650000000000002,-8.2
84,0.1,1.3,15.5,Ligne urbaine,11,19.724999999999998,-4.3
L1,0.6,2.1,15.9,Liane,11,17.208333333333332,-1.3
72,0.6,1.9,16.0,Ligne urbaine,11,10.016666666666667,6.0
L4,0.4,1.5,16.4,Liane,11,17.025,-0.7
L5,1.9,2.5,17.7,Liane,11,19.033333333333335,-1.3
MWR,0.3,0.9,17.8,Autre,11,11.775,6.0
10,0.5,1.7,18.2,Ligne urbaine,11,21.583333333333332,-3.4
88,0.4,2.2,18.3,Ligne urbaine,11,17.883333333333333,0.4
L91,0.3,1.9,18.5,Liane,11,16.708333333333332,1.8
CO2,0.4,1.9,20.3,Corolle,11,21.191666666666666,-0.9
82,0.5,2.9,21.6,Ligne urbaine,11,21.391666666666666,0.2
