code_ligne,code_arret_depart,code_arret_fin,dimanche,ouvre,samedi,passages,deficit_pct,troncon
926,LPZ002,MTT003,,4.6,,745,,P.S. De Lezennes -> Mont De Terre
14,LIG114,LIG007,5.6,5.5,5.6,11785,3.0,Gare Lille Flandres -> Gare Rue De Tournai
CITL,LBM002,PDP003,7.3,5.6,5.3,4568,23.0,Boulevard De Metz -> Porte Des Postes
50,LIG115,TSU002,7.6,5.7,6.1,8164,25.1,Gare Lille Flandres -> Lycee Pasteur
L8,DNL002,DUL001,6.5,5.8,6.3,12458,11.9,Roubaix Piscine Lesaffre -> Dupuy De Lome
80,MAT001,MAT003,7.5,6.0,6.8,2475,20.3,Maternite -> Maternite
L90,LIG117,TSU002,6.5,6.0,6.6,6275,8.1,Gare Lille Flandres -> Lycee Pasteur
L91,LIG117,TSU002,7.3,6.2,6.7,6111,14.5,Gare Lille Flandres -> Lycee Pasteur
C9,LPZ002,MTT003,,6.3,6.2,2438,,P.S. De Lezennes -> Mont De Terre
14,LIG115,TSU002,8.0,6.4,7.8,11820,20.3,Gare Lille Flandres -> Lycee Pasteur
L3,ROU029,NUR002,5.8,6.4,5.3,15477,-11.0,Euroteleport -> Nations Unies
86,LIG117,TSU002,7.4,6.4,7.1,4418,13.8,Gare Lille Flandres -> Lycee Pasteur
52,LEG002,DFI003,7.6,6.5,7.2,7071,14.3,Legrand -> Lille Fives
18,LPZ002,MTT006,9.7,6.7,7.1,11924,30.5,P.S. De Lezennes -> Mont De Terre
50,LIG114,LEU001,7.2,6.7,6.2,7989,8.0,Gare Lille Flandres -> Lille Europe
L8,DUL002,DNL001,8.2,6.8,7.5,12232,17.8,Dupuy De Lome -> Roubaix Piscine Lesaffre
88,LIG117,TSU002,,6.8,8.7,2705,,Gare Lille Flandres -> Lycee Pasteur
942,LIP002,CSM001,,6.9,,229,,Linselles Place -> Coll Ste Marie
18,LPC080,HRE001,7.9,6.9,7.8,11910,12.6,Bois Blancs -> Henri Regnault
14,WBL001,LCN001,10.0,7.1,8.8,6044,29.3,Wattignies Blum -> Laennec
