code_insee,commune,dep,PMUN,dans_MEL,prix_maison_m2,n_ventes_maison,evol_prix_maison_24_25_pct,prix_appart_m2,n_ventes_appart,loyers_maison_m2,loyers_appart_m2,prix_maison_faible_echantillon
59002,Abscon,59,4203,False,1346.0,53,32.0,687.0,1,8.37,10.67,False
59004,Aix-en-Pévèle,59,1358,False,1335.0,23,,,0,12.65,14.99,False
59005,Allennes-les-Marais,59,3567,True,2049.0,74,3.8,,0,11.38,12.41,False
59008,Aniche,59,9997,False,1155.0,193,7.1,1000.0,9,8.32,11.0,False
59011,Annœullin,59,10780,True,2200.0,194,0.4,1488.0,6,9.99,12.34,False
59013,Anstaing,59,1601,True,3162.0,31,,,0,12.71,13.62,False
59014,Anzin,59,13422,False,1094.0,203,7.3,1194.0,23,8.53,11.04,False
59015,Arleux,59,3151,False,1590.0,59,-2.2,1238.0,1,9.47,11.46,False
59017,Armentières,59,25581,True,1822.0,539,7.3,1624.0,92,9.5,12.8,False
59018,Arnèke,59,1561,False,1989.0,27,,,0,9.3,11.28,False
59019,Artres,59,1064,False,1637.0,16,,,0,7.95,10.53,False
59022,Attiches,59,2238,False,2629.0,62,5.5,,0,10.29,12.49,False
59024,Auberchicourt,59,4626,False,1282.0,93,20.3,907.0,1,8.62,11.21,False
59025,Aubers,59,1722,True,2275.0,53,,,0,10.72,12.42,False
59026,Aubigny-au-Bac,59,1159,False,1571.0,19,,,0,8.49,11.36,False
59027,Aubry-du-Hainaut,59,1726,False,1923.0,25,,1008.0,1,8.81,10.81,False
59028,Auby,59,7188,False,1421.0,64,23.2,1098.0,1,8.8,11.2,False
59029,Auchy-lez-Orchies,59,1486,False,2247.0,40,,,0,10.15,12.88,False
59032,Aulnoy-lez-Valenciennes,59,7183,False,1543.0,127,-0.4,2758.0,25,9.17,10.81,False
59034,Avelin,59,2600,False,2949.0,55,-2.7,,0,12.87,14.07,False
59038,Avesnes-le-Sec,59,1447,False,1279.0,22,,,0,8.54,11.36,False
59042,Bachy,59,1883,False,3030.0,39,28.4,2000.0,7,12.3,14.99,False
59043,Bailleul,59,14869,False,2174.0,239,5.9,2161.0,4,9.67,12.5,False
59044,Baisieux,59,5177,True,2996.0,120,4.2,2306.0,2,12.16,13.5,False
59052,Bauvin,59,4999,True,2092.0,104,-6.5,628.0,1,10.16,11.57,False
59054,Bavinchove,59,1046,False,1722.0,25,,1385.0,1,8.9,10.85,False
59064,Bellaing,59,1329,False,1689.0,16,,,0,8.79,11.4,False
59071,Bersée,59,2296,False,2136.0,38,,1675.0,1,10.43,12.17,False
59079,Beuvrages,59,6784,False,1434.0,79,4.1,,0,9.12,11.21,False
59080,Beuvry-la-Forêt,59,2834,False,2009.0,54,-8.1,,0,10.8,12.64,False
59082,Bierne,59,1772,False,2245.0,39,,,0,11.59,14.4,False
59084,Blaringhem,59,2043,False,2115.0,34,,,0,7.91,10.7,False
59086,Boeschepe,59,2179,False,1650.0,53,-12.9,,0,9.43,11.23,False
59088,Bois-Grenier,59,1793,True,2742.0,35,,2114.0,1,11.78,13.58,False
59089,Bollezeele,59,1423,False,1132.0,26,,774.0,1,8.92,10.43,False
59090,Bondues,59,9713,True,3672.0,254,14.6,3668.0,2,14.39,14.94,False
59094,Bourbourg,59,7023,False,1568.0,101,26.8,2230.0,5,8.89,10.59,False
59096,Bourghelles,59,1673,False,2597.0,32,,,0,12.65,14.99,False
59098,Bousbecque,59,4847,True,2691.0,92,23.8,2279.0,2,10.28,12.87,False
59105,Bouvignies,59,1548,False,1474.0,23,,,0,10.15,12.64,False
59112,Bruay-sur-l'Escaut,59,11309,False,1262.0,123,2.8,1591.0,2,8.47,10.81,False
59114,Bruille-Saint-Amand,59,1682,False,1205.0,29,,,0,9.38,11.92,False
59113,Bruille-lez-Marchiennes,59,1350,False,1214.0,18,,,0,9.58,10.4,False
59117,Bugnicourt,59,1074,False,1312.0,9,,,0,9.45,11.46,True
59122,Cambrai,59,31425,False,1283.0,501,-1.6,1381.0,53,8.56,11.01,False
59123,Camphin-en-Carembault,59,1714,False,2495.0,33,,2226.0,1,11.38,12.49,False
59124,Camphin-en-Pévèle,59,2501,False,3392.0,35,,,0,12.3,13.85,False
59126,Cantin,59,1770,False,1515.0,41,,543.0,1,9.45,11.46,False
59128,Capinghem,59,2474,True,3108.0,35,,2893.0,1,12.5,14.36,False
59129,Cappelle-en-Pévèle,59,2262,False,2833.0,37,,,0,10.43,12.88,False
59133,Carnin,59,1076,True,2500.0,35,,1712.0,10,11.38,12.49,False
59135,Cassel,59,2227,False,1396.0,57,-28.3,1195.0,3,9.12,11.04,False
59120,Caëstre,59,2006,False,2109.0,38,,,0,9.21,11.16,False
59146,Chéreng,59,3001,True,3517.0,68,-1.0,2394.0,6,12.91,14.63,False
59152,Comines,59,12671,True,2319.0,205,2.9,3026.0,1,10.51,13.01,False
59153,Condé-sur-l'Escaut,59,9396,False,1313.0,82,-10.4,1301.0,6,8.75,10.62,False
59155,Coudekerque-Branche,59,20765,False,1796.0,406,1.0,1622.0,31,11.41,12.49,False
59156,Courchelettes,59,2881,False,1541.0,40,7.2,,0,8.72,12.0,False
59158,Coutiches,59,3246,False,2457.0,71,23.6,1593.0,1,10.33,13.92,False
59163,Croix,59,20778,True,2471.0,489,2.5,2371.0,47,12.26,14.46,False
59165,Cuincy,59,6472,False,1756.0,133,9.9,,0,9.18,14.16,False
59166,Curgies,59,1347,False,1962.0,22,,,0,11.23,11.16,False
59168,Cysoing,59,4722,False,2701.0,115,-9.7,1848.0,9,13.49,14.21,False
59170,Dechy,59,5351,False,1287.0,75,5.0,1843.0,1,8.23,11.46,False
59172,Denain,59,20640,False,894.0,299,19.1,1129.0,13,7.97,10.57,False
59173,Deûlémont,59,1819,True,2904.0,26,,,0,11.29,14.0,False
59670,Don,59,1412,True,2412.0,23,,,0,10.13,12.41,False
59178,Douai,59,39648,False,1489.0,453,-4.9,1456.0,117,9.17,11.53,False
59179,Douchy-les-Mines,59,10207,False,1390.0,127,3.0,,0,9.13,10.57,False
59183,Dunkerque,59,86788,False,2028.0,1051,3.1,1947.0,286,11.13,13.5,False
59189,Eecke,59,1221,False,1327.0,22,,,0,9.21,11.23,False
59193,Emmerin,59,3053,True,2467.0,84,7.2,,0,11.46,13.6,False
59196,Ennetières-en-Weppes,59,1293,True,2611.0,29,,,0,11.78,13.58,False
59197,Ennevelin,59,2356,False,2777.0,50,-4.3,,0,12.87,13.41,False
59202,Erquinghem-Lys,59,5356,True,2283.0,97,-4.8,,0,10.38,13.19,False
59203,Erre,59,1574,False,1860.0,22,,1630.0,1,8.57,10.4,False
59205,Escaudain,59,9253,False,1222.0,101,10.3,,0,8.44,10.21,False
59207,Escautpont,59,4152,False,1243.0,34,,,0,8.66,11.07,False
59210,Esquelbecq,59,2134,False,1609.0,30,,,0,9.3,12.44,False
59212,Estaires,59,6496,False,1899.0,154,1.5,1530.0,4,8.67,11.25,False
59214,Estrées,59,1116,False,1835.0,22,,,0,8.96,11.16,False
59220,Faches-Thumesnil,59,18110,True,2473.0,314,-6.3,2484.0,42,11.86,13.57,False
59221,Famars,59,2475,False,1958.0,28,,2096.0,8,9.54,11.65,False
59222,Faumont,59,2251,False,2143.0,47,,,0,10.43,13.92,False
59227,Fenain,59,5529,False,1570.0,85,-23.4,1796.0,1,8.55,10.4,False
59234,Flers-en-Escrebieux,59,5642,False,1491.0,68,-2.8,1449.0,3,8.45,14.0,False
59239,Flines-lez-Raches,59,5610,False,1734.0,86,-4.1,1977.0,1,9.49,14.66,False
59238,Flines-lès-Mortagne,59,1649,False,1319.0,22,,,0,8.74,11.92,False
59244,Fontaine-Notre-Dame,59,1763,False,1162.0,17,,,0,8.08,9.8,False
59247,Forest-sur-Marque,59,1659,True,3143.0,37,,,0,12.71,13.62,False
59250,Fournes-en-Weppes,59,2190,True,2809.0,62,-16.4,1800.0,1,13.09,12.75,False
59252,Frelinghien,59,2581,True,2598.0,58,-4.8,1547.0,1,11.29,13.35,False
59253,Fresnes-sur-Escaut,59,7486,False,942.0,82,-8.7,992.0,3,8.54,10.41,False
59256,Fretin,59,3227,True,2862.0,82,-0.4,2170.0,1,12.36,13.38,False
59257,Fromelles,59,1076,True,2350.0,27,,,0,13.08,12.42,False
