code_insee,commune,dep,PMUN,dans_MEL,actifs_occupes,navetteurs_mel_nb,navetteurs_lille_nb,part_actifs_vers_mel_pct,part_actifs_vers_lille_pct,part_actifs_travail_sur_place_pct,part_actifs_navette_hors_mel_pct
59002,Abscon,59,4203,False,1514.0,153.0,65.0,10.1,4.3,11.1,78.8
59004,Aix-en-Pévèle,59,1358,False,763.0,298.0,75.0,39.1,9.8,15.6,45.3
59005,Allennes-les-Marais,59,3567,True,1638.0,1321.0,378.0,80.7,23.1,10.7,8.6
59008,Aniche,59,9997,False,3536.0,366.0,134.0,10.4,3.8,21.8,67.8
59011,Annœullin,59,10780,True,4414.0,3442.0,878.0,78.0,19.9,19.0,3.0
59013,Anstaing,59,1601,True,807.0,715.0,107.0,88.6,13.2,13.8,-2.4
59014,Anzin,59,13422,False,4261.0,362.0,126.0,8.5,3.0,22.1,69.4
59015,Arleux,59,3151,False,1241.0,80.0,40.0,6.5,3.2,17.6,75.9
59017,Armentières,59,25581,True,9748.0,8104.0,2061.0,83.1,21.1,26.2,-9.3
59018,Arnèke,59,1561,False,606.0,69.0,20.0,11.4,3.3,26.3,62.3
59019,Artres,59,1064,False,445.0,34.0,5.0,7.6,1.1,8.4,84.0
59022,Attiches,59,2238,False,939.0,599.0,179.0,63.8,19.1,12.8,23.4
59024,Auberchicourt,59,4626,False,1697.0,170.0,55.0,10.0,3.2,13.7,76.3
59025,Aubers,59,1722,True,775.0,587.0,164.0,75.7,21.2,17.9,6.4
59026,Aubigny-au-Bac,59,1159,False,468.0,40.0,10.0,8.7,2.2,14.2,77.1
59027,Aubry-du-Hainaut,59,1726,False,643.0,98.0,57.0,15.2,8.8,10.4,74.4
59028,Auby,59,7188,False,2191.0,279.0,94.0,12.7,4.3,22.0,65.3
59029,Auchy-lez-Orchies,59,1486,False,679.0,298.0,73.0,43.8,10.8,12.3,43.9
59032,Aulnoy-lez-Valenciennes,59,7183,False,2507.0,185.0,70.0,7.4,2.8,23.0,69.6
59034,Avelin,59,2600,False,1199.0,704.0,269.0,58.8,22.5,15.8,25.4
59038,Avesnes-le-Sec,59,1447,False,656.0,35.0,25.0,5.4,3.8,14.7,79.9
59042,Bachy,59,1883,False,897.0,586.0,171.0,65.3,19.1,9.3,25.4
59043,Bailleul,59,14869,False,6366.0,2524.0,912.0,39.7,14.3,30.3,30.0
59044,Baisieux,59,5177,True,2472.0,2104.0,442.0,85.1,17.9,13.1,1.8
59052,Bauvin,59,4999,True,2081.0,1530.0,436.0,73.5,20.9,15.3,11.2
59054,Bavinchove,59,1046,False,442.0,48.0,21.0,10.8,4.8,22.9,66.3
59064,Bellaing,59,1329,False,453.0,75.0,43.0,16.6,9.5,16.5,66.9
59071,Bersée,59,2296,False,1076.0,456.0,141.0,42.4,13.1,17.5,40.1
59079,Beuvrages,59,6784,False,2113.0,140.0,60.0,6.6,2.8,11.1,82.3
59080,Beuvry-la-Forêt,59,2834,False,1344.0,549.0,133.0,40.8,9.9,10.3,48.9
59082,Bierne,59,1772,False,810.0,77.0,31.0,9.5,3.8,12.0,78.5
59084,Blaringhem,59,2043,False,898.0,65.0,35.0,7.2,3.9,18.2,74.6
59086,Boeschepe,59,2179,False,976.0,266.0,74.0,27.2,7.6,15.7,57.1
59088,Bois-Grenier,59,1793,True,796.0,665.0,140.0,83.5,17.6,14.6,1.9
59089,Bollezeele,59,1423,False,463.0,25.0,15.0,5.4,3.2,29.5,65.1
59090,Bondues,59,9713,True,3913.0,3549.0,627.0,90.7,16.0,17.8,-8.5
59094,Bourbourg,59,7023,False,2719.0,106.0,56.0,3.9,2.1,25.3,70.8
59096,Bourghelles,59,1673,False,778.0,514.0,114.0,66.1,14.7,14.0,19.9
59098,Bousbecque,59,4847,True,2135.0,1852.0,177.0,86.7,8.3,15.0,-1.7
59105,Bouvignies,59,1548,False,630.0,220.0,93.0,34.9,14.7,14.0,51.1
59112,Bruay-sur-l'Escaut,59,11309,False,3768.0,249.0,97.0,6.6,2.6,16.5,76.9
59114,Bruille-Saint-Amand,59,1682,False,723.0,139.0,79.0,19.3,11.0,11.1,69.6
59113,Bruille-lez-Marchiennes,59,1350,False,547.0,91.0,51.0,16.7,9.4,13.9,69.4
59117,Bugnicourt,59,1074,False,532.0,48.0,19.0,9.1,3.5,12.9,78.0
59122,Cambrai,59,31425,False,11050.0,408.0,236.0,3.7,2.1,53.0,43.3
59123,Camphin-en-Carembault,59,1714,False,866.0,444.0,140.0,51.2,16.2,10.9,37.9
59124,Camphin-en-Pévèle,59,2501,False,1162.0,790.0,204.0,67.9,17.6,12.7,19.4
59126,Cantin,59,1770,False,706.0,78.0,22.0,11.0,3.2,18.9,70.1
59128,Capinghem,59,2474,True,1222.0,1072.0,454.0,87.7,37.1,8.2,4.1
59129,Cappelle-en-Pévèle,59,2262,False,1155.0,542.0,136.0,46.9,11.7,15.6,37.5
59133,Carnin,59,1076,True,511.0,344.0,98.0,67.3,19.2,8.6,24.1
59135,Cassel,59,2227,False,947.0,149.0,69.0,15.7,7.3,27.5,56.8
59120,Caëstre,59,2006,False,915.0,241.0,103.0,26.4,11.2,18.1,55.5
59146,Chéreng,59,3001,True,1340.0,1149.0,236.0,85.8,17.6,14.5,-0.3
59152,Comines,59,12671,True,5341.0,4490.0,532.0,84.1,10.0,24.9,-9.0
59153,Condé-sur-l'Escaut,59,9396,False,2586.0,134.0,75.0,5.2,2.9,20.7,74.1
59155,Coudekerque-Branche,59,20765,False,8081.0,195.0,94.0,2.4,1.2,21.1,76.5
59156,Courchelettes,59,2881,False,995.0,81.0,25.0,8.1,2.5,14.1,77.8
59158,Coutiches,59,3246,False,1549.0,665.0,204.0,42.9,13.2,14.7,42.4
59163,Croix,59,20778,True,8790.0,8093.0,1634.0,92.1,18.6,15.3,-7.4
59165,Cuincy,59,6472,False,2389.0,466.0,261.0,19.5,10.9,16.2,64.3
59166,Curgies,59,1347,False,509.0,45.0,25.0,8.8,4.9,8.8,82.4
59168,Cysoing,59,4722,False,2040.0,1288.0,286.0,63.1,14.0,15.5,21.4
59170,Dechy,59,5351,False,1726.0,186.0,81.0,10.8,4.7,20.3,68.9
59172,Denain,59,20640,False,5597.0,364.0,120.0,6.5,2.1,35.2,58.3
59173,Deûlémont,59,1819,True,878.0,764.0,148.0,87.0,16.9,13.4,-0.4
59670,Don,59,1412,True,649.0,519.0,157.0,80.0,24.1,4.8,15.2
59178,Douai,59,39648,False,13386.0,1850.0,773.0,13.8,5.8,40.3,45.9
59179,Douchy-les-Mines,59,10207,False,3383.0,232.0,94.0,6.9,2.8,15.7,77.4
59183,Dunkerque,59,86788,False,30813.0,1110.0,633.0,3.6,2.1,63.1,33.3
59189,Eecke,59,1221,False,595.0,136.0,65.0,22.9,10.9,16.9,60.2
59193,Emmerin,59,3053,True,1347.0,1193.0,430.0,88.6,31.9,6.6,4.8
59196,Ennetières-en-Weppes,59,1293,True,542.0,477.0,119.0,88.0,22.0,17.4,-5.4
59197,Ennevelin,59,2356,False,1100.0,727.0,216.0,66.1,19.7,13.5,20.4
59202,Erquinghem-Lys,59,5356,True,2329.0,1794.0,468.0,77.0,20.1,12.6,10.4
59203,Erre,59,1574,False,682.0,141.0,46.0,20.7,6.7,10.4,68.9
59205,Escaudain,59,9253,False,3202.0,245.0,138.0,7.7,4.3,15.4,76.9
59207,Escautpont,59,4152,False,1150.0,75.0,40.0,6.6,3.5,15.3,78.1
59210,Esquelbecq,59,2134,False,882.0,75.0,30.0,8.5,3.4,17.1,74.4
59212,Estaires,59,6496,False,2773.0,1064.0,268.0,38.4,9.7,16.3,45.3
59214,Estrées,59,1116,False,426.0,46.0,21.0,10.8,4.8,17.2,72.0
59220,Faches-Thumesnil,59,18110,True,7573.0,6647.0,2579.0,87.8,34.1,12.9,-0.7
59221,Famars,59,2475,False,815.0,58.0,20.0,7.1,2.4,13.2,79.7
59222,Faumont,59,2251,False,1025.0,462.0,206.0,45.1,20.1,8.3,46.6
59227,Fenain,59,5529,False,1986.0,311.0,90.0,15.7,4.6,10.9,73.4
