code_insee,commune,dep,PMUN,dans_MEL,revenu_dispo_ref_mois_eur,taux_pauvrete_pct,cout_achat_maison_mois_eur,cout_location_maison_mois_eur,cout_transport_mois_eur,transport_contraint_voiture,reste_a_vivre_achat_eur,taux_effort_achat_pct,reste_a_vivre_location_eur,taux_effort_location_pct
59002,Abscon,59,4203,False,2763.0,21.0,582.0,795.0,52.0,False,2129.0,22.9,1916.0,30.7
59004,Aix-en-Pévèle,59,1358,False,4137.0,,578.0,1202.0,32.0,False,3527.0,14.7,2903.0,29.8
59005,Allennes-les-Marais,59,3567,True,3712.0,,886.0,1081.0,26.0,False,2800.0,24.6,2605.0,29.8
59008,Aniche,59,9997,False,2517.0,28.0,500.0,790.0,52.0,False,1965.0,21.9,1675.0,33.5
59011,Annœullin,59,10780,True,3349.0,11.0,952.0,949.0,31.0,False,2366.0,29.4,2369.0,29.3
59013,Anstaing,59,1601,True,3889.0,,1368.0,1207.0,13.0,False,2508.0,35.5,2669.0,31.4
59014,Anzin,59,13422,False,2370.0,32.0,473.0,810.0,52.0,False,1845.0,22.2,1508.0,36.4
59015,Arleux,59,3151,False,3167.0,13.0,688.0,900.0,40.0,False,2439.0,23.0,2227.0,29.7
59017,Armentières,59,25581,True,2672.0,26.0,788.0,902.0,28.0,False,1856.0,30.5,1742.0,34.8
59018,Arnèke,59,1561,False,3161.0,,861.0,884.0,65.0,False,2235.0,29.3,2212.0,30.0
59019,Artres,59,1064,False,3502.0,,708.0,755.0,596.0,True,2198.0,37.2,2151.0,38.6
59022,Attiches,59,2238,False,3845.0,,1137.0,978.0,23.0,False,2685.0,30.2,2844.0,26.0
59024,Auberchicourt,59,4626,False,2804.0,20.0,555.0,819.0,47.0,False,2202.0,21.5,1938.0,30.9
59025,Aubers,59,1722,True,4226.0,,984.0,1018.0,28.0,False,3214.0,23.9,3180.0,24.8
59026,Aubigny-au-Bac,59,1159,False,3139.0,,680.0,807.0,47.0,False,2412.0,23.2,2285.0,27.2
59027,Aubry-du-Hainaut,59,1726,False,3558.0,,832.0,837.0,52.0,False,2674.0,24.8,2669.0,25.0
59028,Auby,59,7188,False,2619.0,24.0,615.0,836.0,33.0,False,1971.0,24.7,1750.0,33.2
59029,Auchy-lez-Orchies,59,1486,False,3794.0,,972.0,964.0,30.0,False,2792.0,26.4,2800.0,26.2
59032,Aulnoy-lez-Valenciennes,59,7183,False,2826.0,20.0,668.0,871.0,566.0,True,1592.0,43.7,1389.0,50.8
59034,Avelin,59,2600,False,4212.0,,1276.0,1223.0,18.0,False,2918.0,30.7,2971.0,29.5
59038,Avesnes-le-Sec,59,1447,False,3157.0,,553.0,811.0,660.0,True,1944.0,38.4,1686.0,46.6
59042,Bachy,59,1883,False,3927.0,,1311.0,1168.0,305.0,True,2311.0,41.2,2454.0,37.5
59043,Bailleul,59,14869,False,3294.0,11.0,941.0,919.0,38.0,False,2315.0,29.7,2337.0,29.1
59044,Baisieux,59,5177,True,3804.0,5.0,1296.0,1155.0,18.0,False,2490.0,34.5,2631.0,30.8
59052,Bauvin,59,4999,True,3158.0,12.0,905.0,965.0,31.0,False,2222.0,29.6,2162.0,31.5
59054,Bavinchove,59,1046,False,3105.0,,745.0,846.0,59.0,False,2301.0,25.9,2200.0,29.1
59064,Bellaing,59,1329,False,3167.0,,731.0,835.0,506.0,True,1930.0,39.1,1826.0,42.3
59071,Bersée,59,2296,False,4044.0,,924.0,991.0,303.0,True,2817.0,30.3,2750.0,32.0
59079,Beuvrages,59,6784,False,2435.0,31.0,620.0,866.0,52.0,False,1763.0,27.6,1517.0,37.7
59080,Beuvry-la-Forêt,59,2834,False,3711.0,,869.0,1026.0,32.0,False,2810.0,24.3,2653.0,28.5
59082,Bierne,59,1772,False,3585.0,,971.0,1101.0,77.0,False,2537.0,29.2,2407.0,32.9
59084,Blaringhem,59,2043,False,3095.0,11.0,915.0,751.0,608.0,True,1572.0,49.2,1736.0,43.9
59086,Boeschepe,59,2179,False,3406.0,,714.0,896.0,486.0,True,2206.0,35.2,2024.0,40.6
59088,Bois-Grenier,59,1793,True,4103.0,,1186.0,1119.0,28.0,False,2889.0,29.6,2956.0,28.0
59089,Bollezeele,59,1423,False,3011.0,,490.0,847.0,756.0,True,1765.0,41.4,1408.0,53.2
59090,Bondues,59,9713,True,4927.0,5.0,1589.0,1367.0,28.0,False,3310.0,32.8,3532.0,28.3
59094,Bourbourg,59,7023,False,2749.0,19.0,678.0,845.0,85.0,False,1986.0,27.8,1819.0,33.8
59096,Bourghelles,59,1673,False,4185.0,,1124.0,1202.0,296.0,True,2765.0,33.9,2687.0,35.8
59098,Bousbecque,59,4847,True,3509.0,7.0,1164.0,977.0,28.0,False,2317.0,34.0,2504.0,28.6
59105,Bouvignies,59,1548,False,3801.0,,638.0,964.0,370.0,True,2793.0,26.5,2467.0,35.1
59112,Bruay-sur-l'Escaut,59,11309,False,2411.0,31.0,546.0,805.0,52.0,False,1813.0,24.8,1554.0,35.5
59114,Bruille-Saint-Amand,59,1682,False,3397.0,,521.0,891.0,560.0,True,2316.0,31.8,1946.0,42.7
59113,Bruille-lez-Marchiennes,59,1350,False,2944.0,,525.0,910.0,52.0,False,2367.0,19.6,1982.0,32.7
59117,Bugnicourt,59,1074,False,3291.0,,568.0,898.0,530.0,True,2193.0,33.4,1863.0,43.4
59122,Cambrai,59,31425,False,2771.0,23.0,555.0,813.0,65.0,False,2151.0,22.4,1893.0,31.7
59123,Camphin-en-Carembault,59,1714,False,3802.0,,1079.0,1081.0,23.0,False,2700.0,29.0,2698.0,29.0
59124,Camphin-en-Pévèle,59,2501,False,4254.0,,1467.0,1168.0,18.0,False,2769.0,34.9,3068.0,27.9
59126,Cantin,59,1770,False,3069.0,,655.0,898.0,40.0,False,2374.0,22.6,2131.0,30.6
59128,Capinghem,59,2474,True,3715.0,11.0,1345.0,1188.0,0.0,False,2370.0,36.2,2527.0,32.0
59129,Cappelle-en-Pévèle,59,2262,False,3856.0,,1226.0,991.0,21.0,False,2609.0,32.3,2844.0,26.2
59133,Carnin,59,1076,True,3828.0,,1082.0,1081.0,31.0,False,2715.0,29.1,2716.0,29.0
59135,Cassel,59,2227,False,3348.0,12.0,604.0,866.0,59.0,False,2685.0,19.8,2423.0,27.6
59120,Caëstre,59,2006,False,3578.0,,912.0,875.0,459.0,True,2207.0,38.3,2244.0,37.3
59146,Chéreng,59,3001,True,4414.0,,1522.0,1226.0,18.0,False,2874.0,34.9,3170.0,28.2
59152,Comines,59,12671,True,3151.0,15.0,1003.0,998.0,28.0,False,2120.0,32.7,2125.0,32.6
59153,Condé-sur-l'Escaut,59,9396,False,2348.0,35.0,568.0,831.0,578.0,True,1202.0,48.8,939.0,60.0
59155,Coudekerque-Branche,59,20765,False,2921.0,17.0,777.0,1084.0,84.0,False,2060.0,29.5,1753.0,40.0
59156,Courchelettes,59,2881,False,3072.0,14.0,667.0,828.0,40.0,False,2365.0,23.0,2204.0,28.3
59158,Coutiches,59,3246,False,3835.0,6.0,1063.0,981.0,30.0,False,2742.0,28.5,2824.0,26.4
59163,Croix,59,20778,True,3300.0,16.0,1069.0,1165.0,28.0,False,2203.0,33.2,2107.0,36.2
59165,Cuincy,59,6472,False,3249.0,13.0,760.0,872.0,40.0,False,2449.0,24.6,2337.0,28.1
59166,Curgies,59,1347,False,3701.0,,849.0,1067.0,608.0,True,2244.0,39.4,2026.0,45.3
59168,Cysoing,59,4722,False,3894.0,8.0,1169.0,1282.0,17.0,False,2708.0,30.5,2595.0,33.4
59170,Dechy,59,5351,False,2544.0,27.0,557.0,782.0,40.0,False,1947.0,23.5,1722.0,32.3
59172,Denain,59,20640,False,2103.0,43.0,387.0,757.0,521.0,True,1195.0,43.2,825.0,60.8
59173,Deûlémont,59,1819,True,3718.0,,1256.0,1073.0,28.0,False,2434.0,34.5,2617.0,29.6
59670,Don,59,1412,True,3527.0,,1044.0,962.0,26.0,False,2457.0,30.3,2539.0,28.0
59178,Douai,59,39648,False,2605.0,29.0,644.0,871.0,40.0,False,1921.0,26.3,1694.0,35.0
59179,Douchy-les-Mines,59,10207,False,2526.0,29.0,601.0,867.0,604.0,True,1321.0,47.7,1055.0,58.2
59183,Dunkerque,59,86788,False,2859.0,22.0,877.0,1057.0,84.0,False,1898.0,33.6,1718.0,39.9
59189,Eecke,59,1221,False,3581.0,,574.0,875.0,523.0,True,2484.0,30.6,2183.0,39.0
59193,Emmerin,59,3053,True,3817.0,,1067.0,1089.0,0.0,False,2750.0,28.0,2728.0,28.5
59196,Ennetières-en-Weppes,59,1293,True,4411.0,,1130.0,1119.0,28.0,False,3253.0,26.3,3264.0,26.0
59197,Ennevelin,59,2356,False,4143.0,,1201.0,1223.0,17.0,False,2925.0,29.4,2903.0,29.9
59202,Erquinghem-Lys,59,5356,True,3257.0,9.0,988.0,986.0,28.0,False,2241.0,31.2,2243.0,31.1
59203,Erre,59,1574,False,3184.0,,805.0,814.0,52.0,False,2327.0,26.9,2318.0,27.2
59205,Escaudain,59,9253,False,2454.0,29.0,529.0,802.0,530.0,True,1395.0,43.2,1122.0,54.3
59207,Escautpont,59,4152,False,2325.0,33.0,538.0,823.0,596.0,True,1191.0,48.8,906.0,61.0
59210,Esquelbecq,59,2134,False,3384.0,10.0,696.0,884.0,70.0,False,2618.0,22.6,2430.0,28.2
59212,Estaires,59,6496,False,3103.0,12.0,822.0,824.0,397.0,True,1884.0,39.3,1882.0,39.3
59214,Estrées,59,1116,False,3461.0,,794.0,851.0,519.0,True,2148.0,37.9,2091.0,39.6
59220,Faches-Thumesnil,59,18110,True,3147.0,16.0,1070.0,1127.0,0.0,False,2077.0,34.0,2020.0,35.8
59221,Famars,59,2475,False,3425.0,15.0,847.0,906.0,571.0,True,2007.0,41.4,1948.0,43.1
59222,Faumont,59,2251,False,3913.0,,927.0,991.0,324.0,True,2662.0,32.0,2598.0,33.6
59227,Fenain,59,5529,False,2841.0,19.0,679.0,812.0,52.0,False,2110.0,25.7,1977.0,30.4
59234,Flers-en-Escrebieux,59,5642,False,2770.0,21.0,645.0,803.0,37.0,False,2088.0,24.6,1930.0,30.3
59239,Flines-lez-Raches,59,5610,False,3455.0,9.0,750.0,902.0,372.0,True,2333.0,32.5,2181.0,36.9
59238,Flines-lès-Mortagne,59,1649,False,3475.0,,571.0,830.0,519.0,True,2385.0,31.4,2126.0,38.8
59244,Fontaine-Notre-Dame,59,1763,False,3245.0,,503.0,768.0,706.0,True,2036.0,37.3,1771.0,45.4
59247,Forest-sur-Marque,59,1659,True,3978.0,,1360.0,1207.0,13.0,False,2605.0,34.5,2758.0,30.7
59250,Fournes-en-Weppes,59,2190,True,4201.0,,1215.0,1244.0,23.0,False,2963.0,29.5,2934.0,30.2
59252,Frelinghien,59,2581,True,3543.0,8.0,1124.0,1073.0,19.0,False,2400.0,32.3,2451.0,30.8
59253,Fresnes-sur-Escaut,59,7486,False,2493.0,28.0,408.0,811.0,586.0,True,1499.0,39.9,1096.0,56.0
59256,Fretin,59,3227,True,3754.0,8.0,1238.0,1174.0,17.0,False,2499.0,33.4,2563.0,31.7
59257,Fromelles,59,1076,True,4100.0,,1017.0,1243.0,28.0,False,3055.0,25.5,2829.0,31.0
59224,Féchain,59,1658,False,3079.0,,630.0,807.0,590.0,True,1859.0,39.6,1682.0,45.4
59228,Férin,59,1447,False,3543.0,,706.0,980.0,40.0,False,2797.0,21.1,2523.0,28.8
59258,Genech,59,2825,False,4030.0,,1125.0,1167.0,21.0,False,2884.0,28.4,2842.0,29.5
59260,Ghyvelde,59,4119,False,3396.0,10.0,905.0,1021.0,727.0,True,1764.0,48.1,1648.0,51.5
59262,Godewaersvelde,59,2053,False,3367.0,11.0,924.0,896.0,471.0,True,1972.0,41.4,2000.0,40.6
59265,Gommegnies,59,2300,False,3572.0,9.0,555.0,739.0,67.0,False,2950.0,17.4,2766.0,22.6
59266,Gondecourt,59,4050,False,3715.0,6.0,1140.0,1069.0,18.0,False,2557.0,31.2,2628.0,29.3
59271,Grande-Synthe,59,20331,False,2352.0,33.0,715.0,962.0,84.0,False,1553.0,34.0,1306.0,44.5
