code_insee,commune,dep,rang,tranche,score_global,rang_median,rang_p05,rang_p95,rang_amplitude,tranche_modale,part_runs_meme_tranche,position
59386,Marquette-lez-Lille,59,1,Très favorable,20.0,1,1,3,2,Très favorable,1.0,solide
59343,Lesquin,59,2,Très favorable,19.28,2,2,5,3,Très favorable,1.0,solide
59560,Seclin,59,3,Très favorable,18.74,3,1,8,7,Très favorable,1.0,solide
59527,Saint-André-lez-Lille,59,4,Très favorable,18.46,5,2,9,7,Très favorable,1.0,solide
59266,Gondecourt,59,5,Très favorable,17.89,7,3,13,10,Très favorable,1.0,solide
59202,Erquinghem-Lys,59,6,Très favorable,17.88,6,3,13,10,Très favorable,1.0,solide
59017,Armentières,59,7,Très favorable,17.54,8,3,17,14,Très favorable,1.0,solide
59009,Villeneuve-d'Ascq,59,8,Très favorable,17.46,10,5,26,21,Très favorable,1.0,solide
59278,Hallennes-lez-Haubourdin,59,9,Très favorable,17.33,10,4,29,25,Très favorable,1.0,solide
59350,Lille,59,10,Très favorable,16.99,13,5,45,40,Très favorable,1.0,solide
59295,Hazebrouck,59,11,Très favorable,16.96,11,2,30,28,Très favorable,1.0,solide
59368,La Madeleine,59,12,Très favorable,16.88,15,8,38,30,Très favorable,1.0,solide
59586,Templeuve-en-Pévèle,59,13,Très favorable,16.88,14,4,37,33,Très favorable,1.0,solide
59360,Loos,59,14,Très favorable,16.79,14,9,27,18,Très favorable,1.0,solide
59648,Wattignies,59,15,Très favorable,16.68,15,9,26,17,Très favorable,1.0,solide
59317,Houplines,59,16,Très favorable,16.59,15,8,25,17,Très favorable,1.0,solide
59466,Pont-à-Marcq,59,17,Très favorable,16.27,21,10,40,30,Très favorable,1.0,solide
59507,Ronchin,59,18,Très favorable,16.27,20,10,43,33,Très favorable,1.0,solide
59383,Marly,59,19,Très favorable,16.02,20,11,32,21,Très favorable,1.0,solide
59286,Haubourdin,59,20,Très favorable,15.98,23,15,34,19,Très favorable,1.0,solide
