code_insee,commune,dep,PMUN,dans_MEL,apl_mg,apl_mg_m65,apl_inf,apl_kine,apl_dent,apl_sf,pop_std_sante,pop_totale_2022,apl_mg_2022,apl_mg_evol_pct,acces_urgences_moy_min,acces_urgences_min_min,acces_maternite_moy_min,acces_maternite_min_min,acces_hopital_moy_min,acces_hopital_min_min,acces_pharmacie_moy_min,acces_pharmacie_min_min,acces_msp_moy_min,acces_msp_min_min,msp_sur_place
59002,Abscon,59,4203,False,4.88,4.36,259.87,120.61,37.35,24.09,4142.16,4160.0,5.44,-10.38,9.16,7.18,8.73,6.76,6.06,4.07,1.58,1.0,5.93,3.96,False
59004,Aix-en-Pévèle,59,1358,False,4.93,4.48,158.57,154.98,50.2,19.64,1297.73,1348.0,4.83,2.15,25.5,22.5,25.84,22.5,19.22,15.4,4.57,2.58,4.77,2.34,False
59005,Allennes-les-Marais,59,3567,True,3.62,3.3,138.92,154.42,45.55,18.73,3426.68,3549.0,3.88,-6.73,9.08,7.32,8.59,6.83,8.45,6.69,1.54,1.0,4.43,1.16,True
59008,Aniche,59,9997,False,3.37,3.04,184.08,83.22,26.84,15.53,9490.15,10001.0,3.8,-11.44,13.4,10.0,12.97,9.57,7.74,4.35,1.8,1.0,2.19,1.0,True
59011,Annœullin,59,10780,True,3.69,3.34,140.62,148.18,44.61,16.88,10496.59,10887.0,3.86,-4.4,12.14,9.71,11.69,9.22,11.41,9.08,1.97,1.0,4.94,1.43,True
59013,Anstaing,59,1601,True,4.49,4.21,168.67,174.24,66.09,22.14,1580.34,1643.0,4.6,-2.43,14.28,12.4,14.28,12.4,13.5,11.62,2.62,1.0,5.29,3.15,False
59014,Anzin,59,13422,False,4.05,3.7,185.54,144.99,71.96,21.05,12876.23,13417.0,3.93,2.92,4.44,1.42,4.68,1.5,4.44,1.42,1.76,1.0,7.16,4.28,False
59015,Arleux,59,3151,False,3.1,2.54,185.6,112.33,29.95,11.2,3118.74,3148.0,3.21,-3.33,12.1,9.0,14.01,11.13,12.1,9.0,2.3,1.0,2.34,1.0,True
59017,Armentières,59,25581,True,3.86,3.44,125.63,176.82,49.86,17.62,25156.82,26107.0,4.08,-5.25,3.22,1.0,3.22,1.0,3.22,1.0,1.35,1.0,5.53,2.35,False
59018,Arnèke,59,1561,False,2.79,2.27,97.97,108.74,30.4,16.28,1642.67,1557.0,2.88,-3.19,20.81,17.92,20.81,17.92,20.8,17.92,1.43,1.0,9.2,6.29,False
59019,Artres,59,1064,False,3.48,2.96,139.12,110.54,46.43,19.63,1053.86,1073.0,3.46,0.38,15.2,14.0,15.2,14.0,14.39,12.22,1.16,1.0,7.4,6.2,False
59022,Attiches,59,2238,False,3.74,3.41,144.82,159.5,55.76,24.98,2232.7,2241.0,4.02,-6.92,10.03,8.14,10.53,8.64,10.57,8.78,1.4,1.0,8.69,5.07,False
