code_insee,rang,commune,dep,PMUN,dans_MEL,perimetre,temps_lille_min,score_meilleur_temps_vers_lille_min,score_ratio_alternatif_vs_voiture,score_part_actifs_tc_pct_2022,score_trains_arr_lille_matin,score_cout_mensuel_meilleur_mode_eur,score_indice_congestion,score_acces_gare_proche_moy_min,score_cyclable_util_km_1000hab,score_apl_mg_m65,score_apl_dent,score_acces_urgences_moy_min,score_acces_maternite_moy_min,score_couverture_petite_enfance_epci,score_acces_college_moy_min,score_acces_lycee_moy_min,score_part_logts_vacants,score_part_passoires_pct,score_air_no2_ugm3,score_artif_pct_2009_2024,score_imper_pct_2021,score_catnat_inondation_depuis_2010_n,score_rga_pct_moyen_fort,score_cambriolages_taux,score_degradations_taux,score_commerces_essentiels_sur_place,score_acces_supermarche_moy_min,score_acces_boulangerie_moy_min,score_resto_pour_1000hab,score_surf_ev_m2_par_hab,score_clubs_pour_1000hab,score_acces_piscine_moy_min,score_acces_randonnee_moy_min,score_taux_var_pop_16_22_pct_an,score_accel_pop_pts,score_arrivants_actifs_pour_1000hab,score_indice_vieillissement_2022,score_prix_maison_m2,score_loyers_maison_m2,score_loyers_appart_m2,score_taux_taxe_fonciere_bati,score_transport,score_sante,score_education,score_cadre_urbain,score_environnement,score_securite,score_commerces,score_sport_nature,score_dynamique,score_cout_logement,score_global,tranche,top15
59386,1,Marquette-lez-Lille,59,11213,True,coeur,23.0,15.38,13.55,10.82,6.15,20.0,12.38,16.02,5.18,14.73,13.4,13.21,14.46,10.11,16.09,16.17,17.19,17.56,8.57,10.63,4.16,14.59,14.58,10.71,11.49,20.0,19.04,17.33,10.55,5.77,10.46,16.23,12.33,20.0,18.8,9.02,14.41,0.93,0.0,4.6,3.26,12.39,14.01,13.97,17.38,10.96,11.06,17.66,10.42,16.19,1.82,13.21,Très favorable,True
59343,2,Lesquin,59,9241,True,coeur,25.7,14.35,7.74,9.72,7.69,14.7,16.55,18.29,11.55,16.16,16.5,13.7,13.71,10.11,18.17,8.88,12.97,18.65,8.57,0.0,5.48,20.0,20.0,11.68,8.76,20.0,17.44,13.78,20.0,7.27,11.35,13.56,5.5,20.0,3.86,10.94,16.47,4.14,4.47,3.16,9.39,12.58,15.4,12.72,15.81,11.19,10.38,18.11,9.26,13.84,5.28,12.95,Très favorable,True
59560,3,Seclin,59,12834,True,coeur,23.8,15.08,15.27,13.01,16.92,12.67,6.4,17.16,7.36,7.63,8.18,19.49,19.01,10.11,16.87,17.08,11.56,15.94,8.57,16.61,11.78,14.59,15.02,9.25,0.0,20.0,16.47,15.56,20.0,8.0,11.75,16.39,11.83,11.39,15.15,6.24,9.41,10.62,8.42,6.27,9.48,13.55,12.86,14.47,13.75,13.42,5.14,18.08,11.44,10.67,9.18,12.73,Très favorable,True
59527,4,Saint-André-lez-Lille,59,12942,True,coeur,17.0,17.69,15.05,12.59,6.15,20.0,11.76,18.29,8.66,5.62,5.9,13.32,15.36,10.11,18.44,17.63,12.97,16.08,8.57,17.16,0.08,14.59,16.62,12.5,12.2,20.0,18.4,17.33,11.94,4.2,8.63,18.43,12.17,12.13,9.75,12.6,11.47,0.0,0.0,0.0,10.21,13.93,9.44,15.14,14.52,12.21,12.37,17.68,9.82,11.58,2.36,12.65,Très favorable,True
59266,5,Gondecourt,59,4050,False,coeur,34.1,11.12,13.76,6.81,16.92,12.67,6.89,7.3,5.65,5.06,5.25,17.87,18.39,20.0,17.39,18.54,14.37,12.15,8.57,16.73,15.18,9.19,20.0,4.57,14.03,17.14,17.76,15.56,6.33,8.52,16.94,8.07,18.67,8.96,12.8,7.91,7.65,7.08,8.37,9.01,10.63,10.58,10.58,18.99,13.26,13.84,8.77,15.28,12.71,9.28,8.49,12.44,Très favorable,True
59009,6,Villeneuve-d'Ascq,59,62067,True,coeur,27.1,13.81,4.73,16.83,4.62,8.49,18.68,16.4,8.91,8.02,9.3,13.37,15.11,10.11,18.7,17.27,15.78,17.02,8.57,11.33,5.64,20.0,14.68,8.71,3.29,20.0,17.76,18.22,19.41,7.5,11.79,16.39,13.67,6.08,12.91,7.61,14.41,3.41,0.0,3.07,7.35,11.78,11.02,15.13,16.4,12.5,6.3,18.86,11.66,9.66,3.48,12.33,Très favorable,True
59202,7,Erquinghem-Lys,59,5356,True,coeur,36.9,10.04,13.55,10.03,20.0,8.59,0.0,15.64,3.22,9.97,9.0,18.66,18.66,10.11,15.05,15.99,16.62,13.37,8.57,10.75,15.81,20.0,2.54,14.99,13.19,14.29,16.79,17.33,10.55,10.14,12.42,14.66,0.0,12.42,6.91,5.26,12.35,10.57,12.37,8.36,12.3,10.51,13.62,13.32,15.0,11.23,14.19,15.01,9.62,9.69,11.04,12.31,Très favorable,True
59350,8,Lille,59,236710,True,coeur,11.0,20.0,20.0,20.0,6.15,20.0,12.05,15.07,7.36,9.67,9.02,17.47,17.56,10.11,18.44,18.18,3.68,11.34,8.57,18.2,0.0,20.0,13.06,8.38,0.0,20.0,19.04,18.67,20.0,2.95,8.91,16.08,12.17,9.32,12.42,7.61,17.35,5.81,1.53,0.0,8.81,15.54,13.03,15.29,7.51,12.82,4.66,19.46,9.01,11.34,4.62,12.2,Très favorable,True
59017,9,Armentières,59,25581,True,coeur,26.7,13.96,18.28,14.3,20.0,8.59,13.6,17.16,5.92,3.94,4.42,19.64,19.64,10.11,18.7,19.45,3.68,12.83,8.57,19.91,0.0,9.19,11.22,13.08,1.15,20.0,18.08,17.78,15.7,6.1,12.3,16.55,0.0,11.32,19.18,7.34,13.53,15.17,16.42,10.18,4.2,14.67,10.65,15.71,8.26,10.48,7.78,18.27,8.62,12.62,12.16,12.13,Très favorable,True
59278,10,Hallennes-lez-Haubourdin,59,4718,True,coeur,42.7,7.81,4.95,6.69,6.15,12.26,0.18,13.93,12.98,18.8,15.48,14.42,13.16,10.11,15.83,11.25,18.59,14.05,8.57,6.84,10.06,20.0,6.02,16.92,9.43,8.57,15.83,14.22,17.45,6.25,10.7,11.84,11.33,19.65,16.02,9.58,11.76,7.26,7.09,4.6,12.6,7.58,16.26,12.32,16.32,10.32,13.59,13.41,9.57,15.02,8.04,12.11,Très favorable,True
59368,11,La Madeleine,59,22488,True,coeur,12.0,19.62,16.13,17.14,6.15,20.0,15.67,18.48,6.87,6.03,6.49,15.07,15.1,10.11,18.17,18.18,1.43,14.32,8.57,19.66,0.0,20.0,2.02,11.34,9.78,20.0,19.36,18.67,13.02,0.62,8.57,18.74,13.5,11.24,20.0,15.22,9.41,0.0,0.0,0.0,12.04,15.35,10.14,15.2,7.88,10.77,10.65,18.4,8.94,13.58,2.78,12.1,Très favorable,True
59586,12,Templeuve-en-Pévèle,59,6705,False,coeur,31.3,12.19,12.26,12.8,10.77,11.45,13.76,17.54,6.82,5.11,3.94,3.53,3.1,20.0,11.66,7.78,8.75,12.96,8.57,12.79,16.67,14.59,10.28,17.23,12.8,20.0,15.51,16.0,7.67,12.49,11.44,17.33,18.17,20.0,20.0,8.78,7.06,6.86,5.06,5.3,11.12,12.38,4.33,13.96,10.86,12.29,15.26,15.78,14.31,14.82,7.19,12.07,Très favorable,True
59360,13,Loos,59,23013,True,coeur,25.0,14.62,11.18,15.59,6.15,20.0,11.58,18.48,8.14,2.34,1.72,18.15,16.83,10.11,18.44,18.54,4.25,15.26,8.57,10.11,3.93,20.0,20.0,13.81,2.6,20.0,18.72,16.89,14.11,4.7,10.89,16.39,16.67,10.87,9.48,7.95,17.35,10.61,6.17,3.25,6.66,13.12,8.86,15.38,9.75,13.14,8.83,18.07,11.08,11.34,7.54,12.05,Très favorable,True
59648,14,Wattignies,59,15531,True,coeur,31.0,12.31,7.53,14.85,6.15,20.0,11.94,17.35,4.5,4.55,4.95,16.79,17.81,10.11,18.17,11.43,12.97,16.35,8.57,10.87,8.33,14.59,20.0,8.64,7.85,20.0,17.12,13.33,5.3,3.69,11.57,18.59,16.17,16.48,10.62,6.74,11.18,9.02,6.21,5.02,11.39,11.51,10.15,13.4,14.66,12.77,8.29,15.48,11.27,12.0,8.3,12.03,Très favorable,True
59507,15,Ronchin,59,19437,True,coeur,21.0,16.15,10.97,14.12,6.15,20.0,11.01,17.54,6.92,12.57,13.39,17.47,17.48,10.11,18.7,15.44,14.94,2.95,8.57,15.05,1.85,14.59,20.0,8.99,7.2,17.14,17.44,17.33,4.79,2.56,13.92,18.12,6.5,8.37,7.51,7.46,11.76,10.06,5.25,3.58,10.48,12.98,15.01,14.64,8.94,12.74,8.19,15.21,9.49,8.72,8.05,11.93,Très favorable,True
59295,16,Hazebrouck,59,21498,False,coeur,46.7,6.27,12.9,11.78,20.0,0.0,8.65,17.16,8.23,2.82,6.42,20.0,20.0,18.98,18.44,19.09,9.59,7.69,8.57,15.42,13.99,0.0,1.26,20.0,7.81,20.0,17.76,17.78,11.48,8.79,14.17,17.17,11.83,6.67,13.08,3.53,1.76,14.9,17.93,15.2,11.73,10.91,11.01,19.08,8.64,7.41,14.58,17.46,12.51,6.32,14.91,11.91,Très favorable,False
59466,17,Pont-à-Marcq,59,2883,False,coeur,41.3,8.35,6.88,5.84,10.77,11.45,8.29,5.97,12.07,10.25,10.81,9.33,8.82,20.0,20.0,2.32,16.34,15.94,8.57,0.0,7.37,9.19,18.5,14.89,11.26,17.14,18.08,19.56,12.51,5.72,13.25,18.59,15.5,12.72,9.64,11.23,7.65,6.09,2.12,4.32,13.86,8.63,10.1,15.54,16.14,8.82,13.28,17.08,12.26,10.65,6.69,11.85,Très favorable,False
59328,18,Lambersart,59,27121,True,coeur,20.0,16.54,14.19,15.21,6.15,20.0,10.26,12.8,7.02,9.34,9.3,15.74,18.59,10.11,18.44,18.91,10.72,13.5,8.57,16.98,1.43,14.59,11.82,6.55,10.37,20.0,18.72,17.78,7.41,3.4,8.96,18.43,11.83,3.79,14.38,10.46,7.94,0.0,0.0,0.0,7.29,12.87,12.68,15.48,12.11,11.34,8.25,17.1,9.57,8.38,1.68,11.83,Très favorable,False
59317,19,Houplines,59,7897,True,coeur,36.3,10.27,12.04,9.56,20.0,8.59,11.99,12.04,9.54,7.0,6.91,16.09,16.09,10.11,16.87,14.17,11.0,12.96,8.57,19.15,14.8,14.59,0.96,15.51,12.36,14.29,15.83,12.89,3.24,8.15,14.45,10.89,4.17,7.11,11.33,6.66,12.94,11.19,15.08,13.29,10.97,12.02,10.81,13.7,11.98,11.39,14.11,12.73,9.58,9.17,12.36,11.82,Très favorable,False
59449,20,Orchies,59,8455,False,coeur,33.4,11.38,12.69,12.53,18.46,7.78,3.58,17.73,11.58,8.93,6.63,0.0,0.0,20.0,15.83,16.9,8.47,13.1,17.14,14.2,12.84,9.19,10.78,16.82,6.79,20.0,17.12,17.78,17.04,7.42,13.44,17.33,12.67,2.54,3.86,9.58,7.94,11.69,13.34,5.11,6.56,12.27,4.59,18.03,10.78,12.83,12.36,18.18,12.06,5.49,9.87,11.77,Très favorable,False
59286,21,Haubourdin,59,14757,True,coeur,33.7,11.27,9.89,13.56,6.15,13.48,7.1,17.91,9.35,6.26,5.12,14.52,13.28,10.11,18.44,16.17,13.25,12.02,8.57,11.18,4.96,20.0,20.0,13.22,5.68,20.0,18.08,17.33,6.28,7.03,11.39,15.76,13.17,6.01,8.06,7.38,9.71,11.26,9.66,6.13,7.43,10.93,9.5,14.75,12.64,13.51,9.87,16.63,11.17,7.54,9.22,11.75,Très favorable,False
59410,22,Mons-en-Barœul,59,21467,True,coeur,15.0,18.46,11.18,19.1,0.0,20.0,16.68,15.26,4.38,7.53,8.01,14.79,15.14,10.11,19.48,15.81,8.19,14.72,8.57,20.0,0.0,20.0,0.0,5.98,9.7,20.0,18.08,19.11,5.51,1.56,9.61,18.59,10.67,9.1,17.22,7.53,14.12,4.59,3.59,2.56,13.69,13.21,10.94,15.0,11.46,10.41,7.63,16.8,8.93,11.58,6.15,11.75,Très favorable,False
59378,23,Marcq-en-Barœul,59,39356,True,coeur,26.0,14.23,5.81,14.43,6.15,20.0,17.1,15.45,7.07,8.6,8.74,13.23,13.49,10.11,17.65,17.99,10.72,15.4,2.86,16.76,3.17,14.59,9.06,3.79,11.82,20.0,17.76,18.22,14.11,4.63,10.41,17.49,12.83,9.62,17.16,10.97,6.18,0.0,0.0,0.0,17.73,12.34,10.82,14.97,13.06,9.72,7.36,17.98,10.38,10.79,4.09,11.71,Très favorable,False
