code_insee,commune,dep,PMUN,dans_MEL,cambriolages_taux,degradations_taux,violences_hors_famille_taux,vols_dans_vehicules_taux,vols_de_vehicule_taux,vols_sans_violence_taux,cambriolages_taux_2024,degradations_taux_2024,violences_hors_famille_taux_2024,vols_dans_vehicules_taux_2024,vols_de_vehicule_taux_2024,vols_sans_violence_taux_2024,securite_pct_estime
59002,Abscon,59,4203,False,3.73,5.98,1.27,1.31,1.41,2.83,5.09,7.06,1.38,1.43,1.62,3.89,0.5
59004,Aix-en-Pévèle,59,1358,False,4.68,4.05,0.98,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59005,Allennes-les-Marais,59,3567,True,4.68,5.36,1.41,1.31,2.54,2.08,5.27,7.33,1.38,1.43,3.67,2.09,0.67
59008,Aniche,59,9997,False,7.42,10.63,4.61,2.54,2.61,4.31,7.19,10.24,3.51,3.21,3.81,3.41,0.0
59011,Annœullin,59,10780,True,4.12,9.12,7.67,0.8,1.54,2.89,3.59,10.23,8.76,1.2,2.67,2.49,0.0
59013,Anstaing,59,1601,True,8.64,3.06,1.41,1.31,1.41,2.08,5.27,3.07,1.38,1.43,1.62,2.09,0.83
59014,Anzin,59,13422,False,5.52,11.75,5.2,3.5,2.84,7.74,4.6,14.87,6.07,3.79,2.35,6.75,0.0
59015,Arleux,59,3151,False,4.27,7.23,4.58,1.31,1.92,5.74,5.27,6.72,5.12,1.43,2.24,4.16,0.33
59017,Armentières,59,25581,True,6.23,12.18,5.89,2.62,2.6,8.38,5.23,13.26,7.59,2.56,2.85,8.85,0.0
59018,Arnèke,59,1561,False,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59019,Artres,59,1064,False,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59022,Attiches,59,2238,False,4.68,5.2,1.41,1.31,2.06,2.14,5.27,6.68,1.38,1.43,3.56,2.09,0.67
59024,Auberchicourt,59,4626,False,6.89,5.48,2.74,1.31,2.16,4.25,7.69,6.49,1.3,1.43,1.95,3.24,0.17
59025,Aubers,59,1722,True,4.68,4.77,1.41,1.31,1.41,2.08,5.27,6.29,1.38,1.43,1.62,2.09,0.83
59026,Aubigny-au-Bac,59,1159,False,4.68,5.72,1.41,1.31,1.41,5.05,5.27,4.14,1.38,1.43,1.62,5.25,0.83
59027,Aubry-du-Hainaut,59,1726,False,4.68,11.32,1.41,1.31,1.41,2.08,5.27,15.25,1.38,1.43,1.62,2.09,0.83
59028,Auby,59,7188,False,4.06,8.8,4.3,1.17,1.69,2.48,5.45,8.19,2.26,0.99,1.98,1.69,0.0
59029,Auchy-lez-Orchies,59,1486,False,5.79,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59032,Aulnoy-lez-Valenciennes,59,7183,False,4.0,8.74,2.49,3.34,1.69,9.82,3.72,9.89,3.25,4.52,1.27,10.03,0.0
59034,Avelin,59,2600,False,15.4,7.8,1.41,2.08,4.02,2.08,10.46,8.59,1.38,2.34,2.73,2.09,0.33
59038,Avesnes-le-Sec,59,1447,False,4.68,4.05,1.41,1.31,1.41,2.08,5.27,4.14,1.38,1.43,1.62,2.09,1.0
59042,Bachy,59,1883,False,4.68,4.05,0.95,1.31,1.41,2.08,5.27,4.14,0.0,1.43,1.62,2.09,0.83
