code_insee,commune,dep,PMUN,dans_MEL,acces_piscine_moy_min,acces_piscine_min_min,acces_fitness_moy_min,acces_fitness_min_min,acces_randonnee_moy_min,acces_randonnee_min_min,acces_gymnase_moy_min,acces_gymnase_min_min,nb_clubs_actifs,clubs_pour_1000hab,part_pop_ev_300m,surf_ev_m2_par_hab
59002,Abscon,59,4203,False,5.2,3.2,1.9,1.0,7.2,5.0,1.8,1.0,7,1.67,55.6,115.0
59004,Aix-en-Pévèle,59,1358,False,12.1,8.9,14.2,12.4,12.2,9.3,6.4,3.4,2,1.47,100.0,421.0
59005,Allennes-les-Marais,59,3567,True,13.5,11.8,3.8,1.4,1.6,1.0,1.7,1.0,4,1.12,98.8,181.0
59008,Aniche,59,9997,False,2.5,1.0,2.8,1.0,6.6,4.2,1.7,1.0,17,1.7,99.2,106.0
59011,Annœullin,59,10780,True,12.0,9.1,2.0,1.0,4.3,1.9,2.0,1.0,19,1.76,98.7,77.0
59013,Anstaing,59,1601,True,7.6,5.6,6.8,5.0,6.6,5.5,5.0,3.2,1,0.62,100.0,244.0
59014,Anzin,59,13422,False,6.5,3.6,2.6,1.0,5.0,1.0,2.2,1.0,20,1.49,86.9,30.0
59015,Arleux,59,3151,False,10.7,8.0,8.1,4.6,6.2,3.4,2.5,1.0,10,3.17,90.3,429.0
59017,Armentières,59,25581,True,3.7,1.0,2.0,1.0,13.7,9.4,1.9,1.0,47,1.84,95.1,70.0
59018,Arnèke,59,1561,False,20.6,18.7,9.7,4.7,8.6,5.4,1.9,1.0,5,3.2,98.7,833.0
59019,Artres,59,1064,False,11.6,10.4,5.7,4.5,7.8,5.3,6.2,5.1,2,1.88,100.0,1075.0
59022,Attiches,59,2238,False,9.2,7.2,1.7,1.0,6.7,2.5,1.6,1.0,5,2.23,100.0,1083.0
59024,Auberchicourt,59,4626,False,3.8,2.1,3.9,1.6,5.6,1.9,1.8,1.0,5,1.08,98.0,289.0
59025,Aubers,59,1722,True,5.9,3.7,1.7,1.0,4.5,2.2,2.5,1.0,7,4.07,98.8,1413.0
59026,Aubigny-au-Bac,59,1159,False,2.6,1.0,6.4,4.6,13.8,11.9,5.8,4.2,1,0.86,94.2,863.0
59027,Aubry-du-Hainaut,59,1726,False,6.9,5.3,4.3,2.2,7.2,5.3,2.9,1.6,1,0.58,100.0,422.0
59028,Auby,59,7188,False,3.7,1.0,2.3,1.0,6.4,4.1,1.8,1.0,15,2.09,94.7,223.0
59029,Auchy-lez-Orchies,59,1486,False,6.8,4.6,10.5,7.6,2.1,1.0,5.3,2.7,3,2.02,93.3,237.0
59032,Aulnoy-lez-Valenciennes,59,7183,False,4.7,2.6,3.5,1.0,9.6,6.0,1.4,1.0,15,2.09,98.6,130.0
59034,Avelin,59,2600,False,6.1,3.5,2.3,1.0,6.5,3.3,2.6,1.0,8,3.08,99.7,981.0
59038,Avesnes-le-Sec,59,1447,False,15.0,13.6,7.2,5.3,12.8,11.2,1.6,1.0,2,1.38,73.0,498.0
59042,Bachy,59,1883,False,15.4,12.1,9.4,7.0,6.3,4.4,7.6,5.7,0,0.0,100.0,884.0
59043,Bailleul,59,14869,False,5.0,1.0,4.6,1.0,3.3,1.0,2.7,1.0,31,2.08,99.1,515.0
59044,Baisieux,59,5177,True,12.3,10.0,5.3,2.1,4.5,2.1,3.0,1.0,13,2.51,100.0,233.0
59052,Bauvin,59,4999,True,14.9,13.3,2.9,1.3,9.3,7.7,1.8,1.0,11,2.2,89.8,126.0
59054,Bavinchove,59,1046,False,13.5,10.7,11.8,7.2,12.4,9.9,4.8,3.1,0,0.0,90.5,866.0
59064,Bellaing,59,1329,False,10.2,8.4,3.7,1.9,9.2,7.5,1.8,1.0,4,3.01,99.6,908.0
59071,Bersée,59,2296,False,7.4,4.5,7.2,4.2,2.5,1.0,2.2,1.0,4,1.74,95.7,1070.0
59079,Beuvrages,59,6784,False,5.3,2.8,2.2,1.0,7.2,5.3,1.7,1.0,15,2.21,96.2,64.0
59080,Beuvry-la-Forêt,59,2834,False,7.7,3.4,10.7,6.1,9.2,4.1,3.6,1.0,5,1.76,100.0,1836.0
59082,Bierne,59,1772,False,10.8,8.9,5.7,3.2,9.1,6.3,1.5,1.0,3,1.69,97.5,549.0
59084,Blaringhem,59,2043,False,10.7,6.0,2.9,1.0,10.9,5.1,2.6,1.0,2,0.98,99.2,1976.0
59086,Boeschepe,59,2179,False,16.1,10.8,13.1,8.6,2.9,1.0,3.2,1.0,5,2.29,100.0,1726.0
59088,Bois-Grenier,59,1793,True,7.9,5.1,5.9,3.2,9.1,5.6,1.6,1.0,8,4.46,97.2,252.0
59089,Bollezeele,59,1423,False,16.2,13.4,14.4,9.7,1.7,1.0,1.8,1.0,4,2.81,97.8,1183.0
59090,Bondues,59,9713,True,8.3,4.2,3.4,1.0,3.6,1.0,3.1,1.0,28,2.88,97.4,261.0
59094,Bourbourg,59,7023,False,1.9,1.0,2.1,1.0,1.7,1.0,1.5,1.0,13,1.85,96.0,278.0
59096,Bourghelles,59,1673,False,14.6,13.1,9.3,6.1,4.5,2.7,4.8,2.0,0,0.0,100.0,1387.0
59098,Bousbecque,59,4847,True,7.4,4.3,6.4,3.8,2.2,1.0,2.0,1.0,13,2.68,96.1,301.0
59105,Bouvignies,59,1548,False,10.5,7.1,8.3,5.4,11.5,8.3,7.3,4.2,4,2.58,100.0,2495.0
59112,Bruay-sur-l'Escaut,59,11309,False,9.1,5.7,3.4,1.0,8.2,4.4,2.5,1.0,11,0.97,100.0,133.0
59114,Bruille-Saint-Amand,59,1682,False,10.3,7.3,5.9,2.7,8.7,5.8,3.5,1.0,6,3.57,100.0,1918.0
59113,Bruille-lez-Marchiennes,59,1350,False,5.8,4.6,4.0,2.7,2.8,1.7,4.8,2.0,3,2.22,98.7,417.0
59117,Bugnicourt,59,1074,False,5.9,4.1,8.8,7.2,10.8,9.3,4.2,2.5,2,1.86,89.7,524.0
59122,Cambrai,59,31425,False,3.1,1.0,3.1,1.0,8.3,4.0,2.5,1.0,71,2.26,100.0,84.0
59123,Camphin-en-Carembault,59,1714,False,6.5,4.5,5.3,2.9,7.7,5.3,4.8,2.8,2,1.17,100.0,379.0
59124,Camphin-en-Pévèle,59,2501,False,13.5,11.0,2.0,1.0,8.2,4.7,6.4,2.8,2,0.8,100.0,468.0
59126,Cantin,59,1770,False,9.5,6.7,7.1,4.3,10.9,7.3,6.4,3.5,2,1.13,93.4,491.0
59128,Capinghem,59,2474,True,7.4,5.4,3.5,1.5,10.2,8.3,2.7,1.0,0,0.0,100.0,36.0
59129,Cappelle-en-Pévèle,59,2262,False,4.5,2.7,5.5,2.9,2.5,1.0,2.5,1.0,3,1.33,99.7,708.0
59133,Carnin,59,1076,True,10.9,9.4,1.2,1.0,3.9,2.4,4.1,2.6,2,1.86,97.7,40.0
59135,Cassel,59,2227,False,13.9,8.5,10.4,7.7,8.2,4.2,2.2,1.0,7,3.14,99.9,1848.0
59120,Caëstre,59,2006,False,10.0,7.6,8.2,5.3,5.0,2.5,1.4,1.0,7,3.49,91.3,487.0
59146,Chéreng,59,3001,True,8.9,6.9,7.6,3.4,4.1,1.0,2.1,1.0,9,3.0,95.3,413.0
59152,Comines,59,12671,True,14.4,10.2,2.8,1.0,2.6,1.0,2.6,1.0,17,1.34,97.2,185.0
59153,Condé-sur-l'Escaut,59,9396,False,17.9,12.4,4.4,1.0,13.1,10.4,3.0,1.0,18,1.92,100.0,1140.0
59155,Coudekerque-Branche,59,20765,False,6.4,3.5,1.4,1.0,5.7,3.8,1.4,1.0,27,1.3,84.8,79.0
59156,Courchelettes,59,2881,False,5.3,3.8,4.1,2.0,10.5,8.5,3.1,1.0,7,2.43,63.0,54.0
59158,Coutiches,59,3246,False,9.0,5.1,13.0,10.3,7.4,2.3,3.8,1.0,7,2.16,98.8,1104.0
59163,Croix,59,20778,True,2.8,1.0,2.6,1.0,8.6,4.7,2.0,1.0,19,0.91,98.3,21.0
59165,Cuincy,59,6472,False,4.5,3.0,3.5,1.0,4.2,1.6,2.6,1.0,13,2.01,92.5,227.0
59166,Curgies,59,1347,False,7.4,6.3,6.0,4.8,4.1,2.9,2.4,1.2,2,1.48,93.8,1148.0
59168,Cysoing,59,4722,False,11.5,7.1,7.7,3.2,2.1,1.0,2.5,1.0,13,2.75,100.0,1372.0
59170,Dechy,59,5351,False,4.3,2.0,4.7,2.0,9.2,5.7,1.9,1.0,6,1.12,85.5,305.0
59172,Denain,59,20640,False,3.6,1.0,2.8,1.0,10.5,5.7,2.3,1.0,30,1.45,88.9,61.0
59173,Deûlémont,59,1819,True,14.8,12.7,5.3,1.3,3.3,1.5,2.0,1.0,4,2.2,100.0,912.0
59670,Don,59,1412,True,9.6,8.4,3.3,2.4,6.9,5.1,4.4,3.0,2,1.42,100.0,488.0
59178,Douai,59,39648,False,3.2,1.0,2.8,1.0,5.5,1.0,1.8,1.0,74,1.87,92.5,77.0
59179,Douchy-les-Mines,59,10207,False,5.2,2.2,2.9,1.0,15.0,10.2,2.8,1.0,13,1.27,92.1,209.0
59183,Dunkerque,59,86788,False,3.4,1.0,2.0,1.0,4.6,1.0,1.4,1.0,152,1.75,98.5,68.0
59189,Eecke,59,1221,False,12.2,9.9,10.6,8.1,5.9,3.7,3.7,1.0,0,0.0,95.4,1259.0
59193,Emmerin,59,3053,True,5.5,3.3,4.8,2.4,1.9,1.0,2.5,1.0,7,2.29,90.1,390.0
59196,Ennetières-en-Weppes,59,1293,True,10.9,6.6,2.8,1.0,11.1,8.7,2.8,1.0,3,2.32,100.0,945.0
59197,Ennevelin,59,2356,False,6.2,1.0,1.9,1.0,2.1,1.0,5.0,2.6,7,2.97,99.4,757.0
59202,Erquinghem-Lys,59,5356,True,4.9,2.5,3.8,1.4,13.3,9.7,2.3,1.0,10,1.87,99.9,301.0
59203,Erre,59,1574,False,4.3,3.1,4.3,2.7,3.7,2.5,4.0,2.7,1,0.64,100.0,446.0
59205,Escaudain,59,9253,False,2.5,1.0,2.5,1.0,7.1,3.6,3.0,1.0,17,1.84,93.4,146.0
59207,Escautpont,59,4152,False,12.2,9.8,2.6,1.0,11.3,8.6,2.4,1.0,7,1.69,100.0,213.0
59210,Esquelbecq,59,2134,False,19.6,16.3,7.2,4.8,4.7,2.3,4.2,1.8,3,1.41,92.5,470.0
59212,Estaires,59,6496,False,16.4,11.5,3.3,1.4,8.5,6.1,2.2,1.0,17,2.62,98.3,211.0
59214,Estrées,59,1116,False,10.7,8.0,8.7,6.0,6.2,4.9,4.9,3.9,3,2.69,100.0,322.0
59220,Faches-Thumesnil,59,18110,True,4.4,1.9,2.3,1.0,7.0,4.5,2.1,1.0,22,1.21,100.0,19.0
59221,Famars,59,2475,False,6.4,4.6,1.6,1.0,8.8,5.6,1.7,1.0,4,1.62,94.9,346.0
59222,Faumont,59,2251,False,10.7,7.8,9.1,6.2,6.1,4.0,5.7,3.8,4,1.78,99.5,950.0
59227,Fenain,59,5529,False,5.6,3.8,3.7,1.2,5.6,3.4,2.2,1.0,11,1.99,85.1,210.0
59234,Flers-en-Escrebieux,59,5642,False,5.4,3.0,2.8,1.0,4.0,1.2,2.4,1.0,8,1.42,91.7,219.0
59239,Flines-lez-Raches,59,5610,False,12.5,9.1,9.9,5.4,7.6,1.8,3.3,1.0,16,2.85,97.8,1141.0
59238,Flines-lès-Mortagne,59,1649,False,17.5,13.9,14.6,10.8,15.1,7.8,5.9,2.3,3,1.82,100.0,4814.0
59244,Fontaine-Notre-Dame,59,1763,False,7.2,3.3,7.1,3.2,7.7,6.0,7.0,3.0,3,1.7,97.3,966.0
59247,Forest-sur-Marque,59,1659,True,6.3,5.2,7.9,7.0,6.2,4.8,1.8,1.0,6,3.62,100.0,189.0
59250,Fournes-en-Weppes,59,2190,True,5.4,3.2,2.3,1.0,2.0,1.0,2.2,1.0,4,1.83,99.1,331.0
59252,Frelinghien,59,2581,True,10.9,8.8,2.4,1.0,6.6,4.1,2.1,1.0,3,1.16,99.8,533.0
59253,Fresnes-sur-Escaut,59,7486,False,13.2,8.8,2.8,1.0,12.3,8.5,2.9,1.0,12,1.6,100.0,557.0
59256,Fretin,59,3227,True,7.8,5.0,2.0,1.0,5.5,3.1,2.2,1.0,6,1.86,99.9,711.0
59257,Fromelles,59,1076,True,6.8,4.3,4.3,2.4,1.8,1.0,4.3,2.4,2,1.86,100.0,1949.0
59224,Féchain,59,1658,False,7.3,4.6,11.3,8.6,16.8,14.4,1.7,1.0,3,1.81,99.9,169.0
59228,Férin,59,1447,False,6.3,4.1,4.3,1.7,10.9,9.2,3.8,1.2,1,0.69,100.0,274.0
59258,Genech,59,2825,False,8.4,5.6,1.8,1.0,6.6,3.2,2.4,1.0,9,3.19,100.0,1106.0
59260,Ghyvelde,59,4119,False,5.8,2.7,4.3,1.0,4.8,1.0,3.9,1.0,7,1.7,94.3,1080.0
59262,Godewaersvelde,59,2053,False,14.7,11.4,11.7,8.4,7.4,4.1,6.5,3.8,1,0.49,99.6,1442.0
59265,Gommegnies,59,2300,False,19.1,14.6,9.8,4.0,4.2,1.0,3.9,1.0,6,2.61,100.0,4130.0
59266,Gondecourt,59,4050,False,9.1,5.3,6.2,2.5,2.0,1.0,2.0,1.0,13,3.21,99.8,168.0
