nom_gare,n,retard5,med_s
Lille Europe,774,20.025839793281655,0.0
Anor,294,16.3265306122449,0.0
Le Quesnoy,729,16.049382716049383,0.0
Avesnes-sur-Helpe,315,15.873015873015872,0.0
Sains-du-Nord,294,15.646258503401361,0.0
Fourmies,315,15.555555555555555,0.0
Dunkerque,499,15.430861723446892,0.0
Saint-Amand-les-Eaux,1200,14.916666666666668,0.0
Valenciennes,1267,14.83820047355959,0.0
Arnèke,492,14.634146341463413,0.0
Le Poirier Université,434,14.516129032258066,0.0
Orchies,1200,14.416666666666666,0.0
Cassel,503,14.314115308151093,0.0
Esquelbecq,492,14.227642276422763,0.0
Caudry,330,13.939393939393941,0.0
Berguette - Isbergues,448,13.616071428571427,0.0
Bergues,508,13.582677165354331,0.0
Douai,1631,13.488657265481299,0.0
Lillers,448,13.392857142857142,0.0
Ebblinghem,210,13.333333333333334,0.0
Ham-en-Artois,181,13.259668508287293,0.0
Jeumont,189,13.227513227513226,0.0
Ruminghem,206,13.106796116504855,0.0
Audruicq,461,13.015184381778742,0.0
Bully - Grenay,454,12.995594713656388,0.0
Noeux-Les-Mines,454,12.995594713656388,0.0
Renescure,210,12.857142857142856,0.0
Hazebrouck,1354,12.776957163958642,0.0
Arras,1456,12.774725274725274,0.0
Lille Flandres,3289,12.617816965643053,0.0
Aulnoye-Aymeries,1053,12.345679012345679,0.0
Watten - Éperlecques,461,12.147505422993492,0.0
Saint-Omer,490,12.040816326530612,0.0
Fretin,573,11.8673647469459,0.0
Calais Ville,586,11.774744027303754,0.0
Landas,573,11.69284467713787,0.0
Liévin,181,11.602209944751381,0.0
Bailleul,1086,11.602209944751381,0.0
Rosult,573,11.518324607329843,0.0
Cambrai,546,11.355311355311356,0.0
Somain,503,11.332007952286283,0.0
Montigny-en-Ostrevent,503,11.332007952286283,0.0
Lesquin,667,11.244377811094452,0.0
Avion,323,11.145510835913312,0.0
Corbehem,236,11.016949152542372,0.0
Roeux,236,11.016949152542372,0.0
Templeuve,693,10.966810966810966,0.0
Lens,1182,10.829103214890017,0.0
Nortkerque,185,10.81081081081081,0.0
Pont d'Ardres,185,10.81081081081081,0.0
Armentières,1087,10.763569457221712,0.0
Busigny,477,10.69182389937107,0.0
Béthune,978,10.327198364008181,0.0
Vimy,243,10.2880658436214,0.0
Berlaimont,224,10.267857142857142,0.0
Rang-du-Fliers - Verton - Berck,448,10.267857142857142,0.0
Maubeuge,620,10.0,0.0
Pérenchies,424,9.90566037735849,0.0
Strazeele,424,9.90566037735849,0.0
Vitry-en-Artois,274,9.854014598540147,0.0
