route,date_range,creneau,distance_km,vitesse_harmonique_kmh,temps_median_s,temps_moyen_s,planning_time_index,echantillon_moy,heure,weekend
Douai -> Lille,Juillet 2026,Semaine 5h-6h,41.48886,52.42,2723.03,2849.36,1.3,4363.89,5.0,False
Douai -> Lille,Juillet 2026,Semaine 6h-7h,41.48886,71.94,1856.67,2063.94,1.17,8920.25,6.0,False
Douai -> Lille,Juillet 2026,Semaine 7h-8h,41.48886,67.14,1923.58,2211.5,1.22,13179.37,7.0,False
Douai -> Lille,Juillet 2026,Semaine 8h-9h,41.48886,62.27,1993.45,2398.56,1.54,15705.22,8.0,False
Douai -> Lille,Juillet 2026,Semaine 9h-10h,41.48886,64.97,1947.3,2299.04,1.35,13332.7,9.0,False
Douai -> Lille,Juillet 2026,Semaine 10h-11h,41.48886,66.15,1957.79,2257.89,1.3,12812.15,10.0,False
Douai -> Lille,Juillet 2026,Semaine 11h-12h,41.48886,66.95,1963.28,2231.0,1.21,12889.61,11.0,False
Douai -> Lille,Juillet 2026,Semaine 12h-13h,41.48886,68.2,1912.34,2190.02,1.21,12989.81,12.0,False
Douai -> Lille,Juillet 2026,Semaine 13h-14h,41.48886,68.04,1911.52,2195.06,1.19,12853.4,13.0,False
Douai -> Lille,Juillet 2026,Semaine 14h-15h,41.48886,68.12,1901.55,2179.47,1.16,13101.26,14.0,False
Douai -> Lille,Juillet 2026,Semaine 15h-16h,41.48886,62.53,1979.93,2388.77,1.4,13151.15,15.0,False
Douai -> Lille,Juillet 2026,Semaine 16h-17h,41.48886,65.15,1966.63,2292.47,1.36,13991.26,16.0,False
Douai -> Lille,Juillet 2026,Semaine 17h-18h,41.48886,64.5,1987.59,2315.7,1.38,15005.14,17.0,False
Douai -> Lille,Juillet 2026,Semaine 18h-19h,41.48886,65.5,1932.54,2280.22,1.41,14851.35,18.0,False
Lens -> Lille,Juillet 2026,Semaine 5h-6h,35.77111,58.97,1976.71,2177.83,1.64,2633.77,5.0,False
Lens -> Lille,Juillet 2026,Semaine 6h-7h,35.77111,54.55,2056.66,2354.12,1.89,5396.11,6.0,False
Lens -> Lille,Juillet 2026,Semaine 7h-8h,35.77111,49.69,2128.12,2584.44,2.18,8190.34,7.0,False
Lens -> Lille,Juillet 2026,Semaine 8h-9h,35.77111,45.7,2200.14,2811.33,2.69,9891.52,8.0,False
Lens -> Lille,Juillet 2026,Semaine 9h-10h,35.77111,48.94,2129.98,2624.19,2.31,8267.63,9.0,False
Lens -> Lille,Juillet 2026,Semaine 10h-11h,35.77111,50.65,2128.54,2535.82,2.15,7811.89,10.0,False
Lens -> Lille,Juillet 2026,Semaine 11h-12h,35.77111,50.29,2153.83,2554.69,2.16,7862.06,11.0,False
Lens -> Lille,Juillet 2026,Semaine 12h-13h,35.77111,51.51,2103.62,2493.97,2.14,8158.65,12.0,False
Lens -> Lille,Juillet 2026,Semaine 13h-14h,35.77111,52.05,2095.82,2467.2,2.03,7725.42,13.0,False
Lens -> Lille,Juillet 2026,Semaine 14h-15h,35.77111,49.5,2141.0,2595.63,2.22,7894.19,14.0,False
Lens -> Lille,Juillet 2026,Semaine 15h-16h,35.77111,50.28,2133.7,2554.49,2.16,7866.11,15.0,False
Lens -> Lille,Juillet 2026,Semaine 16h-17h,35.77111,49.0,2162.67,2621.77,2.33,8490.71,16.0,False
Lens -> Lille,Juillet 2026,Semaine 17h-18h,35.77111,47.45,2170.92,2706.72,2.48,9095.33,17.0,False
Lens -> Lille,Juillet 2026,Semaine 18h-19h,35.77111,50.08,2098.13,2564.25,2.33,9244.12,18.0,False
Arras -> Lille,Juillet 2026,Semaine 5h-6h,53.96311,76.15,2422.42,2545.91,1.48,3952.26,5.0,False
Arras -> Lille,Juillet 2026,Semaine 6h-7h,53.96311,73.87,2361.83,2625.86,1.58,8167.66,6.0,False
Arras -> Lille,Juillet 2026,Semaine 7h-8h,53.96311,68.53,2448.83,2831.46,1.79,12148.91,7.0,False
Arras -> Lille,Juillet 2026,Semaine 8h-9h,53.96311,64.29,2511.84,3018.08,2.18,14393.1,8.0,False
Arras -> Lille,Juillet 2026,Semaine 9h-10h,53.96311,66.93,2455.76,2898.06,1.91,12269.59,9.0,False
Arras -> Lille,Juillet 2026,Semaine 10h-11h,53.96311,68.05,2516.47,2851.12,1.77,11846.4,10.0,False
Arras -> Lille,Juillet 2026,Semaine 11h-12h,53.96311,69.21,2505.44,2803.33,1.74,12156.87,11.0,False
Arras -> Lille,Juillet 2026,Semaine 12h-13h,53.96311,71.18,2444.74,2725.06,1.69,12378.34,12.0,False
Arras -> Lille,Juillet 2026,Semaine 13h-14h,53.96311,72.16,2411.76,2687.97,1.6,12125.55,13.0,False
Arras -> Lille,Juillet 2026,Semaine 14h-15h,53.96311,69.25,2451.88,2801.23,1.74,12473.53,14.0,False
Arras -> Lille,Juillet 2026,Semaine 15h-16h,53.96311,69.77,2433.65,2780.75,1.7,12641.32,15.0,False
Arras -> Lille,Juillet 2026,Semaine 16h-17h,53.96311,67.86,2508.03,2860.32,1.83,13612.52,16.0,False
Arras -> Lille,Juillet 2026,Semaine 17h-18h,53.96311,66.43,2514.31,2921.63,1.95,14533.63,17.0,False
Arras -> Lille,Juillet 2026,Semaine 18h-19h,53.96311,65.1,2538.53,2980.49,2.11,14530.33,18.0,False
Béthune -> Lille,Juillet 2026,Semaine 5h-6h,41.424459999999996,56.28,2521.12,2649.58,1.5,2062.55,5.0,False
Béthune -> Lille,Juillet 2026,Semaine 6h-7h,41.424459999999996,54.27,2569.01,2747.79,1.56,5166.87,6.0,False
Béthune -> Lille,Juillet 2026,Semaine 7h-8h,41.424459999999996,50.39,2658.94,2959.26,1.79,8532.34,7.0,False
Béthune -> Lille,Juillet 2026,Semaine 8h-9h,41.424459999999996,45.41,2759.44,3283.9,2.3,10197.84,8.0,False
Béthune -> Lille,Juillet 2026,Semaine 9h-10h,41.424459999999996,47.64,2720.3,3130.46,2.03,8058.33,9.0,False
Béthune -> Lille,Juillet 2026,Semaine 10h-11h,41.424459999999996,49.02,2725.34,3042.22,1.88,6885.83,10.0,False
Béthune -> Lille,Juillet 2026,Semaine 11h-12h,41.424459999999996,49.73,2719.37,2998.84,1.78,6674.21,11.0,False
Béthune -> Lille,Juillet 2026,Semaine 12h-13h,41.424459999999996,50.59,2660.31,2947.88,1.76,6837.27,12.0,False
Béthune -> Lille,Juillet 2026,Semaine 13h-14h,41.424459999999996,50.73,2649.05,2939.49,1.7,6461.48,13.0,False
Béthune -> Lille,Juillet 2026,Semaine 14h-15h,41.424459999999996,49.36,2707.76,3021.3,1.8,6752.62,14.0,False
Béthune -> Lille,Juillet 2026,Semaine 15h-16h,41.424459999999996,49.39,2712.45,3019.17,1.86,6620.56,15.0,False
Béthune -> Lille,Juillet 2026,Semaine 16h-17h,41.424459999999996,48.69,2727.42,3062.84,1.89,7141.6,16.0,False
Béthune -> Lille,Juillet 2026,Semaine 17h-18h,41.424459999999996,48.23,2725.98,3091.98,1.95,7901.79,17.0,False
Béthune -> Lille,Juillet 2026,Semaine 18h-19h,41.424459999999996,48.41,2700.96,3080.84,1.96,8011.61,18.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 5h-6h,80.46334,88.23,3050.56,3279.31,1.43,2991.25,5.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 6h-7h,80.46334,87.36,3061.35,3312.02,1.46,6570.34,6.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 7h-8h,80.46334,83.88,3083.43,3449.31,1.62,10383.25,7.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 8h-9h,80.46334,77.75,3171.0,3721.37,2.01,12573.14,8.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 9h-10h,80.46334,82.06,3157.34,3525.78,1.64,10632.65,9.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 10h-11h,80.46334,83.69,3167.43,3457.0,1.55,9815.11,10.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 11h-12h,80.46334,83.3,3163.69,3473.52,1.61,9667.4,11.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 12h-13h,80.46334,84.42,3131.13,3427.28,1.56,9916.51,12.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 13h-14h,80.46334,85.31,3107.73,3391.4,1.5,9559.95,13.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 14h-15h,80.46334,83.47,3152.92,3466.37,1.58,10257.44,14.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 15h-16h,80.46334,84.17,3126.85,3437.29,1.58,10618.06,15.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 16h-17h,80.46334,83.17,3156.36,3478.77,1.63,11954.19,16.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 17h-18h,80.46334,82.05,3161.79,3526.31,1.66,13083.2,17.0,False
Dunkerque -> Lille,Juillet 2026,Semaine 18h-19h,80.46334,82.62,3110.19,3501.92,1.69,12610.41,18.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 5h-6h,46.98431,76.95,2055.83,2194.1,1.46,3289.49,5.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 6h-7h,46.98431,73.79,2103.44,2288.08,1.62,7544.79,6.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 7h-8h,46.98431,68.69,2159.84,2457.9,1.82,11970.44,7.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 8h-9h,46.98431,61.03,2246.14,2766.44,2.47,14315.65,8.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 9h-10h,46.98431,66.63,2201.7,2533.96,1.9,11677.64,9.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 10h-11h,46.98431,69.03,2206.81,2445.98,1.74,10570.89,10.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 11h-12h,46.98431,68.9,2202.01,2450.67,1.79,10198.27,11.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 12h-13h,46.98431,70.43,2173.02,2397.5,1.68,10394.48,12.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 13h-14h,46.98431,71.12,2150.8,2373.99,1.63,9952.9,13.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 14h-15h,46.98431,68.77,2190.46,2455.21,1.75,10479.74,14.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 15h-16h,46.98431,69.7,2183.05,2422.33,1.71,10481.01,15.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 16h-17h,46.98431,69.66,2185.7,2423.72,1.74,11320.52,16.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 17h-18h,46.98431,68.55,2196.33,2463.14,1.78,12367.75,17.0,False
Hazebrouck -> Lille,Juillet 2026,Semaine 18h-19h,46.98431,67.44,2175.96,2503.58,1.89,12421.13,18.0,False
La Bassée -> Lille,Juillet 2026,Semaine 5h-6h,28.15229,65.93,1419.28,1519.5,1.52,3456.59,5.0,False
La Bassée -> Lille,Juillet 2026,Semaine 6h-7h,28.15229,63.0,1478.55,1592.9,1.61,8719.85,6.0,False
La Bassée -> Lille,Juillet 2026,Semaine 7h-8h,28.15229,56.42,1550.88,1785.69,2.03,14262.4,7.0,False
La Bassée -> Lille,Juillet 2026,Semaine 8h-9h,28.15229,49.03,1615.0,2054.96,2.89,16942.25,8.0,False
La Bassée -> Lille,Juillet 2026,Semaine 9h-10h,28.15229,53.83,1551.37,1871.68,2.31,13440.65,9.0,False
La Bassée -> Lille,Juillet 2026,Semaine 10h-11h,28.15229,56.72,1550.33,1776.32,2.05,11444.8,10.0,False
La Bassée -> Lille,Juillet 2026,Semaine 11h-12h,28.15229,57.44,1545.59,1754.17,1.99,11070.35,11.0,False
La Bassée -> Lille,Juillet 2026,Semaine 12h-13h,28.15229,58.24,1526.55,1729.95,1.98,11344.81,12.0,False
La Bassée -> Lille,Juillet 2026,Semaine 13h-14h,28.15229,59.6,1501.84,1690.56,1.76,10720.56,13.0,False
La Bassée -> Lille,Juillet 2026,Semaine 14h-15h,28.15229,55.78,1557.93,1806.31,2.01,11221.7,14.0,False
La Bassée -> Lille,Juillet 2026,Semaine 15h-16h,28.15229,56.79,1546.75,1774.18,2.01,10985.0,15.0,False
La Bassée -> Lille,Juillet 2026,Semaine 16h-17h,28.15229,55.57,1545.92,1813.08,2.23,11792.36,16.0,False
La Bassée -> Lille,Juillet 2026,Semaine 17h-18h,28.15229,55.78,1542.69,1806.08,2.16,12995.67,17.0,False
La Bassée -> Lille,Juillet 2026,Semaine 18h-19h,28.15229,55.2,1529.13,1825.23,2.26,13230.43,18.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 5h-6h,51.60592,82.07,2110.06,2260.93,1.47,2621.27,5.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 6h-7h,51.60592,82.24,2101.13,2256.59,1.47,6199.38,6.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 7h-8h,51.60592,67.25,2192.49,2762.36,2.6,10541.03,7.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 8h-9h,51.60592,66.78,2262.01,2782.18,2.4,12757.88,8.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 9h-10h,51.60592,69.63,2200.62,2667.98,2.22,10154.05,9.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 10h-11h,51.60592,75.04,2197.74,2475.73,1.74,9182.06,10.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 11h-12h,51.60592,76.18,2173.09,2438.77,1.75,8905.81,11.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 12h-13h,51.60592,74.28,2193.35,2501.22,1.86,9068.08,12.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 13h-14h,51.60592,75.66,2156.49,2455.6,1.75,8726.59,13.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 14h-15h,51.60592,72.49,2220.67,2563.0,1.88,9010.71,14.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 15h-16h,51.60592,75.01,2170.32,2476.62,1.84,8928.4,15.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 16h-17h,51.60592,70.54,2212.58,2633.6,2.19,9770.2,16.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 17h-18h,51.60592,68.31,2331.86,2719.6,2.21,10912.91,17.0,False
Valenciennes -> Lille,Juillet 2026,Semaine 18h-19h,51.60592,69.51,2245.29,2672.74,2.18,10896.79,18.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 5h-6h,13.91606,43.57,982.36,1149.85,1.89,2177.7,5.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 6h-7h,13.91606,43.27,967.36,1157.81,1.91,3950.77,6.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 7h-8h,13.91606,38.96,1020.66,1285.88,2.37,7845.42,7.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 8h-9h,13.91606,34.81,1078.47,1439.3,2.84,10380.79,8.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 9h-10h,13.91606,36.48,1053.26,1373.41,2.48,8418.15,9.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 10h-11h,13.91606,36.92,1074.72,1356.86,2.41,7854.84,10.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 11h-12h,13.91606,36.68,1079.89,1365.91,2.48,8174.47,11.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 12h-13h,13.91606,37.17,1065.16,1347.86,2.43,8621.67,12.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 13h-14h,13.91606,38.38,1043.02,1305.36,2.29,8510.8,13.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 14h-15h,13.91606,36.7,1071.95,1364.89,2.43,8448.15,14.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 15h-16h,13.91606,36.92,1072.88,1356.88,2.43,8256.14,15.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 16h-17h,13.91606,34.97,1100.47,1432.44,2.65,8448.92,16.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 17h-18h,13.91606,33.57,1104.05,1492.51,2.92,9035.83,17.0,False
Tourcoing -> Lille,Juillet 2026,Semaine 18h-19h,13.91606,34.76,1090.56,1441.11,2.76,9285.68,18.0,False
Orchies -> Lille,Juillet 2026,Semaine 5h-6h,25.7313,76.6,1108.08,1209.24,1.54,2822.89,5.0,False
Orchies -> Lille,Juillet 2026,Semaine 6h-7h,25.7313,76.15,1126.69,1216.41,1.51,6519.63,6.0,False
Orchies -> Lille,Juillet 2026,Semaine 7h-8h,25.7313,70.05,1173.24,1322.38,1.7,11801.93,7.0,False
Orchies -> Lille,Juillet 2026,Semaine 8h-9h,25.7313,62.23,1193.52,1488.54,2.41,15006.92,8.0,False
Orchies -> Lille,Juillet 2026,Semaine 9h-10h,25.7313,63.8,1154.45,1452.01,2.45,11742.82,9.0,False
Orchies -> Lille,Juillet 2026,Semaine 10h-11h,25.7313,69.99,1152.87,1323.59,1.76,10500.58,10.0,False
Orchies -> Lille,Juillet 2026,Semaine 11h-12h,25.7313,71.2,1142.56,1301.01,1.76,10000.83,11.0,False
Orchies -> Lille,Juillet 2026,Semaine 12h-13h,25.7313,71.42,1138.74,1297.06,1.75,10549.14,12.0,False
Orchies -> Lille,Juillet 2026,Semaine 13h-14h,25.7313,72.1,1125.75,1284.73,1.66,9776.36,13.0,False
Orchies -> Lille,Juillet 2026,Semaine 14h-15h,25.7313,67.96,1149.02,1363.09,1.9,10126.49,14.0,False
Orchies -> Lille,Juillet 2026,Semaine 15h-16h,25.7313,69.74,1136.97,1328.35,1.87,9876.13,15.0,False
Orchies -> Lille,Juillet 2026,Semaine 16h-17h,25.7313,66.72,1150.53,1388.42,2.12,10691.51,16.0,False
Orchies -> Lille,Juillet 2026,Semaine 17h-18h,25.7313,66.49,1182.9,1393.1,2.03,12134.26,17.0,False
Orchies -> Lille,Juillet 2026,Semaine 18h-19h,25.7313,67.14,1154.09,1379.79,2.07,12438.69,18.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 5h-6h,87.11112,87.94,3437.44,3565.95,1.4,2582.79,5.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 6h-7h,87.11112,86.99,3365.64,3603.23,1.48,5429.41,6.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 7h-8h,87.11112,80.2,3457.76,3908.39,1.77,9031.12,7.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 8h-9h,87.11112,74.95,3527.09,4181.98,2.13,10770.51,8.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 9h-10h,87.11112,77.32,3488.29,4053.75,1.96,8743.63,9.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 10h-11h,87.11112,82.01,3493.17,3821.73,1.57,8043.61,10.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 11h-12h,87.11112,83.27,3466.35,3764.2,1.55,7929.99,11.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 12h-13h,87.11112,82.97,3443.55,3777.78,1.55,8096.97,12.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 13h-14h,87.11112,83.57,3439.58,3750.52,1.52,8015.29,13.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 14h-15h,87.11112,79.98,3527.3,3920.85,1.7,8201.67,14.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 15h-16h,87.11112,81.13,3462.91,3863.52,1.7,8202.24,15.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 16h-17h,87.11112,77.55,3534.46,4044.04,1.9,8938.64,16.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 17h-18h,87.11112,76.52,3616.11,4096.11,1.92,9684.16,17.0,False
Maubeuge -> Lille,Juillet 2026,Semaine 18h-19h,87.11112,79.28,3471.51,3953.55,1.83,9366.96,18.0,False
Cambrai -> Lille,Juillet 2026,Semaine 5h-6h,66.91885,73.2,3133.52,3272.74,1.39,2915.75,5.0,False
Cambrai -> Lille,Juillet 2026,Semaine 6h-7h,66.91885,69.0,3224.05,3472.12,1.56,5696.39,6.0,False
Cambrai -> Lille,Juillet 2026,Semaine 7h-8h,66.91885,63.7,3366.81,3766.8,1.77,8442.12,7.0,False
Cambrai -> Lille,Juillet 2026,Semaine 8h-9h,66.91885,59.94,3459.35,4003.18,2.09,10026.37,8.0,False
Cambrai -> Lille,Juillet 2026,Semaine 9h-10h,66.91885,61.38,3442.75,3916.86,1.9,8437.89,9.0,False
Cambrai -> Lille,Juillet 2026,Semaine 10h-11h,66.91885,62.58,3466.89,3840.36,1.78,7971.3,10.0,False
Cambrai -> Lille,Juillet 2026,Semaine 11h-12h,66.91885,64.29,3379.48,3732.6,1.72,8016.29,11.0,False
Cambrai -> Lille,Juillet 2026,Semaine 12h-13h,66.91885,64.69,3356.26,3709.24,1.74,8188.72,12.0,False
Cambrai -> Lille,Juillet 2026,Semaine 13h-14h,66.91885,65.16,3344.86,3682.51,1.68,8156.97,13.0,False
Cambrai -> Lille,Juillet 2026,Semaine 14h-15h,66.91885,63.55,3386.59,3776.11,1.73,8155.21,14.0,False
Cambrai -> Lille,Juillet 2026,Semaine 15h-16h,66.91885,63.25,3391.34,3793.7,1.78,8213.62,15.0,False
Cambrai -> Lille,Juillet 2026,Semaine 16h-17h,66.91885,62.37,3402.8,3847.11,1.87,8726.88,16.0,False
Cambrai -> Lille,Juillet 2026,Semaine 17h-18h,66.91885,61.98,3418.52,3879.21,1.91,9482.99,17.0,False
Cambrai -> Lille,Juillet 2026,Semaine 18h-19h,66.91885,63.43,3367.36,3790.39,1.92,9242.23,18.0,False
Wavrin -> Lille,Juillet 2026,Semaine 5h-6h,19.360529999999997,61.4,1033.46,1128.61,1.6,3526.86,5.0,False
Wavrin -> Lille,Juillet 2026,Semaine 6h-7h,19.360529999999997,58.93,1067.78,1176.02,1.65,8544.42,6.0,False
Wavrin -> Lille,Juillet 2026,Semaine 7h-8h,19.360529999999997,51.88,1126.39,1335.65,2.11,14996.57,7.0,False
Wavrin -> Lille,Juillet 2026,Semaine 8h-9h,19.360529999999997,44.68,1174.67,1550.97,3.07,18339.56,8.0,False
Wavrin -> Lille,Juillet 2026,Semaine 9h-10h,19.360529999999997,48.72,1139.26,1422.28,2.5,14503.93,9.0,False
Wavrin -> Lille,Juillet 2026,Semaine 10h-11h,19.360529999999997,52.49,1136.13,1320.17,2.07,12565.25,10.0,False
Wavrin -> Lille,Juillet 2026,Semaine 11h-12h,19.360529999999997,53.48,1130.39,1295.84,1.95,12192.66,11.0,False
Wavrin -> Lille,Juillet 2026,Semaine 12h-13h,19.360529999999997,54.15,1119.57,1279.76,1.92,12560.91,12.0,False
Wavrin -> Lille,Juillet 2026,Semaine 13h-14h,19.360529999999997,54.59,1102.99,1269.42,1.81,11833.61,13.0,False
Wavrin -> Lille,Juillet 2026,Semaine 14h-15h,19.360529999999997,52.42,1129.36,1321.89,1.97,12376.71,14.0,False
Wavrin -> Lille,Juillet 2026,Semaine 15h-16h,19.360529999999997,52.83,1121.18,1311.84,2.01,12108.3,15.0,False
