route,distance_km,v_pointe_matin_kmh,v_pointe_soir_kmh,v_creux_kmh,pti_max,echantillon_min,v_weekend_kmh
Haubourdin - Loos,6.94,20.06,19.88,19.44,3.02,301.86,21.09
Rocade ouest (Lomme),6.17,21.09,20.72,20.25,3.59,231.7,22.55
Approche A1 (Fretin-Ronchin),9.93,27.31,27.38,28.47,2.45,191.67,30.71
Pérenchies -> Lille,12.44,28.99,29.78,30.65,2.98,776.33,30.61
Prémesques -> Lille,14.07,30.24,31.42,32.43,2.91,722.26,32.1
Croix - Wasquehal,7.4,30.84,28.56,31.49,3.17,1433.33,32.92
Cysoing -> Lille,16.04,34.91,36.73,39.88,2.61,1511.95,38.83
Tourcoing -> Lille,13.92,36.89,34.27,37.29,2.92,2177.7,37.1
Bourghelles -> Lille,18.42,37.2,35.25,38.32,2.74,1262.41,37.84
Bouvines -> Lille,13.85,38.71,37.14,40.9,2.65,1801.54,39.4
Péronne-en-Mélantois -> Lille,14.69,38.96,36.53,40.24,2.67,1747.08,39.01
Échangeur d'Englos,8.04,40.44,43.0,43.98,3.44,1779.63,46.37
Templeuve-en-Pévèle -> Lille,17.8,43.68,42.01,44.37,2.43,2138.29,43.78
Lens -> Lille,35.77,47.7,48.22,51.12,2.69,2633.77,51.47
Fromelles -> Lille,22.16,47.88,49.11,51.52,2.73,2393.0,48.83
Béthune -> Lille,41.42,47.9,48.46,50.02,2.3,2062.55,49.98
Wavrin -> Lille,19.36,48.28,51.52,53.68,3.07,3526.86,51.59
Neuville-en-Ferrain -> Lille,18.25,50.29,50.19,53.86,3.14,2894.68,57.2
Herlies -> Lille,23.33,50.63,53.53,55.67,2.96,3400.33,54.34
Sainghin-en-Weppes -> Lille,22.17,50.64,53.34,53.34,2.95,3242.19,51.79
Cappelle-en-Pévèle -> Lille,23.26,50.95,49.98,54.61,2.63,3043.05,54.66
La Bassée -> Lille,28.15,52.72,55.68,58.0,2.89,3456.59,57.8
Sailly-sur-la-Lys -> Lille,28.64,53.53,57.27,58.76,2.71,3088.01,58.1
Cambrai -> Lille,66.92,61.82,62.18,64.18,2.09,2915.75,65.68
Douai -> Lille,41.49,64.7,64.82,67.34,1.54,4363.89,67.89
Hazebrouck -> Lille,46.98,64.86,69.1,69.87,2.47,3289.49,69.97
Orchies -> Lille,25.73,66.14,66.6,71.18,2.45,2822.89,68.96
Arras -> Lille,53.96,66.41,67.15,70.15,2.18,3952.26,69.55
Valenciennes -> Lille,51.61,67.02,69.43,75.29,2.6,2621.27,75.8
Maubeuge -> Lille,87.11,77.58,77.04,82.96,2.13,2582.79,84.84
Dunkerque -> Lille,80.46,80.82,82.61,84.18,2.01,2991.25,85.73
