code_insee,commune,dep,PMUN,dans_MEL,acces_gare_proche_min_min,acces_gare_proche_moy_min,gare_utile,gare_utile_uic,gare_utile_commune,gare_utile_sur_place,acces_gare_utile_min,desserte_directe_faible,trains_directs_jour,trains_pointe_matin,trains_arr_lille_matin,trains_pointe_soir,tps_trajet_median_min,tps_trajet_min_min,premier_train,dernier_train,amplitude_h,gares_lille_desservies,lignes,retour_trains_directs_jour,retour_pointe_soir,retour_dernier_depart_lille,autocars_directs_jour,attente_ter_min,egress_lille_min,porte_a_porte_median_min,trajet_ter_realiste_min,tc_trajets_jour,tc_arr_lille_matin,tc_trajet_median_min,tc_trajet_min_min,tc_trajet_realiste_min,tc_premier_arr_lille,tc_dernier_dep,tc_part_direct,tc_metro_sur_place,meilleur_temps_vers_lille_min,meilleur_mode_vers_lille,ter_billet_normal_eur,ter_abo_hebdo_eur,ter_abo_mensuel_eur,ter_abo_mensuel_estime,ter_abo_mensuel_reste_a_charge_eur,velo_min,velo_ter_min,voiture_min,voiture_bouchons_min,voiture_km,voiture_cout_carburant_eur,voiture_cout_mensuel_est_eur,ilevia_abo_mensuel_eur,ilevia_abo_reste_a_charge_eur,gare_sur_territoire,cout_mensuel_meilleur_mode_eur,temps_sans_voiture_min,mode_sans_voiture,cout_sans_voiture_eur,surcout_temps_sans_voiture_min,ratio_alternatif_vs_voiture,option_sans_voiture,cout_transit_min_eur,ratio_sansvoiture_vs_voiture
59002,Abscon,59,4203,False,4.2,5.6,Somain,87345314,Somain,False,15.2,False,11.0,4.0,3.0,2.0,37.0,36.0,06:01,20:59,15.0,Flandres,K40,11.0,3.0,20:23,0.0,12.0,6,52.2,70.2,,,,,,,,,,70.2,TER ~ velo+TER,10.8,29.1,105.0,False,52.0,,73.0,65.0,16.0,47.4,398.0,498.0,,,False,52.0,73.0,velo+TER,52.0,3.0,1.08,1,52.0,1.12
59004,Aix-en-Pévèle,59,1358,False,4.2,7.5,Landas,87286575,Landas,False,8.9,False,27.0,7.0,7.0,7.0,27.0,25.0,05:54,21:54,16.0,Flandres,C60,26.0,7.0,21:39,0.0,10.7,6,35.9,52.6,,,,,,,,,,52.6,TER,6.5,18.1,65.0,False,32.0,,61.0,50.0,15.0,31.8,267.0,367.0,,,False,32.0,61.0,velo+TER,32.0,8.0,1.05,1,32.0,1.22
59005,Allennes-les-Marais,59,3567,True,6.0,7.8,Don - Sainghin,87286435,Sainghin-en-Weppes,False,13.3,False,32.0,11.0,9.0,9.0,28.0,21.0,06:13,20:42,14.5,Flandres,"C50, C51, K51",37.0,10.0,21:06,0.0,6.8,6,41.3,54.1,,,,,,,,,,54.1,TER ~ velo+TER,4.9,14.4,52.0,False,26.0,,55.0,54.0,21.0,23.5,197.0,297.0,56.5,28.25,False,26.0,55.0,velo+TER,26.0,1.0,1.0,1,26.0,1.02
59008,Aniche,59,9997,False,4.4,7.8,Somain,87345314,Somain,False,14.4,False,11.0,4.0,3.0,2.0,37.0,36.0,06:01,20:59,15.0,Flandres,K40,11.0,3.0,20:23,0.0,12.0,6,51.4,69.4,,,,,,,,,,69.4,TER ~ velo+TER,10.8,29.1,105.0,False,52.0,,71.0,66.0,17.0,46.4,390.0,490.0,,,False,52.0,71.0,velo+TER,52.0,2.0,1.05,1,52.0,1.08
59011,Annœullin,59,10780,True,2.7,5.0,Bauvin - Provin,87345280,Bauvin,False,7.0,False,21.0,7.0,6.0,6.0,27.0,27.0,06:07,20:35,14.5,Flandres,"C51, K51",24.0,7.0,20:47,0.0,10.7,6,34.0,50.7,,,,,,,,,,50.7,TER,6.0,17.1,61.0,False,31.0,,56.0,55.0,20.0,29.4,247.0,347.0,56.5,28.25,False,31.0,56.0,velo+TER,31.0,5.0,0.92,1,28.25,1.02
59013,Anstaing,59,1601,True,5.8,7.7,Ascq,87286864,Villeneuve-d'Ascq,False,12.0,False,17.0,5.0,5.0,5.0,10.0,8.0,06:40,21:42,15.0,Flandres,P81,16.0,4.0,22:08,0.0,12.0,6,22.0,40.0,,,,,,,,,,40.0,TER ~ velo+TER,2.4,,25.0,False,13.0,47.0,43.0,32.0,5.0,13.6,114.0,214.0,56.5,28.25,False,13.0,43.0,velo+TER ~ velo,13.0,3.0,1.25,1,13.0,1.34
59014,Anzin,59,13422,False,1.5,3.7,Valenciennes,87343004,Valenciennes,False,11.2,False,53.0,14.0,14.0,13.0,44.0,34.0,05:35,21:49,16.2,Flandres,"C60, K60, K61",52.0,14.0,21:39,0.0,5.4,6,55.2,66.6,,,,,,,,,,63.0,velo+TER ~ TER,10.8,29.1,105.0,False,52.0,,63.0,59.0,16.0,49.7,417.0,517.0,,,False,52.0,63.0,velo+TER,52.0,0.0,1.07,1,52.0,1.07
59015,Arleux,59,3151,False,1.0,3.5,Douai,87345009,Douai,False,22.0,False,46.0,14.0,12.0,12.0,23.0,19.0,05:51,21:57,16.1,Flandres,"C40, K40, K44, K45",48.0,13.0,22:27,0.0,5.4,6,45.0,56.4,,,,,,,,,,56.4,TER,8.3,22.1,79.0,False,40.0,,,69.0,21.0,51.2,430.0,530.0,,,True,40.0,56.4,TER,40.0,0.0,0.82,1,40.0,0.82
59017,Armentières,59,25581,True,1.0,3.2,Armentières,87286146,Armentières,True,1.0,False,45.0,16.0,15.0,11.0,15.0,14.0,05:13,21:33,16.3,Flandres,"C70, K70, K71",47.0,16.0,22:13,0.0,4.7,6,16.0,26.7,556.0,119.0,52.6,38.7,65.6,06:20,21:36,0.0,False,26.7,TER,5.3,15.5,56.0,False,28.0,,32.0,53.0,12.0,20.8,175.0,275.0,56.5,28.25,True,28.0,26.7,TER,28.0,0.0,0.5,1,28.0,0.5
59018,Arnèke,59,1561,False,1.0,1.7,Arnèke,87281121,Arnèke,True,1.0,False,11.0,4.0,4.0,3.0,49.0,48.0,05:31,20:31,15.0,Flandres,K70,12.0,4.0,20:40,0.0,12.0,6,50.0,68.0,,,,,,,,,,68.0,TER,13.4,36.0,130.0,False,65.0,,74.0,73.0,17.0,66.8,561.0,661.0,,,True,65.0,68.0,TER,65.0,0.0,0.93,1,65.0,0.93
