rang,commune,tranche,voiture_min,juillet_7_8h_median_min,juillet_8_9h_median_min,ecart_7_8h_min,ecart_7_8h_pct,juillet_pti_7_8h,juillet_n_7_8h
1,Marquette-lez-Lille,Très favorable,32.0,12.0,13.8,12.0,100.0,2.18,2840
14,Wattignies,Très favorable,31.0,13.1,13.9,9.9,76.0,2.3,6756
28,Baisieux,Favorable,31.0,16.1,15.4,6.9,43.0,1.61,9374
41,Lezennes,Favorable,22.0,9.6,9.8,4.4,46.0,1.89,9260
54,Allennes-les-Marais,Favorable,54.0,24.1,25.3,21.9,91.0,1.69,12375
67,Genech,Favorable,46.0,26.2,27.6,11.8,45.0,1.67,5409
81,Férin,Favorable,61.0,32.9,33.5,20.1,61.0,1.52,14006
94,Radinghem-en-Weppes,Moyen,47.0,19.6,20.3,19.4,99.0,1.73,12396
107,Provin,Moyen,56.0,27.9,29.2,20.1,72.0,1.67,11378
121,Wattrelos,Moyen,35.0,17.2,18.2,9.8,57.0,1.77,8673
134,Bondues,Moyen,35.0,14.9,16.3,12.1,81.0,1.75,9042
147,Landas,Peu favorable,50.0,26.1,26.6,15.9,61.0,1.52,9512
161,Salomé,Peu favorable,56.0,24.8,25.7,23.2,94.0,1.76,15880
174,Morbecque,Peu favorable,69.0,43.0,44.9,18.0,42.0,1.55,9282
187,Quesnoy-sur-Deûle,Peu favorable,41.0,20.2,21.7,12.8,63.0,2.05,2149
200,Avion,Peu adapté,62.0,32.0,32.4,22.0,69.0,1.55,15384
214,Le Doulieu,Peu adapté,60.0,31.5,32.8,20.5,65.0,1.6,13636
227,Monchecourt,Peu adapté,70.0,46.7,48.7,15.3,33.0,1.58,6360
