code_insee,commune,rang,tranche
59386,Marquette-lez-Lille,1,Très favorable
59648,Wattignies,14,Très favorable
59044,Baisieux,28,Favorable
59346,Lezennes,41,Favorable
59005,Allennes-les-Marais,54,Favorable
59258,Genech,67,Favorable
59228,Férin,81,Favorable
59487,Radinghem-en-Weppes,94,Moyen
59477,Provin,107,Moyen
59650,Wattrelos,121,Moyen
59090,Bondues,134,Moyen
59330,Landas,147,Peu favorable
59550,Salomé,161,Peu favorable
59416,Morbecque,174,Peu favorable
59482,Quesnoy-sur-Deûle,187,Peu favorable
62065,Avion,200,Peu adapté
59180,Le Doulieu,214,Peu adapté
59409,Monchecourt,227,Peu adapté
