poll_utc,origine,autoroute,temps_live_min,temps_libre_min,retard_min,distance_km
2026-08-28T14:03:52Z,Douai,A1,37.1,31.1,6.0,42.2
2026-08-28T14:03:52Z,Lens,A21 / A1,37.6,32.8,4.8,39.9
2026-08-28T14:03:52Z,Arras,A1,50.9,39.0,11.9,54.1
2026-08-28T14:03:52Z,Béthune,A26 / A25,51.9,42.4,9.5,44.5
2026-08-28T14:03:52Z,Dunkerque,A25,59.5,52.0,7.5,80.5
2026-08-28T14:03:52Z,Hazebrouck,A25,43.4,36.0,7.5,48.3
2026-08-28T14:03:52Z,La Bassée,RN41,30.1,26.3,3.8,28.1
2026-08-28T14:03:52Z,Valenciennes,A23,40.2,34.5,5.6,51.3
2026-08-28T14:03:52Z,Tourcoing,A22,24.6,19.6,4.9,13.9
2026-08-28T14:03:52Z,Orchies,A23 / A27,22.0,20.2,1.8,25.7
2026-08-28T14:03:52Z,Maubeuge,A2 / A23,67.0,56.0,11.0,87.1
2026-08-28T14:03:52Z,Cambrai,A2 / A23,62.2,50.9,11.4,80.3
