origine,axe,type,lat,lon
Douai,A1,autoroute,50.38172,3.09074
Lens,A21 / A1,autoroute,50.43761,2.82108
Arras,A1,autoroute,50.28991,2.76626
Béthune,A26 / A25,autoroute,50.52896,2.64298
Dunkerque,A25,autoroute,51.03053,2.33677
Hazebrouck,A25,autoroute,50.72607,2.53861
La Bassée,RN41,autoroute,50.53987,2.80943
Valenciennes,A23,autoroute,50.35906,3.51630
Tourcoing,A22,autoroute,50.72573,3.15960
Orchies,A23 / A27,autoroute,50.46870,3.23904
Maubeuge,A2 / A23,autoroute,50.28423,3.96314
Cambrai,A2 / A23,autoroute,50.17029,3.24229
Wavrin,Weppes (D),secondaire,50.57244,2.93299
Sainghin-en-Weppes,Weppes (D),secondaire,50.55913,2.89700
Herlies,Weppes (D),secondaire,50.58148,2.85257
Fromelles,Weppes (D),secondaire,50.61068,2.85414
Pérenchies,rocade NO / M652,secondaire,50.67006,2.96887
Prémesques,rocade NO / M652,secondaire,50.66043,2.94886
Templeuve-en-Pévèle,Pévèle (D),secondaire,50.53261,3.17346
Cappelle-en-Pévèle,Pévèle (D),secondaire,50.50478,3.17443
Cysoing,Pévèle (D),secondaire,50.56454,3.21419
Bourghelles,Pévèle (D),secondaire,50.56340,3.24691
Péronne-en-Mélantois,Mélantois (D),secondaire,50.56434,3.17077
Bouvines,Mélantois (D),secondaire,50.58182,3.19275
