code_pme,route,position,code_insee_commune
A0001011200,A1,011200,
A0027010102,A27,010102,
N0041010100,N41,010100,
A0027010101,A27,010101,
A9022010250,A22 (rocade),010250,
A0001020150,A1,020150,
N0356011700,N356,011700,
N9227110200,N227 (bretelle),110200,
N0356021300,N356,021300,
A0022011400,A22,011400,
A0027010300,A27,010300,
A9022020250,A22 (rocade),020250,
N0041010300,N41,010300,
A0022011210,A22,011210,
A0027020100,A27,020100,
A0001010300,A1,010300,
A0022011220,A22,011220,
N0227021400,N227,021400,
A9022101110,A22 (rocade),101110,
A0022022110,A22,022110,
A0001011420,A1,011420,
N0356010800,N356,010800,
A9001210710,A1 (bretelle),210710,
N0356021110,N356,021110,
A0001010510,A1,010510,
N0356021122,N356,021122,
N0356021121,N356,021121,
A0025010210,A25,010210,
A0025011300,A25,011300,
A0001020300,A1,020300,
A0025021100,A25,021100,
A0025023520,A25,023520,
A0022022130,A22,022130,
A0025010220,A25,010220,
A0022022120,A22,022120,
A0001010520,A1,010520,
A0022011000,A22,011000,
A0001020510,A1,020510,
A0001021602,A1,021602,
A22TC020222,A22 (contournement),020222,
A0001010940,A1,010940,
A0025023320,A25,023320,
A0001020520,A1,020520,
A0025023100,A25,023100,
A22TC020230,A22 (contournement),020230,
A0025021730,A25,021730,
A0025023910,A25,023910,
A0025021735,A25,021735,
A0023010400,A23,010400,
A0022021900,A22,021900,
A9022100500,A22 (rocade),100500,
A0001020940,A1,020940,
A0001020700,A1,020700,
A9022020830,A22 (rocade),020830,
A9022020822,A22 (rocade),020822,
A9022020821,A22 (rocade),020821,
A0025020420,A25,020420,
A0025021510,A25,021510,
N0227010100,N227,010100,
A0025011720,A25,011720,
A0001010920,A1,010920,
A0025021760,A25,021760,
A0025011730,A25,011730,
A0025011735,A25,011735,
A9025080700,A25 (bretelle),080700,
A9022100930,A22 (rocade),100930,
N0356011220,N356,011220,
A0025011740,A25,011740,
A0025010410,A25,010410,
A0023010200,A23,010200,
A9001210120,A1 (bretelle),210120,
A0025020210,A25,020210,
N0356011210,N356,011210,
A0025011510,A25,011510,
A0025020220,A25,020220,
N0227010302,N227,010302,
A0001020920,A1,020920,
N0041010500,N41,010500,
N0227020101,N227,020101,
A0025021900,A25,021900,
A9022100110,A22 (rocade),100110,
A0022010400,A22,010400,
N0356010302,N356,010302,
A0025010800,A25,010800,
A0027020621,A27,020621,
N0041010700,N41,010700,
A0025011900,A25,011900,
A0027020630,A27,020630,
A0022021512,A22,021512,
A0022021511,A22,021511,
A0027020610,A27,020610,
A0025021720,A25,021720,
A0022021520,A22,021520,
A0025022140,A25,022140,
A0022011302,A22,011302,
A0025022160,A25,022160,
A9025060104,A25 (bretelle),060104,
A0027010201,A27,010201,
A0027010202,A27,010202,
N9227110110,N227 (bretelle),110110,
A0025012130,A25,012130,
A0027010210,A27,010210,
A0025011050,A25,011050,
A0025012140,A25,012140,
A0027010421,A27,010421,
A0022012420,A22,012420,
A0025011060,A25,011060,
A0027010430,A27,010430,
A0023020710,A23,020710,
A0022012430,A22,012430,
A0025012160,A25,012160,
A9022021200,A22 (rocade),021200,
A0001021100,A1,021100,
A9022101000,A22 (rocade),101000,
A0025013020,A25,013020,
A0027010410,A27,010410,
A0022012410,A22,012410,
A0001A20112,A1,A20112,
A0001A20111,A1,A20111,
A0025010320,A25,010320,
A0001021521,A1,021521,
A0025022540,A25,022540,
A0025022300,A25,022300,
N0356021000,N356,021000,
A22TC010102,A22 (contournement),010102,
A0001011503,A1,011503,
A0022012200,A22,012200,
A0001A20120,A1,A20120,
A22TC020102,A22 (contournement),020102,
A22TC010300,A22 (contournement),010300,
A0022012010,A22,012010,
A0022012020,A22,012020,
A0025022130,A25,022130,
A0023010520,A23,010520,
N0041020800,N41,020800,
A0025010500,A25,010500,
A0022020901,A22,020901,
A0022020902,A22,020902,
A0025020310,A25,020310,
A0022021810,A22,021810,
N0356011100,N356,011100,
A0022021820,A22,021820,
N0356020802,N356,020802,
A9022020900,A22 (rocade),020900,
A0025020102,A25,020102,
A0025010310,A25,010310,
A0023010100,A23,010100,
A0025022530,A25,022530,
A9001210200,A1 (bretelle),210200,
A0022010700,A22,010700,
N0041020400,N41,020400,
A0023020720,A23,020720,
A0022020500,A22,020500,
N93563b0150,N356 (bretelle),3b0150,
A0025020950,A25,020950,
A0023020300,A23,020300,
A0001011000,A1,011000,
A0027020500,A27,020500,
A0025020960,A25,020960,
N0356011500,N356,011500,
A0001010150,A1,010150,
N0356020400,N356,020400,
N0041020600,N41,020600,
A0025010700,A25,010700,
A0002011230,A2,011230,
A0025020500,A25,020500,
A0002021290,A2,021290,
A0022011600,A22,011600,
