uic,nom,dep,code_insee,commune,role
87342048,Achiet,62,62005,Achiet-le-Grand,npdc
87286856,Annappes,59,59009,Villeneuve-d'Ascq,npdc
87295055,Anor,59,59012,Anor,npdc
87317255,Anvin,62,62036,Anvin,npdc
87345421,Arleux,59,59015,Arleux,npdc
87286146,Armentières,59,59017,Armentières,npdc
87281121,Arnèke,59,59018,Arnèke,npdc
87342014,Arras,62,62041,Arras,npdc
87286864,Ascq,59,59009,Villeneuve-d'Ascq,npdc
87345447,Aubigny-au-Bac,59,59026,Aubigny-au-Bac,npdc
87342246,Aubigny-en-Artois,62,62045,Aubigny-en-Artois,npdc
87316604,Aubin-Saint-Vaast,62,62046,Aubin-Saint-Vaast,npdc
87317230,Auchy-lès-Hesdin,62,62050,Auchy-lès-Hesdin,npdc
87281428,Audruicq,62,62057,Audruicq,npdc
87295600,Aulnoye-Aymeries,59,59033,Aulnoye-Aymeries,npdc
87295725,Avesnelles,59,59035,Avesnelles,npdc
87295733,Avesnes-sur-Helpe,59,59036,Avesnes-sur-Helpe,npdc
87342584,Avion,62,62065,Avion,npdc
87286179,Bailleul,59,59043,Bailleul,npdc
87342592,Bailleul-Sir-Berthoult,62,62073,Bailleul-Sir-Berthoult,npdc
87286872,Baisieux,59,59044,Baisieux,npdc
87345280,Bauvin - Provin,59,59052,Bauvin,npdc
87317610,Beau Marais,62,62193,Calais,npdc
87317198,Beaurainville,62,62100,Beaurainville,npdc
87281105,Bergues,59,59067,Bergues,npdc
87342279,Berguette - Isbergues,62,62473,Isbergues,npdc
87295808,Berlaimont,59,59068,Berlaimont,npdc
87345553,Bertry,59,59074,Bertry,npdc
87343160,Beuvrages,59,59079,Beuvrages,npdc
87342402,Beuvry lès Béthune,62,62126,Beuvry,npdc
87342097,Biache-Saint-Vaast,62,62128,Biache-Saint-Vaast,npdc
87345140,Billy-Montigny,62,62133,Billy-Montigny,npdc
87317248,Blangy-sur-Ternoise,62,62138,Blangy-sur-Ternoise,npdc
87342071,Boisleux,62,62151,Boisleux-au-Mont,npdc
87345389,Bouchain,59,59092,Bouchain,npdc
87317016,Boulogne - Tintelleries,62,62160,Boulogne-sur-Mer,npdc
87317586,Boulogne sur Mer,62,62160,Boulogne-sur-Mer,npdc
87281279,Bourbourg,59,59094,Bourbourg,npdc
87345108,Brebières Sud,62,62173,Brebières,npdc
87317180,Brimeux,62,62177,Brimeux,npdc
87345439,Brunémont,59,59115,Brunémont,npdc
87342105,Bully - Grenay,62,62186,Bully-les-Mines,npdc
87296244,Busigny,59,59118,Busigny,npdc
87342006,Béthune,62,62119,Béthune,npdc
87317321,Caffiers,62,62191,Caffiers,npdc
87281071,Calais - Fréthun,62,62360,Fréthun,npdc
87317263,Calais Ville,62,62193,Calais,npdc
87342543,Calonne-Ricouart,62,62194,Calonne-Ricouart,npdc
87345520,Cambrai,59,59122,Cambrai,npdc
87345413,Cantin,59,59126,Cantin,npdc
87281139,Cassel,59,59054,Bavinchove,npdc
87345587,Cattenières,59,59138,Cattenières,npdc
87345561,Caudry,59,59139,Caudry,npdc
87342220,Chocques,62,62224,Chocques,npdc
87345116,Corbehem,62,62240,Corbehem,npdc
87345132,Coron de Méricourt,62,62570,Méricourt,npdc
87281402,Coudekerque-Branche,59,59155,Coudekerque-Branche,npdc
87342063,Courcelles-le-Comte,62,62248,Courcelles-le-Comte,npdc
87286716,Croix - Wasquehal,59,59646,Wasquehal,npdc
87281055,Croix l'Allumette,59,59163,Croix,npdc
87342410,Cuinchy,62,62262,Cuinchy,npdc
87317081,Dannes - Camiers,62,62201,Camiers,npdc
87343459,Denain,59,59172,Denain,npdc
87295774,Dompierre,59,59177,Dompierre-sur-Helpe,npdc
87286435,Don - Sainghin,59,59524,Sainghin-en-Weppes,npdc
87345009,Douai,59,59178,Douai,npdc
87345165,Dourges,62,62274,Dourges,npdc
87281006,Dunkerque,59,59183,Dunkerque,npdc
87281469,Ebblinghem,59,59184,Ebblinghem,npdc
87287276,Ennevelin,59,59586,Templeuve-en-Pévèle,npdc
87345496,Escaudoeuvres,59,59206,Escaudœuvres,npdc
87281113,Esquelbecq,59,59210,Esquelbecq,npdc
87342527,Farbus,62,62324,Farbus,npdc
87342204,Fouquereuil,62,62349,Fouquereuil,npdc
87295048,Fourmies,59,59249,Fourmies,npdc
87286641,Fretin,59,59256,Fretin,npdc
87342212,Frévin-Capelle,62,62363,Frévin-Capelle,npdc
87281311,Grande-Synthe,59,59271,Grande-Synthe,npdc
87281246,Gravelines,59,59273,Gravelines,npdc
87297523,Hachette,59,59353,Locquignol,npdc
87342261,Ham-en-Artois,62,62407,Ham-en-Artois,npdc
87286096,Haubourdin,59,59286,Haubourdin,npdc
87295568,Hautmont,59,59291,Hautmont,npdc
87286302,Hazebrouck,59,59295,Hazebrouck,npdc
87286062,Hellemmes,59,59350,Lille,npdc
87317107,Hesdigneul,62,62446,Hesdigneul-lès-Boulogne,npdc
87317222,Hesdin,62,62447,Hesdin,npdc
87345157,Hénin-Beaumont,62,62427,Hénin-Beaumont,npdc
87345397,Iwuy,59,59322,Iwuy,npdc
87295014,Jeumont,59,59324,Jeumont,npdc
87342436,La Bassée,59,59051,Bassée,npdc
87286427,La Fontaine,59,59653,Wavrin,npdc
87286187,La Madeleine,59,59368,Madeleine,npdc
87286575,Landas,59,59330,Landas,npdc
87295642,Landrecies,59,59331,Landrecies,npdc
87295220,Le Cateau,59,59136,Cateau-Cambrésis,npdc
87316687,Le Haut Banc,62,62329,Ferques,npdc
87343210,Le Poirier Université,59,59603,Trith-Saint-Léger,npdc
87295857,Le Quesnoy,59,59481,Quesnoy,npdc
87345223,Leforest,62,62497,Leforest,npdc
87345025,Lens,62,62498,Lens,npdc
87297515,Les Bons Pères,59,59514,Rousies,npdc
87317305,Les Fontinettes,62,62193,Calais,npdc
87286849,Lesquin,59,59343,Lesquin,npdc
87295790,Leval,59,59344,Leval,npdc
87287102,Lezennes,59,59350,Lille,npdc
87345256,Libercourt,62,62907,Libercourt,npdc
87109306,Lille Centre Hospitalier Régional,59,59350,Lille,npdc
87223263,Lille Europe,59,59350,Lille,lille
87286005,Lille Flandres,59,59350,Lille,lille
87287250,Lille Porte de Douai,59,59350,Lille,npdc
87342238,Lillers,62,62516,Lillers,npdc
87345041,Liévin,62,62510,Liévin,npdc
87345231,Loison-sous-Lens,62,62523,Loison-sous-Lens,npdc
87286112,Loos lez Lille,59,59360,Loos,npdc
87345033,Loos-en-Gohelle,62,62498,Lens,npdc
87343475,Lourches,59,59504,Rœulx,npdc
87295535,Louvroil,59,59365,Louvroil,npdc
87317206,Maresquel,62,62552,Maresquel-Ecquemicourt,npdc
87342188,Maroeuil,62,62557,Marœuil,npdc
87342469,Marquillies,59,59388,Marquillies,npdc
87317339,Marquise - Rinxent,62,62711,Rinxent,npdc
87295006,Maubeuge,59,59392,Maubeuge,npdc
87345546,Maurois,59,59394,Maurois,npdc
87342121,Mazingarbe,62,62186,Bully-les-Mines,npdc
87345272,Meurchin,62,62573,Meurchin,npdc
87287128,Mont de Terre,59,59350,Lille,npdc
87345306,Montigny-en-Ostrevent,59,59414,Montigny-en-Ostrevent,npdc
87317164,Montreuil sur Mer,62,62588,Montreuil,npdc
87317099,Neufchâtel-Hardelot,62,62604,Neufchâtel-Hardelot,npdc
